model,layer,layer_name,lambda,n_train,n_sentences,best_val_emo_acc_mean,best_val_emo_acc_std,final_train_sent_acc_mean,final_train_sent_acc_std,adv_suppression_mean,adv_suppression_std,emis_congruent_acc_mean,emis_congruent_acc_std,emis_incong_target_acc_mean,emis_incong_target_acc_std,emis_incong_proxy_acc_mean,emis_incong_proxy_acc_std,emis_incong_text_bias_mean,emis_incong_text_bias_std
HuBERT,0,CNN,0.0,312,26,0.8444,0.0273,0.1454,0.0364,0.8888,0.0379,0.941,0.0577,0.6556,0.0423,0.1462,0.0471,-0.5094,0.0854
HuBERT,0,CNN,0.01,312,26,0.8762,0.0431,0.1558,0.0226,0.8779,0.0236,0.9538,0.0616,0.6889,0.0244,0.1274,0.0461,-0.5615,0.0646
HuBERT,0,CNN,0.1,312,26,0.8698,0.0442,0.1325,0.0309,0.9021,0.0321,0.9128,0.0432,0.6983,0.0839,0.1008,0.0398,-0.5974,0.1227
HuBERT,0,CNN,1.0,312,26,0.7746,0.0571,0.0851,0.01,0.9515,0.0104,0.8821,0.0496,0.547,0.1264,0.2325,0.0922,-0.3145,0.2176
HuBERT,0,CNN,10.0,312,26,0.4762,0.0414,0.0707,0.0128,0.9665,0.0134,0.4795,0.3463,0.3795,0.1012,0.2111,0.1825,-0.1684,0.2799
HuBERT,1,L1,0.0,312,26,0.8762,0.0308,0.1157,0.0191,0.9197,0.0198,0.9205,0.054,0.7009,0.0274,0.1154,0.0324,-0.5855,0.0542
HuBERT,1,L1,0.01,312,26,0.8857,0.0211,0.1205,0.0174,0.9147,0.0181,0.9744,0.0115,0.682,0.0263,0.1427,0.0467,-0.5393,0.0713
HuBERT,1,L1,0.1,312,26,0.8857,0.0367,0.1188,0.0145,0.9164,0.0151,0.941,0.0616,0.6769,0.0506,0.1419,0.0578,-0.535,0.1042
HuBERT,1,L1,1.0,312,26,0.8857,0.0324,0.0819,0.0188,0.9548,0.0195,0.9308,0.0418,0.6786,0.0319,0.118,0.023,-0.5607,0.0482
HuBERT,1,L1,10.0,312,26,0.508,0.0724,0.0667,0.0065,0.9707,0.0068,0.3564,0.2935,0.4624,0.0319,0.1624,0.1397,-0.3,0.1652
HuBERT,2,L2,0.0,312,26,0.9079,0.0233,0.1133,0.0151,0.9222,0.0157,0.9513,0.0338,0.741,0.0668,0.1393,0.0509,-0.6017,0.1152
HuBERT,2,L2,0.01,312,26,0.9206,0.0142,0.1141,0.0181,0.9214,0.0188,0.9487,0.0269,0.7564,0.0682,0.1196,0.0503,-0.6368,0.1175
HuBERT,2,L2,0.1,312,26,0.9207,0.0348,0.1117,0.012,0.9239,0.0125,0.9769,0.0205,0.7214,0.0283,0.1564,0.0243,-0.5649,0.05
HuBERT,2,L2,1.0,312,26,0.9016,0.0211,0.0699,0.0121,0.9673,0.0125,0.9385,0.0553,0.7231,0.051,0.1299,0.0327,-0.5932,0.0748
HuBERT,2,L2,10.0,312,26,0.5746,0.0431,0.0611,0.0106,0.9765,0.011,0.6949,0.1647,0.4162,0.108,0.2966,0.1493,-0.1197,0.2566
