model,layer,layer_name,lambda,n_train,n_sentences,best_val_emo_acc_mean,best_val_emo_acc_std,final_train_sent_acc_mean,final_train_sent_acc_std,adv_suppression_mean,adv_suppression_std,emis_congruent_acc_mean,emis_congruent_acc_std,emis_incong_target_acc_mean,emis_incong_target_acc_std,emis_incong_proxy_acc_mean,emis_incong_proxy_acc_std,emis_incong_text_bias_mean,emis_incong_text_bias_std
WavLM,0,CNN,0.0,1381,77,0.8404,0.0386,0.4985,0.0184,0.508,0.0186,0.0128,0.0114,0.4692,0.0188,0.0,0.0,-0.4692,0.0188
WavLM,0,CNN,0.01,1381,77,0.852,0.027,0.4842,0.0278,0.5225,0.0282,0.0051,0.0102,0.4786,0.013,0.0009,0.0017,-0.4778,0.0136
WavLM,0,CNN,0.1,1381,77,0.8058,0.0354,0.4283,0.007,0.5793,0.0071,0.0,0.0,0.4727,0.024,0.0,0.0,-0.4727,0.024
WavLM,0,CNN,1.0,1381,77,0.548,0.0268,0.3911,0.009,0.6169,0.0092,0.0231,0.0205,0.4231,0.0518,0.0085,0.0111,-0.4145,0.0562
WavLM,0,CNN,10.0,1381,77,0.3654,0.0249,0.3924,0.0069,0.6156,0.007,0.1718,0.1488,0.3248,0.0346,0.0923,0.0902,-0.2325,0.1108
WavLM,1,L1,0.0,1381,77,0.9119,0.0172,0.5036,0.012,0.5029,0.0122,0.0,0.0,0.4709,0.0219,0.0068,0.0034,-0.4641,0.0217
WavLM,1,L1,0.01,1381,77,0.9119,0.0159,0.4833,0.0202,0.5235,0.0204,0.0,0.0,0.4633,0.0234,0.0051,0.005,-0.4581,0.0263
WavLM,1,L1,0.1,1381,77,0.9148,0.0142,0.4167,0.013,0.591,0.0132,0.0,0.0,0.4718,0.0166,0.0051,0.0063,-0.4667,0.017
WavLM,1,L1,1.0,1381,77,0.7177,0.0268,0.3917,0.0119,0.6164,0.0121,0.0,0.0,0.4735,0.0408,0.0043,0.0086,-0.4692,0.0384
WavLM,1,L1,10.0,1381,77,0.4534,0.0207,0.3121,0.1553,0.695,0.1536,0.1769,0.1692,0.3598,0.0477,0.0966,0.0679,-0.2632,0.1037
WavLM,2,L2,0.0,1381,77,0.9494,0.0121,0.5163,0.0467,0.4901,0.0474,0.0026,0.0051,0.5359,0.0177,0.0034,0.0042,-0.5325,0.015
WavLM,2,L2,0.01,1381,77,0.9473,0.0081,0.479,0.0143,0.5279,0.0145,0.0051,0.0102,0.5231,0.0257,0.0094,0.0063,-0.5137,0.0201
WavLM,2,L2,0.1,1381,77,0.9357,0.0117,0.413,0.0149,0.5947,0.0151,0.0,0.0,0.5119,0.0272,0.0,0.0,-0.5119,0.0272
WavLM,2,L2,1.0,1381,77,0.8628,0.0116,0.4002,0.0153,0.6077,0.0155,0.0077,0.0063,0.5616,0.063,0.0,0.0,-0.5616,0.063
WavLM,2,L2,10.0,1381,77,0.4578,0.0457,0.3214,0.1591,0.6857,0.1574,0.2359,0.289,0.394,0.0745,0.1359,0.1634,-0.2581,0.2287
WavLM,3,L3,0.0,1381,77,0.9531,0.0172,0.4697,0.0355,0.5372,0.036,0.0077,0.0063,0.5718,0.0275,0.0282,0.0152,-0.5436,0.0374
WavLM,3,L3,0.01,1381,77,0.9574,0.017,0.4362,0.0178,0.5712,0.018,0.0128,0.0081,0.5727,0.0226,0.0333,0.0198,-0.5393,0.0301
WavLM,3,L3,0.1,1381,77,0.9581,0.0122,0.4067,0.0175,0.6011,0.0178,0.0179,0.0131,0.5547,0.0406,0.0291,0.0192,-0.5256,0.0344
WavLM,3,L3,1.0,1381,77,0.9047,0.0211,0.3899,0.0079,0.6182,0.008,0.0538,0.089,0.5667,0.0756,0.0188,0.0274,-0.5479,0.0712
WavLM,3,L3,10.0,1381,77,0.5329,0.0274,0.3956,0.0071,0.6123,0.0072,0.059,0.0667,0.4556,0.098,0.0607,0.0686,-0.3949,0.1167
WavLM,4,L4,0.0,1381,77,0.961,0.0092,0.492,0.0153,0.5147,0.0155,0.1154,0.0334,0.6017,0.0201,0.0778,0.0078,-0.5239,0.0268
