model,layer,layer_name,lambda,n_train,n_sentences,best_val_emo_acc_mean,best_val_emo_acc_std,final_train_sent_acc_mean,final_train_sent_acc_std,adv_suppression_mean,adv_suppression_std,emis_congruent_acc_mean,emis_congruent_acc_std,emis_incong_target_acc_mean,emis_incong_target_acc_std,emis_incong_proxy_acc_mean,emis_incong_proxy_acc_std,emis_incong_text_bias_mean,emis_incong_text_bias_std
WavLM,0,CNN,0.0,312,26,0.854,0.0273,0.1494,0.0192,0.8846,0.02,0.9333,0.057,0.7068,0.036,0.1017,0.0435,-0.6051,0.0756
WavLM,0,CNN,0.01,312,26,0.8571,0.0362,0.139,0.0301,0.8955,0.0313,0.9231,0.0579,0.6829,0.05,0.1214,0.0452,-0.5616,0.09
WavLM,0,CNN,0.1,312,26,0.8381,0.0273,0.1261,0.0193,0.9088,0.02,0.9205,0.0409,0.6675,0.0451,0.1359,0.0331,-0.5316,0.0681
WavLM,0,CNN,1.0,312,26,0.8413,0.0265,0.0851,0.0064,0.9514,0.0067,0.8872,0.0509,0.6966,0.0483,0.1043,0.0279,-0.5923,0.0699
WavLM,0,CNN,10.0,312,26,0.4794,0.0324,0.0562,0.0067,0.9815,0.007,0.4769,0.2963,0.4145,0.1252,0.2462,0.2502,-0.1684,0.3733
WavLM,1,L1,0.0,312,26,0.9143,0.0238,0.1213,0.016,0.9139,0.0166,0.9821,0.0131,0.7,0.0268,0.1521,0.0268,-0.5479,0.0511
WavLM,1,L1,0.01,312,26,0.9175,0.0273,0.1213,0.0112,0.9139,0.0116,0.9795,0.0174,0.7008,0.0405,0.1538,0.0371,-0.547,0.077
WavLM,1,L1,0.1,312,26,0.9302,0.0294,0.1165,0.0098,0.9189,0.0102,0.9949,0.0063,0.7,0.036,0.1692,0.0421,-0.5308,0.0775
WavLM,1,L1,1.0,312,26,0.927,0.0127,0.0707,0.0154,0.9665,0.016,0.9974,0.0051,0.7273,0.0233,0.1547,0.0188,-0.5727,0.0405
WavLM,1,L1,10.0,312,26,0.6254,0.0498,0.0562,0.0113,0.9815,0.0118,0.559,0.1967,0.5239,0.0751,0.1667,0.092,-0.3573,0.1633
WavLM,2,L2,0.0,312,26,0.9333,0.0465,0.1285,0.0159,0.9063,0.0165,0.9718,0.0318,0.7555,0.0277,0.1077,0.0309,-0.6479,0.0408
WavLM,2,L2,0.01,312,26,0.9302,0.0384,0.1285,0.0208,0.9063,0.0216,0.9898,0.0096,0.7385,0.0265,0.1359,0.0488,-0.6025,0.0729
WavLM,2,L2,0.1,312,26,0.9238,0.0453,0.1197,0.0125,0.9155,0.0131,0.9846,0.0126,0.7479,0.0495,0.1222,0.0353,-0.6256,0.0835
WavLM,2,L2,1.0,312,26,0.9207,0.0449,0.0618,0.0194,0.9735,0.0166,0.9821,0.0131,0.7393,0.0413,0.1555,0.0432,-0.5838,0.0763
WavLM,2,L2,10.0,312,26,0.7746,0.0464,0.0586,0.0126,0.9785,0.0123,0.8128,0.1237,0.5513,0.0541,0.2325,0.0613,-0.3188,0.1128
WavLM,3,L3,0.0,312,26,0.9429,0.0433,0.1317,0.0202,0.903,0.021,0.9898,0.0096,0.8086,0.0312,0.0846,0.0222,-0.7239,0.0529
WavLM,3,L3,0.01,312,26,0.9492,0.0394,0.1325,0.0254,0.9022,0.0264,0.9898,0.0096,0.7966,0.0238,0.1008,0.0263,-0.6957,0.0493
WavLM,3,L3,0.1,312,26,0.9524,0.0362,0.1012,0.0126,0.9347,0.013,0.9898,0.0096,0.7983,0.0125,0.112,0.0113,-0.6863,0.0222
WavLM,3,L3,1.0,312,26,0.9587,0.0215,0.0554,0.0147,0.9811,0.0133,0.9846,0.0189,0.7675,0.0345,0.1445,0.0499,-0.623,0.0796
WavLM,3,L3,10.0,312,26,0.8032,0.0294,0.0554,0.0086,0.9823,0.0089,0.8308,0.0915,0.6145,0.0544,0.1821,0.0719,-0.4325,0.1256
WavLM,4,L4,0.0,312,26,0.927,0.0327,0.1092,0.0086,0.9264,0.0089,0.9821,0.0131,0.7496,0.028,0.1581,0.0266,-0.5914,0.0513
WavLM,4,L4,0.01,312,26,0.9333,0.0368,0.1068,0.0074,0.9289,0.0077,0.9846,0.0096,0.759,0.0298,0.153,0.0279,-0.606,0.0548
WavLM,4,L4,0.1,312,26,0.9429,0.0162,0.1108,0.0133,0.9247,0.0139,0.9872,0.0081,0.7393,0.0377,0.1761,0.0363,-0.5632,0.0731
WavLM,4,L4,1.0,312,26,0.9333,0.0308,0.0699,0.0126,0.9673,0.0131,0.9872,0.0114,0.7393,0.0362,0.1744,0.0382,-0.5649,0.0707
WavLM,4,L4,10.0,312,26,0.8032,0.0384,0.053,0.0093,0.9844,0.0088,0.8667,0.0681,0.5778,0.0597,0.2436,0.0819,-0.3342,0.1311
WavLM,5,L5,0.0,312,26,0.9206,0.0362,0.1285,0.0051,0.9064,0.0053,0.9821,0.0131,0.7428,0.0328,0.1624,0.0355,-0.5804,0.0639
WavLM,5,L5,0.01,312,26,0.9206,0.0333,0.1229,0.0218,0.9122,0.0226,0.9795,0.0063,0.7649,0.0396,0.1453,0.0481,-0.6197,0.0867
WavLM,5,L5,0.1,312,26,0.9238,0.0381,0.1156,0.012,0.9197,0.0125,0.9795,0.0063,0.7513,0.0712,0.1632,0.0666,-0.588,0.1357
WavLM,5,L5,1.0,312,26,0.9111,0.0383,0.0659,0.0145,0.9715,0.0151,0.9692,0.0154,0.753,0.0345,0.1436,0.0272,-0.6094,0.0569
WavLM,5,L5,10.0,312,26,0.8063,0.0506,0.0506,0.0097,0.9869,0.0094,0.7795,0.1772,0.6171,0.049,0.1803,0.081,-0.4368,0.1222
WavLM,6,L6,0.0,312,26,0.9492,0.0273,0.1301,0.0298,0.9047,0.031,0.9744,0.0141,0.765,0.0408,0.1573,0.043,-0.6077,0.0832
WavLM,6,L6,0.01,312,26,0.9397,0.0367,0.1188,0.026,0.9164,0.027,0.9641,0.0205,0.7744,0.0503,0.1299,0.0492,-0.6445,0.098
WavLM,6,L6,0.1,312,26,0.9524,0.0284,0.1012,0.0238,0.9348,0.0247,0.9795,0.0154,0.794,0.035,0.1214,0.0345,-0.6727,0.068
WavLM,6,L6,1.0,312,26,0.946,0.0191,0.0538,0.0129,0.9827,0.0112,0.9923,0.0063,0.7573,0.0224,0.1854,0.0243,-0.5718,0.0417
WavLM,6,L6,10.0,312,26,0.7968,0.0676,0.0498,0.0129,0.9861,0.01,0.7923,0.1588,0.6017,0.0838,0.2342,0.1021,-0.3675,0.1849
WavLM,7,L7,0.0,312,26,0.9461,0.0215,0.1197,0.0069,0.9156,0.0072,0.9898,0.0096,0.7453,0.0147,0.1735,0.0168,-0.5718,0.028
WavLM,7,L7,0.01,312,26,0.9524,0.0101,0.1181,0.0141,0.9172,0.0146,0.9846,0.0051,0.7684,0.017,0.1539,0.0259,-0.6145,0.0398
WavLM,7,L7,0.1,312,26,0.9492,0.0233,0.1076,0.0089,0.9281,0.0093,0.9846,0.0126,0.7487,0.017,0.1752,0.0274,-0.5735,0.0409
WavLM,7,L7,1.0,312,26,0.9524,0.0284,0.0562,0.0067,0.9815,0.007,0.9692,0.0251,0.8034,0.0531,0.1162,0.0346,-0.6872,0.0871
WavLM,7,L7,10.0,312,26,0.7841,0.0825,0.0466,0.0083,0.9902,0.0064,0.7667,0.2429,0.6299,0.1214,0.2128,0.1272,-0.4171,0.2481
WavLM,8,L8,0.0,312,26,0.9556,0.0064,0.1116,0.0082,0.9239,0.0085,0.9744,0.0229,0.7308,0.0607,0.1872,0.0705,-0.5436,0.13
WavLM,8,L8,0.01,312,26,0.9588,0.0078,0.1149,0.0126,0.9205,0.0131,0.9795,0.0103,0.7427,0.0561,0.1701,0.0522,-0.5726,0.108
WavLM,8,L8,0.1,312,26,0.9556,0.0119,0.0972,0.0093,0.9389,0.0097,0.9821,0.0131,0.735,0.043,0.1803,0.0391,-0.5547,0.0794
WavLM,8,L8,1.0,312,26,0.9619,0.0162,0.0538,0.0221,0.9794,0.0158,0.9821,0.0154,0.7445,0.0267,0.1786,0.0317,-0.5658,0.0571
WavLM,8,L8,10.0,312,26,0.819,0.0648,0.0594,0.0218,0.9769,0.0211,0.7821,0.1914,0.6291,0.0567,0.2026,0.0931,-0.4265,0.1478
WavLM,9,L9,0.0,312,26,0.9524,0.0142,0.139,0.0338,0.8955,0.0351,0.9846,0.0126,0.7316,0.0199,0.1607,0.0344,-0.571,0.0513
WavLM,9,L9,0.01,312,26,0.9492,0.0119,0.1229,0.0285,0.9122,0.0296,0.9795,0.0103,0.7308,0.0054,0.159,0.0141,-0.5718,0.017
WavLM,9,L9,0.1,312,26,0.946,0.0078,0.098,0.0094,0.9381,0.0097,0.9718,0.0189,0.7402,0.017,0.1436,0.0284,-0.5966,0.0436
WavLM,9,L9,1.0,312,26,0.9556,0.0211,0.0466,0.0145,0.9886,0.0111,0.9898,0.0096,0.7273,0.0473,0.1598,0.0504,-0.5675,0.0971
WavLM,9,L9,10.0,312,26,0.7778,0.0531,0.0362,0.0139,0.9948,0.0059,0.7974,0.1336,0.5872,0.0573,0.2333,0.0892,-0.3539,0.1434
WavLM,10,L10,0.0,312,26,0.946,0.0078,0.1253,0.0362,0.9097,0.0377,0.9769,0.0274,0.6957,0.0462,0.1991,0.031,-0.4966,0.0754
