model,layer,layer_name,lambda,n_train,n_sentences,best_val_emo_acc_mean,best_val_emo_acc_std,final_train_sent_acc_mean,final_train_sent_acc_std,adv_suppression_mean,adv_suppression_std,emis_congruent_acc_mean,emis_congruent_acc_std,emis_incong_target_acc_mean,emis_incong_target_acc_std,emis_incong_proxy_acc_mean,emis_incong_proxy_acc_std,emis_incong_text_bias_mean,emis_incong_text_bias_std
Whisper,0,CNN,0.0,1381,77,0.4368,0.0289,0.4002,0.011,0.6077,0.0112,0.0333,0.0667,0.3966,0.0515,0.0342,0.0684,-0.3624,0.0637
Whisper,0,CNN,0.01,1381,77,0.4361,0.0252,0.4029,0.0068,0.605,0.0069,0.0026,0.0051,0.3658,0.043,0.0402,0.0804,-0.3256,0.1093
Whisper,0,CNN,0.1,1381,77,0.4282,0.0101,0.392,0.0117,0.616,0.0119,0.0,0.0,0.3761,0.0483,0.0,0.0,-0.3761,0.0483
Whisper,0,CNN,1.0,1381,77,0.4282,0.0103,0.3978,0.0032,0.6101,0.0032,0.0,0.0,0.3786,0.0423,0.0,0.0,-0.3786,0.0423
Whisper,0,CNN,10.0,1381,77,0.2816,0.0289,0.3893,0.0067,0.6187,0.0068,0.0,0.0,0.3333,0.0,0.0,0.0,-0.3333,0.0
Whisper,1,L1,0.0,1381,77,0.5228,0.0147,0.4062,0.0077,0.6017,0.0078,0.0026,0.0051,0.4521,0.0422,0.0179,0.0099,-0.4342,0.049
Whisper,1,L1,0.01,1381,77,0.5228,0.0128,0.4098,0.0071,0.598,0.0072,0.0026,0.0051,0.4573,0.0151,0.0094,0.0091,-0.4479,0.0158
Whisper,1,L1,0.1,1381,77,0.5004,0.0235,0.3995,0.0064,0.6085,0.0065,0.0,0.0,0.4368,0.029,0.0085,0.0108,-0.4282,0.0317
Whisper,1,L1,1.0,1381,77,0.4195,0.0176,0.3913,0.008,0.6167,0.0081,0.0,0.0,0.3521,0.019,0.0,0.0,-0.3521,0.019
Whisper,1,L1,10.0,1381,77,0.2707,0.0072,0.3893,0.0067,0.6187,0.0068,0.0,0.0,0.3333,0.0,0.0,0.0,-0.3333,0.0
Whisper,2,L2,0.0,1381,77,0.5249,0.0087,0.3958,0.009,0.6121,0.0091,0.0,0.0,0.4068,0.0235,0.0017,0.0034,-0.4051,0.0241
Whisper,2,L2,0.01,1381,77,0.5495,0.0147,0.3998,0.0117,0.6081,0.0118,0.0103,0.0205,0.4188,0.0319,0.0111,0.0152,-0.4077,0.0203
