model,layer,layer_name,lambda,n_train,n_sentences,best_val_emo_acc_mean,best_val_emo_acc_std,final_train_sent_acc_mean,final_train_sent_acc_std,adv_suppression_mean,adv_suppression_std,emis_congruent_acc_mean,emis_congruent_acc_std,emis_incong_target_acc_mean,emis_incong_target_acc_std,emis_incong_proxy_acc_mean,emis_incong_proxy_acc_std,emis_incong_text_bias_mean,emis_incong_text_bias_std
Whisper,0,CNN,0.0,312,26,0.4476,0.0064,0.0803,0.0025,0.9565,0.0026,0.6744,0.2174,0.2761,0.0642,0.3983,0.1684,0.1222,0.2324
Whisper,0,CNN,0.01,312,26,0.4286,0.0348,0.0827,0.0126,0.954,0.0131,0.7641,0.1965,0.2505,0.0702,0.459,0.1519,0.2085,0.222
Whisper,0,CNN,0.1,312,26,0.4222,0.019,0.0851,0.01,0.9515,0.0104,0.759,0.1386,0.2325,0.0561,0.4684,0.1076,0.2359,0.1619
Whisper,0,CNN,1.0,312,26,0.2857,0.0174,0.0739,0.0032,0.9631,0.0034,0.4359,0.4563,0.2333,0.1607,0.3624,0.3956,0.1291,0.5562
Whisper,0,CNN,10.0,312,26,0.2762,0.019,0.057,0.0247,0.9744,0.0132,0.5949,0.4857,0.1581,0.1405,0.5128,0.4224,0.3547,0.5615
Whisper,1,L1,0.0,312,26,0.4762,0.0266,0.09,0.0083,0.9465,0.0086,0.6154,0.2392,0.3179,0.0656,0.3205,0.1388,0.0026,0.2039
Whisper,1,L1,0.01,312,26,0.3778,0.1016,0.0699,0.0075,0.9673,0.0078,0.3897,0.3226,0.3179,0.0271,0.2145,0.1794,-0.1034,0.1959
Whisper,1,L1,0.1,312,26,0.381,0.0858,0.0723,0.0067,0.9648,0.007,0.0846,0.1692,0.4068,0.0551,0.0427,0.0855,-0.3641,0.1231
Whisper,1,L1,1.0,312,26,0.2826,0.0381,0.0546,0.0242,0.9769,0.0134,0.0,0.0,0.3752,0.0574,0.0,0.0,-0.3752,0.0574
Whisper,1,L1,10.0,312,26,0.2572,0.0063,0.0586,0.0257,0.9727,0.0145,0.2,0.4,0.2752,0.1386,0.2,0.4,-0.0752,0.5379
Whisper,2,L2,0.0,312,26,0.4254,0.058,0.0779,0.0032,0.959,0.0033,0.5179,0.3248,0.3598,0.0949,0.2744,0.1793,-0.0855,0.2723
Whisper,2,L2,0.01,312,26,0.3937,0.0747,0.0771,0.0109,0.9598,0.0113,0.4795,0.3672,0.3179,0.055,0.2581,0.1961,-0.0598,0.2416
