model,layer,layer_name,lambda,n_train,n_sentences,best_val_emo_acc_mean,best_val_emo_acc_std,final_train_sent_acc_mean,final_train_sent_acc_std,adv_suppression_mean,adv_suppression_std,emis_congruent_acc_mean,emis_congruent_acc_std,emis_incong_target_acc_mean,emis_incong_target_acc_std,emis_incong_proxy_acc_mean,emis_incong_proxy_acc_std,emis_incong_text_bias_mean,emis_incong_text_bias_std
wav2vec2,0,CNN,0.0,1381,77,0.8664,0.0262,0.4924,0.0254,0.5143,0.0258,0.0641,0.0372,0.4864,0.033,0.0188,0.0103,-0.4675,0.0318
wav2vec2,0,CNN,0.01,1381,77,0.8794,0.014,0.4848,0.0062,0.522,0.0062,0.1051,0.0661,0.4966,0.0194,0.0316,0.0159,-0.465,0.0165
wav2vec2,0,CNN,0.1,1381,77,0.8636,0.0165,0.41,0.0255,0.5978,0.0258,0.0974,0.0565,0.5009,0.0269,0.0282,0.0212,-0.4726,0.0423
wav2vec2,0,CNN,1.0,1381,77,0.6469,0.0115,0.386,0.0062,0.622,0.0063,0.0641,0.0556,0.4385,0.0268,0.0376,0.0251,-0.4009,0.0374
wav2vec2,0,CNN,10.0,1381,77,0.4476,0.041,0.3886,0.0117,0.6195,0.0118,0.1513,0.1179,0.3274,0.0644,0.1564,0.1159,-0.171,0.1783
wav2vec2,1,L1,0.0,1381,77,0.9032,0.0042,0.4433,0.0264,0.564,0.0268,0.1384,0.0546,0.5547,0.0119,0.0607,0.0172,-0.494,0.0279
wav2vec2,1,L1,0.01,1381,77,0.9083,0.0074,0.4308,0.0126,0.5767,0.0128,0.1256,0.0475,0.5496,0.0203,0.0624,0.0183,-0.4872,0.0314
wav2vec2,1,L1,0.1,1381,77,0.9068,0.0053,0.4208,0.0114,0.5868,0.0115,0.1334,0.086,0.5376,0.0215,0.0607,0.0444,-0.4769,0.0621
wav2vec2,1,L1,1.0,1381,77,0.766,0.0309,0.3861,0.0137,0.622,0.0139,0.0513,0.059,0.5453,0.0384,0.0256,0.0267,-0.5197,0.0625
wav2vec2,1,L1,10.0,1381,77,0.4794,0.0379,0.4004,0.0206,0.6075,0.0209,0.0051,0.0102,0.4231,0.0632,0.0145,0.0211,-0.4085,0.0595
wav2vec2,2,L2,0.0,1381,77,0.93,0.0109,0.4355,0.0203,0.5719,0.0206,0.0461,0.0238,0.6239,0.0253,0.0325,0.0164,-0.5915,0.0414
wav2vec2,2,L2,0.01,1381,77,0.9328,0.0098,0.4313,0.0122,0.5761,0.0123,0.0487,0.0261,0.6205,0.0174,0.0367,0.023,-0.5838,0.0383
wav2vec2,2,L2,0.1,1381,77,0.9364,0.0163,0.41,0.0163,0.5978,0.0165,0.0359,0.017,0.6282,0.0175,0.018,0.0119,-0.6103,0.0233
wav2vec2,2,L2,1.0,1381,77,0.8173,0.0201,0.3958,0.0099,0.6121,0.0099,0.041,0.0409,0.5248,0.0275,0.0145,0.018,-0.5103,0.0168
wav2vec2,2,L2,10.0,1381,77,0.5105,0.0229,0.3902,0.0057,0.6178,0.0058,0.0077,0.0154,0.4307,0.0288,0.0068,0.01,-0.4239,0.028
wav2vec2,3,L3,0.0,1381,77,0.9386,0.0139,0.4223,0.0182,0.5853,0.0184,0.0872,0.0384,0.6658,0.019,0.0342,0.0199,-0.6316,0.0383
wav2vec2,3,L3,0.01,1381,77,0.9386,0.0139,0.4284,0.0104,0.5791,0.0106,0.0872,0.0522,0.6701,0.017,0.0282,0.0145,-0.6419,0.0304
wav2vec2,3,L3,0.1,1381,77,0.9357,0.0168,0.4062,0.0191,0.6017,0.0193,0.0795,0.0392,0.6633,0.0241,0.0248,0.0203,-0.6385,0.0423
wav2vec2,3,L3,1.0,1381,77,0.8123,0.0386,0.377,0.0329,0.6312,0.0334,0.0641,0.0843,0.5863,0.0321,0.0239,0.0374,-0.5624,0.0526
wav2vec2,3,L3,10.0,1381,77,0.5249,0.0319,0.3936,0.0072,0.6143,0.0073,0.0,0.0,0.4368,0.0551,0.0,0.0,-0.4368,0.0551
wav2vec2,4,L4,0.0,1381,77,0.9422,0.0198,0.4404,0.0049,0.5669,0.005,0.0154,0.0096,0.6163,0.0178,0.0154,0.0034,-0.6009,0.0177
wav2vec2,4,L4,0.01,1381,77,0.9408,0.021,0.4295,0.0217,0.578,0.022,0.0154,0.0249,0.6137,0.0424,0.0145,0.0123,-0.5992,0.0454
wav2vec2,4,L4,0.1,1381,77,0.9451,0.0211,0.3969,0.0172,0.611,0.0174,0.0308,0.0238,0.6308,0.0207,0.0068,0.0021,-0.6239,0.0218
wav2vec2,4,L4,1.0,1381,77,0.8513,0.0287,0.3777,0.0218,0.6305,0.0221,0.0385,0.0354,0.5547,0.0546,0.012,0.0091,-0.5427,0.0514
wav2vec2,4,L4,10.0,1381,77,0.5242,0.0449,0.3138,0.1538,0.6943,0.1539,0.0051,0.0063,0.4342,0.054,0.0085,0.0132,-0.4256,0.0586
wav2vec2,5,L5,0.0,1381,77,0.9473,0.0157,0.4116,0.0103,0.5961,0.0105,0.1154,0.038,0.6154,0.0295,0.0522,0.0042,-0.5633,0.0333
wav2vec2,5,L5,0.01,1381,77,0.9466,0.0143,0.419,0.0081,0.5886,0.0082,0.1077,0.0368,0.6068,0.0211,0.0522,0.0087,-0.5547,0.0255
wav2vec2,5,L5,0.1,1381,77,0.9415,0.015,0.4056,0.0148,0.6022,0.015,0.1,0.0409,0.6,0.0325,0.0427,0.0081,-0.5573,0.032
