model,layer,layer_name,lambda,n_train,n_sentences,best_val_emo_acc_mean,best_val_emo_acc_std,final_train_sent_acc_mean,final_train_sent_acc_std,adv_suppression_mean,adv_suppression_std,emis_congruent_acc_mean,emis_congruent_acc_std,emis_incong_target_acc_mean,emis_incong_target_acc_std,emis_incong_proxy_acc_mean,emis_incong_proxy_acc_std,emis_incong_text_bias_mean,emis_incong_text_bias_std
wav2vec2,0,CNN,0.0,312,26,0.8254,0.0101,0.1044,0.0178,0.9314,0.0185,0.8846,0.0811,0.6026,0.0291,0.1829,0.0331,-0.4197,0.0608
wav2vec2,0,CNN,0.01,312,26,0.8191,0.0127,0.1012,0.0106,0.9348,0.011,0.8692,0.063,0.6034,0.0332,0.1692,0.0425,-0.4342,0.0753
wav2vec2,0,CNN,0.1,312,26,0.8191,0.0162,0.1044,0.0137,0.9314,0.0142,0.8667,0.0636,0.6085,0.0299,0.1624,0.037,-0.4461,0.0665
wav2vec2,0,CNN,1.0,312,26,0.8254,0.0224,0.0884,0.0134,0.9481,0.014,0.9231,0.0899,0.5675,0.0423,0.2094,0.0526,-0.3581,0.0927
wav2vec2,0,CNN,10.0,312,26,0.5651,0.0518,0.0667,0.0041,0.9707,0.0043,0.4359,0.1689,0.4966,0.0446,0.1556,0.0957,-0.341,0.133
wav2vec2,1,L1,0.0,312,26,0.8571,0.0362,0.0956,0.0147,0.9406,0.0153,0.9411,0.033,0.6564,0.0349,0.1701,0.0251,-0.4863,0.052
wav2vec2,1,L1,0.01,312,26,0.8603,0.0324,0.0924,0.0092,0.9439,0.0095,0.9513,0.0297,0.6436,0.0298,0.1889,0.0161,-0.4547,0.0384
wav2vec2,1,L1,0.1,312,26,0.8635,0.0311,0.1012,0.0191,0.9347,0.0198,0.9513,0.0297,0.6521,0.0304,0.1846,0.0144,-0.4675,0.0399
wav2vec2,1,L1,1.0,312,26,0.8666,0.0409,0.0819,0.015,0.9548,0.0155,0.9154,0.0621,0.6444,0.0589,0.1778,0.0522,-0.4667,0.1085
wav2vec2,1,L1,10.0,312,26,0.7047,0.0508,0.0715,0.0131,0.9656,0.0136,0.7923,0.1074,0.4872,0.0498,0.2436,0.0606,-0.2436,0.1082
wav2vec2,2,L2,0.0,312,26,0.8635,0.0311,0.0956,0.0149,0.9406,0.0155,0.8923,0.0723,0.6735,0.0638,0.1513,0.0451,-0.5222,0.1018
wav2vec2,2,L2,0.01,312,26,0.8635,0.0311,0.0948,0.0131,0.9414,0.0136,0.8744,0.0685,0.6616,0.0579,0.1479,0.0496,-0.5137,0.1027
wav2vec2,2,L2,0.1,312,26,0.8635,0.0258,0.0924,0.0132,0.9439,0.0137,0.8846,0.0743,0.6615,0.0566,0.141,0.0428,-0.5205,0.097
wav2vec2,2,L2,1.0,312,26,0.8635,0.0294,0.0779,0.0054,0.959,0.0056,0.8693,0.0919,0.6667,0.0525,0.1649,0.0383,-0.5017,0.0843
wav2vec2,2,L2,10.0,312,26,0.654,0.0727,0.0627,0.0097,0.9748,0.0101,0.6436,0.1604,0.5102,0.0794,0.2128,0.1064,-0.2975,0.1824
wav2vec2,3,L3,0.0,312,26,0.9048,0.0502,0.1004,0.0124,0.9356,0.0129,0.9282,0.0992,0.7231,0.0258,0.1539,0.0206,-0.5692,0.0178
wav2vec2,3,L3,0.01,312,26,0.9111,0.0498,0.0956,0.0142,0.9406,0.0148,0.9282,0.1002,0.7111,0.0244,0.165,0.026,-0.5461,0.028
wav2vec2,3,L3,0.1,312,26,0.9079,0.0496,0.098,0.0121,0.9381,0.0126,0.9205,0.103,0.7248,0.0264,0.1556,0.0246,-0.5692,0.031
wav2vec2,3,L3,1.0,312,26,0.9048,0.0426,0.086,0.007,0.9506,0.0073,0.9513,0.044,0.7222,0.02,0.1735,0.032,-0.5487,0.0507
wav2vec2,3,L3,10.0,312,26,0.7016,0.1045,0.0659,0.0087,0.9715,0.009,0.7462,0.1379,0.5419,0.1182,0.2291,0.1614,-0.3128,0.2786
wav2vec2,4,L4,0.0,312,26,0.9048,0.0333,0.0964,0.0076,0.9398,0.0079,0.9538,0.0288,0.7436,0.0314,0.1504,0.0194,-0.5932,0.045
wav2vec2,4,L4,0.01,312,26,0.9079,0.0273,0.106,0.0162,0.9297,0.0168,0.9692,0.0063,0.7521,0.0261,0.1573,0.017,-0.5949,0.0394
wav2vec2,4,L4,0.1,312,26,0.9111,0.0294,0.1028,0.0145,0.9331,0.0151,0.9795,0.0131,0.7342,0.0159,0.1786,0.0161,-0.5556,0.0243
wav2vec2,4,L4,1.0,312,26,0.9143,0.0294,0.0787,0.0055,0.9581,0.0057,0.9487,0.0519,0.7615,0.0244,0.1376,0.026,-0.6239,0.0477
wav2vec2,4,L4,10.0,312,26,0.7048,0.1027,0.0651,0.0147,0.9718,0.0143,0.7564,0.1589,0.553,0.1253,0.2239,0.1761,-0.3291,0.2992
wav2vec2,5,L5,0.0,312,26,0.927,0.0384,0.0948,0.0121,0.9414,0.0126,0.9692,0.033,0.7222,0.0124,0.1701,0.0223,-0.5521,0.0346
wav2vec2,5,L5,0.01,312,26,0.927,0.0384,0.0972,0.014,0.9389,0.0146,0.9692,0.033,0.7248,0.0079,0.1701,0.021,-0.5547,0.0283
wav2vec2,5,L5,0.1,312,26,0.927,0.0384,0.0956,0.0089,0.9406,0.0093,0.9667,0.0377,0.7145,0.0245,0.1803,0.0307,-0.5342,0.0548
wav2vec2,5,L5,1.0,312,26,0.9206,0.046,0.0763,0.0072,0.9606,0.0075,0.9718,0.0221,0.7043,0.0315,0.2137,0.0335,-0.4906,0.063
