Layer,Layer_Num,HighAgree_Acc,HighAgree_F1,LowAgree_Acc,LowAgree_F1,All_Acc,All_F1,HighAgree_N,LowAgree_N
CNN,0,0.7041385159837384,0.7025186233530096,0.6252406013947487,0.6248238729689982,0.6628205128205128,0.6619787583115821,1308,4152
Layer 1,1,0.7545962387762861,0.7541360108587755,0.6319815000072493,0.6317515917668415,0.6714285714285715,0.6712314452849052,1308,4152
Layer 2,2,0.7698692638413618,0.7690028746804871,0.6240363620547171,0.6239459202582002,0.6584249084249084,0.6580176150038229,1308,4152
Layer 3,3,0.7813752157000379,0.7814752920037178,0.619694953097589,0.6196155495878973,0.6642857142857144,0.6640457637206034,1308,4152
Layer 4,4,0.7966248427948874,0.7959623333869862,0.6257120902382092,0.6255519594080415,0.6681318681318682,0.6678979028863863,1308,4152
Layer 5,5,0.7973969758123483,0.7964576973631242,0.6237988778217562,0.6234058700864673,0.6747252747252748,0.6743875315226996,1308,4152
Layer 6,6,0.8035360182504169,0.8026729795448093,0.6348727763037709,0.6344643947183766,0.6750915750915751,0.6751288165411538,1308,4152
Layer 7,7,0.8027668099792343,0.8022829829281697,0.6295802705406462,0.6295224790666316,0.6778388278388279,0.6776565198733128,1308,4152
Layer 8,8,0.8043110760141559,0.8039015955472408,0.6315030519188668,0.6311061297491236,0.6716117216117216,0.6717275435842286,1308,4152
Layer 9,9,0.8050598110613905,0.8049770505604819,0.6351105505052701,0.6349928092939635,0.6778388278388279,0.6780006618804577,1308,4152
Layer 10,10,0.7973999005586265,0.7973091343568702,0.6449932582314818,0.6445909118537753,0.6686813186813187,0.6684904740483135,1308,4152
Layer 11,11,0.807358661636103,0.8068789811199911,0.6355916083104982,0.6354699304369725,0.6708791208791208,0.6707437871828212,1308,4152
Layer 12,12,0.7798280249188383,0.7797597484752841,0.6355947979644208,0.635371118631463,0.6765567765567766,0.6767597566220234,1308,4152
Layer 13,13,0.7981837325612003,0.7975933633751517,0.6319872993780175,0.6319323880145783,0.6822344322344321,0.6821473215109615,1308,4152
Layer 14,14,0.7836623672896377,0.7831388783371093,0.6442694967596015,0.6440035107354696,0.6805860805860806,0.6805610111410842,1308,4152
Layer 15,15,0.8004591851656869,0.79993136856878,0.6209029620286198,0.6206777737745657,0.6719780219780219,0.6720265997882425,1308,4152
Layer 16,16,0.7966482407651136,0.7962077093561283,0.6351108404738086,0.6350370844712436,0.6730769230769231,0.673160858068141,1308,4152
Layer 17,17,0.8035067707876342,0.8028139060597509,0.6353564438258449,0.6350830144147359,0.671978021978022,0.6718744660306483,1308,4152
Layer 18,18,0.79051797256588,0.7899886039771131,0.6293343772200716,0.629382895034961,0.6705128205128205,0.6701894541145188,1308,4152
Layer 19,19,0.7798367991576731,0.7795451409958088,0.626685804590202,0.6264962273693812,0.663003663003663,0.6629052744669076,1308,4152
Layer 20,20,0.7859290456552894,0.7853061595027316,0.619704812027895,0.6193062682370986,0.652014652014652,0.6517515114289323,1308,4152
Layer 21,21,0.7805913836974642,0.7804114822768112,0.6339045713540081,0.6333903083675686,0.6554945054945055,0.6553429638039775,1308,4152
Layer 22,22,0.7943435406978445,0.7938232621480771,0.6281333275339624,0.6278781043534826,0.6652014652014652,0.6652333157052998,1308,4152
Layer 23,23,0.7836535930508028,0.7836253608152133,0.6322250735795165,0.6319828904170806,0.658058608058608,0.6581330240238106,1308,4152
Layer 24,24,0.7836594425433594,0.7829501511217755,0.6230751163498761,0.6230189230104265,0.658058608058608,0.6581430376582541,1308,4152
