Layer,Layer_Num,HighAgree_Acc,HighAgree_F1,LowAgree_Acc,LowAgree_F1,All_Acc,All_F1,HighAgree_N,LowAgree_N
CNN,0,0.6987716065631305,0.6969584124478903,0.5821309787888014,0.5816826793326418,0.6217948717948718,0.6214591744432676,1308,4152
Layer 1,1,0.7247726009768652,0.7234815012143287,0.6021185101416497,0.6021323399989075,0.6421245421245421,0.6420685109232219,1308,4152
Layer 2,2,0.7431253838729489,0.7422447802401205,0.6204248039087759,0.620257409579336,0.6521978021978021,0.6519416150014046,1308,4152
Layer 3,3,0.7476909128133133,0.7473726248869849,0.6187337073927479,0.6187553932643888,0.6479853479853479,0.6477300175968426,1308,4152
Layer 4,4,0.7453979117311574,0.7445737903328652,0.6045281486958666,0.6044500111174708,0.6452380952380952,0.6448605518609927,1308,4152
Layer 5,5,0.7545699160597819,0.7534791735634766,0.6100668377481042,0.609849617625817,0.6496336996336997,0.6496334160216484,1308,4152
Layer 6,6,0.743865344681349,0.7433551770549227,0.5948953938497673,0.5945064066928248,0.6483516483516483,0.6479552005850672,1308,4152
Layer 7,7,0.7469421777660787,0.7454413382378343,0.5932060371449699,0.593390534918233,0.6452380952380952,0.6450991076138779,1308,4152
Layer 8,8,0.756087859378199,0.7554320030685181,0.6018760964435359,0.6016834020653791,0.6435897435897435,0.6432662004304234,1308,4152
Layer 9,9,0.7553537480623556,0.7532905747466554,0.6069345975961609,0.6072268990084507,0.6503663003663003,0.6500211239791882,1308,4152
Layer 10,10,0.7675791875054839,0.7664812033390145,0.5985028924361706,0.5983182399552673,0.634981684981685,0.6349716517977859,1308,4152
Layer 11,11,0.7599514492117809,0.7583842087021053,0.5956159656677251,0.5953755107076968,0.6265567765567766,0.6261354574068576,1308,4152
Layer 12,12,0.7568599923956597,0.7553630928593099,0.5927214997172807,0.5925491758144631,0.6278388278388278,0.6274662125021486,1308,4152
Layer 13,13,0.7652832616770495,0.76381352372672,0.5999422962608557,0.5997552041144028,0.634065934065934,0.6340130059677638,1308,4152
Layer 14,14,0.7438799684127402,0.7432512490596513,0.5818813158772274,0.5814493435581908,0.6188644688644689,0.6187639646567409,1308,4152
Layer 15,15,0.7362610043578719,0.7358594418727751,0.5821225697011874,0.5818619358990873,0.6252747252747253,0.6250955407821384,1308,4152
Layer 16,16,0.750753122166652,0.7502600275439157,0.5821225697011874,0.581699975963011,0.6250915750915751,0.6249760306611488,1308,4152
Layer 17,17,0.7484630458307742,0.7483550218029873,0.5879057022313079,0.5876979574765961,0.6228937728937729,0.6226873841009735,1308,4152
Layer 18,18,0.7492176303705653,0.7488956017085092,0.575621475069955,0.5752970569814155,0.6084249084249085,0.6081176592288935,1308,4152
Layer 19,19,0.7438799684127402,0.7433678148859135,0.5729714525973932,0.5725709858629533,0.608058608058608,0.6078125229247652,1308,4152
Layer 20,20,0.7416045158082537,0.7411514386956879,0.5696049178664114,0.5693883330762683,0.6040293040293041,0.6035657259417126,1308,4152
Layer 21,21,0.7492234798631219,0.7489932324597662,0.5842967538022125,0.5839791159127368,0.6060439560439561,0.6056092441614117,1308,4152
Layer 22,22,0.7438858179052967,0.7437400807060136,0.5592440520203558,0.5588470213305874,0.5908424908424909,0.5904541684609665,1308,4152
Layer 23,23,0.744652101430201,0.7437724629807901,0.5700856857031013,0.5695932977844165,0.6007326007326007,0.6002919573115171,1308,4152
Layer 24,24,0.7308794712058729,0.7296697808748565,0.581159584185116,0.5807427357345114,0.6021978021978022,0.6018589628138579,1308,4152
