Layer,Layer_Num,HighAgree_Acc,HighAgree_F1,LowAgree_Acc,LowAgree_F1,All_Acc,All_F1,HighAgree_N,LowAgree_N
CNN,0,0.7132724986107455,0.713288070347154,0.6192228843170515,0.61892164998643,0.6542124542124542,0.6535220877516625,1308,4152
Layer 1,1,0.7591588429703724,0.7587994433473937,0.6387270381163643,0.6383458146333123,0.6661172161172162,0.6659508572369106,1308,4152
Layer 2,2,0.7752273990231348,0.7755585033322661,0.6404134951357777,0.6402409241292172,0.6816849816849817,0.6815394599031769,1308,4152
Layer 3,3,0.7859407446404025,0.7852836958090454,0.6305380366230264,0.6302098114447225,0.6741758241758242,0.6741037703703754,1308,4152
Layer 4,4,0.7958790324939311,0.7955644470832903,0.6290928334275732,0.6292252535649051,0.663919413919414,0.6637869045782108,1308,4152
Layer 5,5,0.8004445614342955,0.800620307512343,0.6358354718513042,0.6356883374670163,0.669047619047619,0.6688031799275793,1308,4152
Layer 6,6,0.8019976017080518,0.8018473479404665,0.6312638278746756,0.6312058104228532,0.6727106227106227,0.6727475627262116,1308,4152
Layer 7,7,0.8073411131584335,0.8072669862526236,0.6339109506618532,0.6335741409934419,0.6692307692307693,0.6694801117219902,1308,4152
Layer 8,8,0.7958790324939311,0.7956069732912201,0.6418627578907689,0.6416935351319251,0.676923076923077,0.6772625091976823,1308,4152
Layer 9,9,0.8027521862478431,0.8022869281713845,0.6411410261986574,0.6409838190995238,0.6816849816849817,0.6817299448016767,1308,4152
Layer 10,10,0.8119300400690241,0.8114321378021974,0.6461966276658984,0.6460838924296641,0.6847985347985348,0.6845836055301866,1308,4152
Layer 11,11,0.8096341142405897,0.8093336767889433,0.644499731779102,0.6439169635913276,0.6831501831501832,0.6830669005030352,1308,4152
Layer 12,12,0.8058085461086251,0.8053444358619538,0.6346303626056573,0.6345507070484964,0.6818681318681319,0.6819072192216229,1308,4152
Layer 13,13,0.8149922494223627,0.8149152695792893,0.6430632276398012,0.6426574274283042,0.6840659340659341,0.6840693410381953,1308,4152
Layer 14,14,0.8027668099792343,0.8029410792702135,0.6322184043031331,0.631925522447113,0.6833333333333333,0.6833843056171272,1308,4152
Layer 15,15,0.801202070720365,0.8013410793348147,0.6353465848955387,0.6352765639194397,0.6791208791208792,0.6792564475880873,1308,4152
Layer 16,16,0.8027434120090081,0.8028630277894562,0.6464288924651675,0.64626403382415,0.6851648351648352,0.6850741489651336,1308,4152
Layer 17,17,0.8035155450264689,0.8035519664601601,0.6538923926753947,0.6533868320196712,0.6857142857142857,0.6858149433654254,1308,4152
Layer 18,18,0.7974086747974614,0.7970557719464826,0.6317405361518276,0.6315352227431836,0.6802197802197802,0.6800591515008371,1308,4152
Layer 19,19,0.8088678307156855,0.8085590167353196,0.6435486349731054,0.6432503023521474,0.6835164835164835,0.6833064989143873,1308,4152
Layer 20,20,0.8149805504372496,0.815169738125839,0.639444710248938,0.6392438498448533,0.673992673992674,0.6737932428739951,1308,4152
Layer 21,21,0.823377497002135,0.8232163371741027,0.6495640323024953,0.6493808573075641,0.6847985347985348,0.6847056468636923,1308,4152
Layer 22,22,0.7996870521482261,0.7997300952129995,0.6449874588607136,0.6448906078068188,0.6891941391941392,0.6894989436795846,1308,4152
Layer 23,23,0.7821181012547161,0.78201080374286,0.6355910283734215,0.6353048358588048,0.6732600732600733,0.6732749820470239,1308,4152
Layer 24,24,0.791293030329619,0.7910952703142081,0.6245191596711757,0.6245148237064053,0.6663003663003664,0.6663827982389304,1308,4152
