Layer,Layer_Num,HighAgree_Acc,HighAgree_F1,LowAgree_Acc,LowAgree_F1,All_Acc,All_F1,HighAgree_N,LowAgree_N
CNN,0,0.7667924307566318,0.7650090475470745,0.6312617980949067,0.6304543583712677,0.6650183150183151,0.6643796143094545,1308,4152
Layer 1,1,0.7454242344476617,0.7446931483595997,0.6334217737375495,0.6330658913249876,0.6785714285714286,0.6781570181220705,1308,4152
Layer 2,2,0.746146646778392,0.7464540902459259,0.6317414060574428,0.6315320659064041,0.6692307692307693,0.6690657951442568,1308,4152
Layer 3,3,0.7583954841917464,0.7577269559898024,0.6348762559262321,0.6345801508661602,0.6684981684981686,0.668251704036215,1308,4152
Layer 4,4,0.7714076803837268,0.7714058964453411,0.6437855392689893,0.643562683896762,0.6747252747252748,0.6746707699850505,1308,4152
Layer 5,5,0.8073732853674944,0.806912695877547,0.6384907137575573,0.6379368741961431,0.6844322344322344,0.6841731299175843,1308,4152
Layer 6,6,0.8058377935714077,0.8057059965155231,0.6341539442970439,0.6337388619101902,0.6827838827838828,0.682694179249145,1308,4152
Layer 7,7,0.8172969494896318,0.8168592432572866,0.6384907137575573,0.638354488800658,0.6826007326007326,0.6824372730956373,1308,4152
Layer 8,8,0.7997162996110088,0.7995629167525131,0.6355988575239587,0.6354141828812458,0.6871794871794872,0.6871065970835113,1308,4152
Layer 9,9,0.8142318153900149,0.8139490475054693,0.6466701462891276,0.6466677537407809,0.6875457875457875,0.6875074710440034,1308,4152
Layer 10,10,0.8203591588429704,0.8198096470566888,0.6461896684209764,0.645948478601922,0.6904761904761905,0.690455481264147,1308,4152
Layer 11,11,0.8234096692111958,0.8235418189602276,0.6531753004798979,0.6524305464933957,0.6926739926739927,0.6924647717992414,1308,4152
Layer 12,12,0.8356409581468809,0.8356192512850609,0.6454705464457107,0.6450412308411516,0.6913919413919414,0.6916552398550386,1308,4152
Layer 13,13,0.831049106490012,0.8309857466448382,0.6464312122134748,0.6465395960402096,0.6913919413919414,0.6912153185155135,1308,4152
Layer 14,14,0.8241671784972654,0.8242045272112793,0.6474017369115451,0.647486451159484,0.6924908424908425,0.6923735323949209,1308,4152
Layer 15,15,0.8234155187037524,0.8230371834476307,0.6454682266974033,0.645428851407992,0.6884615384615385,0.6884579363243585,1308,4152
Layer 16,16,0.8165335907110058,0.8163293076909779,0.6519719310454816,0.6516210388241748,0.6904761904761905,0.690146784612282,1308,4152
Layer 17,17,0.8279985961217864,0.827731635956418,0.6565502442984936,0.656504392766327,0.6943223443223443,0.6943118689265912,1308,4152
Layer 18,18,0.8241759527361001,0.8239352201463944,0.6524576283473243,0.6520564577237217,0.6906593406593406,0.6905249223286887,1308,4152
Layer 19,19,0.8226550846714048,0.8220619430445668,0.6567935279022226,0.656741997612202,0.6934065934065934,0.6934155263376661,1308,4152
Layer 20,20,0.8050627358076687,0.8037748972700468,0.6558343119771506,0.6557192403531492,0.7007326007326007,0.7004770529125908,1308,4152
Layer 21,21,0.823389195987248,0.8228222585023449,0.67196671161179,0.671633418952674,0.6978021978021978,0.6977641730621815,1308,4152
Layer 22,22,0.8379193354976456,0.8369060399550404,0.6722053557189044,0.6723137217652644,0.6941391941391941,0.6940677373507118,1308,4152
Layer 23,23,0.8295165394402035,0.829169147774597,0.6700381308628014,0.6702898801481223,0.6985347985347985,0.6985216491487732,1308,4152
Layer 24,24,0.8310403322511772,0.830928417144597,0.657271975990605,0.6575549036661893,0.6961538461538461,0.6962513769471778,1308,4152
