Layer,Layer_Num,HighAgree_Acc,HighAgree_F1,LowAgree_Acc,LowAgree_F1,All_Acc,All_F1,HighAgree_N,LowAgree_N
CNN,0,0.4388464800678541,0.43732427235910637,0.3964397662853581,0.3927028941784704,0.41684981684981687,0.4154296715324642,1308,4152
Layer 1,1,0.6536924921763038,0.6521681256024582,0.5291363287083352,0.5284980515231972,0.5805860805860805,0.5806482996949451,1308,4152
Layer 2,2,0.6819689391945248,0.6806404382753046,0.5522616096153568,0.5520471821426407,0.5934065934065934,0.5931618654944355,1308,4152
Layer 3,3,0.7117955017402241,0.710255005880738,0.5794795064735476,0.579394595403285,0.63003663003663,0.6298554358643387,1308,4152
Layer 4,4,0.7347255125617853,0.7338154969078691,0.5932098067359692,0.5929829131043353,0.6315018315018315,0.6311900809163367,1308,4152
Layer 5,5,0.7301336609049164,0.730079776507368,0.5960941237875691,0.5960003542951834,0.6347985347985348,0.6344052413609295,1308,4152
Layer 6,6,0.726296393787839,0.7257326926246932,0.602359184028533,0.6022902052774313,0.6465201465201464,0.6466933830239497,1308,4152
Layer 7,7,0.741598666315697,0.7414075596884302,0.603320429733374,0.6030788029305849,0.6441391941391941,0.6441861413124745,1308,4152
Layer 8,8,0.7186540317627446,0.7188305691630108,0.5989772809650153,0.5990694548596645,0.636080586080586,0.6355717482764582,1308,4152
Layer 9,9,0.7477026117984263,0.747933467319968,0.6156090064228031,0.6157036461665505,0.6576923076923077,0.6574734621681252,1308,4152
Layer 10,10,0.7446667251615923,0.7440695665237312,0.6189801806503994,0.618887679336696,0.653113553113553,0.6528917719816472,1308,4152
Layer 11,11,0.7339299815740985,0.7336913735366836,0.6160926739448771,0.6162863987735765,0.6402930402930402,0.64022148360201,1308,4152
Layer 12,12,0.742338627124097,0.7422976461463844,0.5828509706696823,0.5828158598210313,0.639010989010989,0.6386722486696899,1308,4152
Layer 13,13,0.7431195343803926,0.7427444506416876,0.6009128209589261,0.6008602038382473,0.6329670329670329,0.6325790847686055,1308,4152
Layer 14,14,0.7645403761223714,0.7641233689099647,0.6095875197541067,0.6097256833024248,0.6499999999999999,0.6500513456636934,1308,4152
Layer 15,15,0.7515457284080606,0.7518837105354701,0.6124747364910907,0.6124574914548926,0.652014652014652,0.6517407977183381,1308,4152
Layer 16,16,0.7706443216051008,0.771019019725521,0.6252426311745175,0.6248710593628701,0.6692307692307692,0.6693653265916555,1308,4152
Layer 17,17,0.7667982802491883,0.7667680562573868,0.6336711466805852,0.6333815202140423,0.6600732600732601,0.6600346752169719,1308,4152
Layer 18,18,0.7484571963382176,0.748070188820824,0.6139239992460819,0.613845279608281,0.6582417582417582,0.6581977295598054,1308,4152
Layer 19,19,0.761457693545085,0.7610746859916631,0.6165641627883375,0.616196804541887,0.6571428571428571,0.6571154242799222,1308,4152
Layer 20,20,0.7408060600742885,0.7398653817385327,0.6088576689429197,0.6083975680972266,0.6384615384615384,0.6383145112637731,1308,4152
Layer 21,21,0.7293381299172297,0.7292044700223326,0.6105470256477171,0.6101438692052719,0.6478021978021977,0.6476272569892151,1308,4152
Layer 22,22,0.7232224854493873,0.7229649644350082,0.5855024429849361,0.5852825553149478,0.6230769230769231,0.6229957076744659,1308,4152
Layer 23,23,0.708651399491094,0.7079365992364105,0.5585243501080133,0.5582964150254819,0.6054945054945056,0.6055092996448604,1308,4152
Layer 24,24,0.6612880582609458,0.6603958851211621,0.5498551607150624,0.5497016717926955,0.5924908424908425,0.5923448968175673,1308,4152
