Layer,Layer_Num,HighAgree_Acc,HighAgree_F1,LowAgree_Acc,LowAgree_F1,All_Acc,All_F1,HighAgree_N,LowAgree_N
CNN,0,0.7003070983592173,0.6989821510878913,0.6062108361242806,0.6060389682487001,0.6393772893772894,0.6391076967033531,1308,4152
Layer 1,1,0.7301278114123599,0.7293024696127983,0.5905531149870239,0.5903601784476968,0.6336996336996337,0.6336713499935696,1308,4152
Layer 2,2,0.7446374776988096,0.7441478218253577,0.5893529352065301,0.5892127525720247,0.6296703296703297,0.6295915193101542,1308,4152
Layer 3,3,0.7568921646047205,0.7566406672384803,0.5879042523886158,0.5876317235724356,0.6282051282051282,0.628156592638026,1308,4152
Layer 4,4,0.7645286771372584,0.764449541436648,0.5970655183912545,0.596938004276306,0.6368131868131868,0.6365512776179998,1308,4152
Layer 5,5,0.7790705156327689,0.7789671274947387,0.5973003929073697,0.5972265001042715,0.6316849816849817,0.6314535311139056,1308,4152
Layer 6,6,0.7813137960281946,0.7807736106911246,0.5973018427500616,0.597185757280646,0.6377289377289377,0.6374094474739165,1308,4152
Layer 7,7,0.771366733935831,0.7710494288324234,0.591519290157018,0.5913247036205553,0.6214285714285714,0.6210462660357754,1308,4152
Layer 8,8,0.7813167207744728,0.7805712362851936,0.5907917590941383,0.5908154118795438,0.6415750915750916,0.6412258815826717,1308,4152
Layer 9,9,0.750741423181539,0.7497708807171791,0.6091047221376481,0.608996916208064,0.6379120879120879,0.6378422395743433,1308,4152
Layer 10,10,0.7599134275101636,0.7593761706651406,0.5917631536978238,0.5915091382094104,0.6278388278388278,0.6275173190255671,1308,4152
Layer 11,11,0.756099558363312,0.7558301933407704,0.588630043640265,0.5881883663019926,0.6212454212454213,0.6209939638789839,1308,4152
Layer 12,12,0.7469070808107396,0.7469247504530397,0.5855038928276282,0.5852594381829865,0.617948717948718,0.6174498706818599,1308,4152
Layer 13,13,0.7400280775642714,0.7396281756547891,0.5741838110565004,0.5737181869593948,0.6100732600732601,0.6096804382351573,1308,4152
Layer 14,14,0.7377701734374543,0.7378464857593192,0.5640630391602511,0.563460992539315,0.6029304029304029,0.6027904473459256,1308,4152
Layer 15,15,0.7331929455119768,0.7327300789748195,0.5765882301770258,0.5766162212213616,0.6131868131868132,0.6128300288647235,1308,4152
Layer 16,16,0.7354771723552982,0.7355492121282545,0.5770698679193308,0.576589325141068,0.6104395604395605,0.6102354911875942,1308,4152
Layer 17,17,0.7285689216460473,0.7285487497589445,0.5645498963362476,0.5641963404693204,0.608974358974359,0.6088197387291101,1308,4152
Layer 18,18,0.726287619549004,0.7266655170680241,0.582129238977571,0.5820309453227402,0.6126373626373627,0.6126589382278126,1308,4152
Layer 19,19,0.7163405574566406,0.7162160773179695,0.5727362881127398,0.5725674689885796,0.6157509157509158,0.6155878076927681,1308,4152
Layer 20,20,0.683475183527829,0.6835414392721838,0.5809235497948472,0.580472291298582,0.6007326007326007,0.6004800925781624,1308,4152
Layer 21,21,0.6765991050276388,0.6766522185834817,0.5505719629420208,0.5501401559677832,0.6003663003663005,0.5998656093940518,1308,4152
Layer 22,22,0.645237050685853,0.6448570085615082,0.5257695040088151,0.5252054431579881,0.5798534798534799,0.5791347955189124,1308,4152
Layer 23,23,0.6192389810183967,0.6186106505307805,0.5108425035883607,0.510449244256699,0.5461538461538462,0.5456250186829347,1308,4152
Layer 24,24,0.5106548506917025,0.5088476574872256,0.45736969538805045,0.457060060436609,0.5003663003663004,0.499656726838061,1308,4152
