layer,target_acc_mean,target_acc_std,proxy_acc_mean,proxy_acc_std,target_f1_mean,text_bias_mean,text_bias_std,n_train,n_test,model,category,chance
0,0.753858024691358,0.05792692709606005,0.10185185185185185,0.021084260835307816,0.7543691608131297,-0.6520061728395061,0.07674269604417504,237.75,87.75,HuBERT,explicit,0.25
1,0.8101851851851851,0.03081271426311101,0.0779320987654321,0.04843319390887412,0.810273543068786,-0.7322530864197531,0.07682540407954236,237.75,87.75,HuBERT,explicit,0.25
2,0.8402777777777778,0.010197647943209378,0.07098765432098765,0.03246858814415535,0.8425063987616148,-0.7692901234567902,0.040428957249235724,237.75,87.75,HuBERT,explicit,0.25
3,0.845679012345679,0.03266359643289617,0.07561728395061729,0.02488351156882268,0.8452161408041459,-0.7700617283950617,0.05366584920059656,237.75,87.75,HuBERT,explicit,0.25
4,0.8449074074074074,0.02877441619536423,0.06635802469135801,0.026370381929992383,0.8449774699385415,-0.7785493827160493,0.04219675007163753,237.75,87.75,HuBERT,explicit,0.25
5,0.849537037037037,0.05353996845650764,0.06712962962962962,0.02877441619536419,0.8495837724156583,-0.7824074074074074,0.07765275077413036,237.75,87.75,HuBERT,explicit,0.25
6,0.8240740740740741,0.05910043875039127,0.07484567901234568,0.033086170228160496,0.8232829610753221,-0.7492283950617284,0.08935971414693479,237.75,87.75,HuBERT,explicit,0.25
7,0.7916666666666666,0.01773013162511734,0.09722222222222221,0.02039529588641873,0.7908148720704054,-0.6944444444444444,0.02737476274825115,237.75,87.75,HuBERT,explicit,0.25
8,0.7685185185185185,0.03546026325023474,0.11959876543209876,0.025373173776005193,0.7673696848707906,-0.6489197530864197,0.04112975207333475,237.75,87.75,HuBERT,explicit,0.25
9,0.7569444444444444,0.055975493345808126,0.13271604938271603,0.027374762748251177,0.7571465533028439,-0.6242283950617283,0.0778518410841323,237.75,87.75,HuBERT,explicit,0.25
10,0.7337962962962963,0.013888888888888848,0.15123456790123457,0.03086419753086419,0.7349223258096016,-0.5825617283950617,0.03299005914572829,237.75,87.75,HuBERT,explicit,0.25
11,0.6890432098765432,0.032602781640927635,0.19444444444444442,0.03686517050857801,0.6906170629194031,-0.49459876543209874,0.06782520060207627,237.75,87.75,HuBERT,explicit,0.25
12,0.6435185185185185,0.01054213041765389,0.23842592592592593,0.05597549334580812,0.6453182854328406,-0.4050925925925926,0.0645140483900115,237.75,87.75,HuBERT,explicit,0.25
13,0.6111111111111112,0.015938203070812472,0.25771604938271603,0.044046861375735887,0.6157490713391409,-0.3533950617283951,0.05074634755201038,237.75,87.75,HuBERT,explicit,0.25
14,0.5455246913580247,0.05676411777083185,0.3479938271604938,0.0841627297954562,0.5571450190471317,-0.19753086419753085,0.1407623981603874,237.75,87.75,HuBERT,explicit,0.25
15,0.41435185185185186,0.017161344976967353,0.4976851851851852,0.01908845197045214,0.42416205356431835,0.08333333333333334,0.021084260835307806,237.75,87.75,HuBERT,explicit,0.25
16,0.3287037037037037,0.03395061728395063,0.5671296296296297,0.040034326453928494,0.339791571998463,0.23842592592592593,0.07344446934747402,237.75,87.75,HuBERT,explicit,0.25
17,0.2345679012345679,0.020160409405622862,0.6597222222222222,0.04353019135399185,0.23348738927949161,0.4251543209876544,0.05976162022861949,237.75,87.75,HuBERT,explicit,0.25
18,0.18132716049382716,0.03540425269047277,0.7191358024691358,0.06325278250592344,0.17990983128438304,0.5378086419753086,0.09858442131903977,237.75,87.75,HuBERT,explicit,0.25
19,0.13271604938271603,0.043209876543209874,0.7862654320987654,0.062004270363102264,0.1405040257910166,0.6535493827160493,0.1040379863622418,237.75,87.75,HuBERT,explicit,0.25
20,0.10648148148148148,0.04137030712527388,0.8233024691358024,0.06034325554326277,0.10730366143382414,0.716820987654321,0.09992805291704987,237.75,87.75,HuBERT,explicit,0.25
21,0.14043209876543208,0.04817847520151479,0.7878086419753086,0.055405318120420474,0.1510724956420893,0.6473765432098765,0.10225245447653884,237.75,87.75,HuBERT,explicit,0.25
22,0.2222222222222222,0.07676855187727419,0.7029320987654321,0.07200359967461852,0.22700281682272802,0.4807098765432099,0.14858421334385402,237.75,87.75,HuBERT,explicit,0.25
23,0.2847222222222222,0.08329045536119527,0.5910493827160493,0.09077432820896751,0.28688341908014997,0.30632716049382713,0.1735613783362888,237.75,87.75,HuBERT,explicit,0.25
24,0.26774691358024694,0.05863520645361758,0.599537037037037,0.06102349582435947,0.27636652733391653,0.33179012345679015,0.11737867086973708,237.75,87.75,HuBERT,explicit,0.25
