layer,target_acc_mean,target_acc_std,proxy_acc_mean,proxy_acc_std,target_f1_mean,text_bias_mean,text_bias_std,n_train,n_test,model,category,chance
0,0.7847222222222222,0.045247025864591575,0.06635802469135801,0.0361256170083939,0.7836887396105936,-0.7183641975308642,0.07641096866748481,237.75,87.75,HuBERT,implicit,0.25
1,0.8580246913580247,0.07441621942397167,0.042438271604938266,0.02114066109880094,0.8580279187128227,-0.8155864197530864,0.09550877594002957,237.75,87.75,HuBERT,implicit,0.25
2,0.8672839506172839,0.04320987654320987,0.048611111111111105,0.03027996430609349,0.8665818427960239,-0.8186728395061729,0.07204768576457468,237.75,87.75,HuBERT,implicit,0.25
3,0.8996913580246914,0.02488351156882268,0.03009259259259259,0.01477510968759781,0.8993196346873091,-0.8695987654320987,0.032505241312715205,237.75,87.75,HuBERT,implicit,0.25
4,0.8981481481481481,0.021084260835307827,0.02546296296296296,0.010197647943209367,0.8978263619039544,-0.8726851851851852,0.027763485120398446,237.75,87.75,HuBERT,implicit,0.25
5,0.8950617283950617,0.029388594356143386,0.03780864197530864,0.016787210773745596,0.894278982142205,-0.8572530864197531,0.03549382716049377,237.75,87.75,HuBERT,implicit,0.25
6,0.8757716049382716,0.018921372590277277,0.03009259259259259,0.02230992638086568,0.8737345996660612,-0.845679012345679,0.03838427593863708,237.75,87.75,HuBERT,implicit,0.25
7,0.8672839506172839,0.01851851851851852,0.03009259259259259,0.017161344976967363,0.8653793634045164,-0.8371913580246914,0.015813195626480817,237.75,87.75,HuBERT,implicit,0.25
8,0.8433641975308641,0.01540635713155549,0.03317901234567901,0.02216714138520087,0.8412079922205328,-0.8101851851851851,0.015432098765432072,237.75,87.75,HuBERT,implicit,0.25
9,0.8518518518518519,0.010080204702811412,0.02854938271604938,0.01540635713155549,0.8506797006486928,-0.8233024691358024,0.011650979066775851,237.75,87.75,HuBERT,implicit,0.25
10,0.8387345679012346,0.018237755042423677,0.035493827160493825,0.01910923417799044,0.8377602235862757,-0.8032407407407407,0.02671432545802221,237.75,87.75,HuBERT,implicit,0.25
11,0.8263888888888888,0.031513237433120525,0.037037037037037035,0.017459426695964137,0.8254819641168382,-0.7893518518518519,0.040034326453928515,237.75,87.75,HuBERT,implicit,0.25
12,0.7816358024691358,0.02996371580084511,0.051697530864197525,0.025622241574922367,0.780739272483526,-0.7299382716049383,0.03202547822278477,237.75,87.75,HuBERT,implicit,0.25
13,0.7530864197530864,0.030240614108434347,0.0625,0.01752749489444529,0.750729843083163,-0.6905864197530864,0.01892137259027732,237.75,87.75,HuBERT,implicit,0.25
14,0.7299382716049383,0.02867769519499251,0.06867283950617284,0.02114066109880094,0.7253061305899051,-0.6612654320987654,0.030488974306044164,237.75,87.75,HuBERT,implicit,0.25
15,0.6651234567901234,0.02488351156882269,0.08256172839506172,0.03849785440754662,0.6630125797121234,-0.5825617283950617,0.03299005914572832,237.75,87.75,HuBERT,implicit,0.25
16,0.595679012345679,0.05274076385998477,0.09953703703703703,0.03027996430609349,0.5936947619411496,-0.496141975308642,0.048301893921028315,237.75,87.75,HuBERT,implicit,0.25
17,0.5601851851851851,0.06118588765925618,0.10648148148148148,0.023301958133551702,0.5563109394942751,-0.4537037037037037,0.05274076385998477,237.75,87.75,HuBERT,implicit,0.25
18,0.48302469135802467,0.08850726837038321,0.21219135802469136,0.031814086617420224,0.48365064010972797,-0.2708333333333333,0.1086950102033354,237.75,87.75,HuBERT,implicit,0.25
19,0.44675925925925924,0.07231163787109139,0.25925925925925924,0.07676855187727419,0.4444832934385523,-0.1875,0.14666990113655076,237.75,87.75,HuBERT,implicit,0.25
20,0.4398148148148148,0.07830427976579439,0.29166666666666663,0.0917485535786689,0.4348028976964079,-0.14814814814814814,0.16776804206287663,237.75,87.75,HuBERT,implicit,0.25
21,0.48842592592592593,0.05715434954400234,0.21373456790123457,0.03979566962415933,0.48230329790062865,-0.27469135802469136,0.07701632622309838,237.75,87.75,HuBERT,implicit,0.25
22,0.6095679012345678,0.011684996596296874,0.09182098765432098,0.02599136851164564,0.6074764504393612,-0.5177469135802468,0.016787210773745596,237.75,87.75,HuBERT,implicit,0.25
23,0.6041666666666666,0.01019764794320936,0.12731481481481483,0.04710372717366826,0.6011268946521039,-0.47685185185185186,0.04656983661628095,237.75,87.75,HuBERT,implicit,0.25
24,0.5771604938271605,0.042017649910827445,0.13734567901234568,0.03916227635941209,0.5758798383097024,-0.4398148148148148,0.07430946822940064,237.75,87.75,HuBERT,implicit,0.25
