layer,target_acc_mean,target_acc_std,proxy_acc_mean,proxy_acc_std,target_f1_mean,text_bias_mean,text_bias_std,n_train,n_test,model,category,chance
0,0.7237359098228663,0.08707733004868914,0.10863123993558776,0.03337446022538907,0.7290883095970453,-0.6151046698872785,0.11846459600897863,249.6,187.2,WavLM,all,0.25
1,0.801159420289855,0.0778404644312212,0.08753623188405797,0.051183113215573714,0.8108833048181914,-0.7136231884057971,0.12884629444875798,249.6,187.2,WavLM,all,0.25
2,0.8337842190016103,0.03593335595089916,0.07558776167471819,0.03660066392441561,0.8444879788007833,-0.7581964573268921,0.07023090569816716,249.6,187.2,WavLM,all,0.25
3,0.8405475040257648,0.03999761429039839,0.06950080515297906,0.03902220242498572,0.8506702304108705,-0.7710466988727859,0.07792819427067116,249.6,187.2,WavLM,all,0.25
4,0.8386151368760064,0.03364352702028759,0.07410628019323671,0.029771156082068453,0.8465992185532152,-0.7645088566827697,0.06270664557877616,249.6,187.2,WavLM,all,0.25
5,0.8048309178743962,0.0300916164297535,0.0922061191626409,0.04003085877694263,0.8170841098655848,-0.7126247987117552,0.06600482854105347,249.6,187.2,WavLM,all,0.25
6,0.7933333333333333,0.03013114388205905,0.10892109500805154,0.030068685671094632,0.8036830786727558,-0.6844122383252819,0.05924858126858443,249.6,187.2,WavLM,all,0.25
7,0.7828985507246377,0.0161442307819945,0.10560386473429953,0.01870257895123801,0.7931558333861304,-0.6772946859903382,0.029297834203007352,249.6,187.2,WavLM,all,0.25
8,0.7641867954911433,0.023034018162791357,0.13355877616747183,0.05104741004396481,0.781924093828832,-0.6306280193236715,0.06366885848518164,249.6,187.2,WavLM,all,0.25
9,0.7550402576489532,0.018008952273508863,0.10521739130434785,0.03633543977342511,0.7554866435849288,-0.6498228663446055,0.052490738009801995,249.6,187.2,WavLM,all,0.25
10,0.7657971014492754,0.028314289492669037,0.10460547504025763,0.02239008688636533,0.7689989212029362,-0.6611916264090177,0.0486323063516821,249.6,187.2,WavLM,all,0.25
11,0.7541062801932368,0.012523170431706107,0.11742351046698873,0.01917630333397332,0.7626570867378304,-0.6366827697262479,0.029027166341370626,249.6,187.2,WavLM,all,0.25
12,0.7169082125603865,0.014347094111031402,0.1546537842190016,0.029793184381901042,0.7295824431590578,-0.5622544283413848,0.030159100402242837,249.6,187.2,WavLM,all,0.25
13,0.6584863123993558,0.01807793472322438,0.2077294685990338,0.03426888473617044,0.6739725054381955,-0.45075684380032205,0.03681555283496651,249.6,187.2,WavLM,all,0.25
14,0.5783252818035427,0.025381507451162414,0.2818679549114332,0.04342299821875082,0.599710570478475,-0.29645732689210946,0.056407847781546325,249.6,187.2,WavLM,all,0.25
15,0.500547504025765,0.031086329868258607,0.3566183574879227,0.05403549545073159,0.5161311066834626,-0.14392914653784222,0.08249706023363389,249.6,187.2,WavLM,all,0.25
16,0.4293719806763285,0.044630988477086506,0.4378743961352657,0.10007675180091044,0.4555578401971512,0.008502415458937197,0.14109985616170678,249.6,187.2,WavLM,all,0.25
17,0.3183574879227053,0.08391486513448536,0.5404830917874397,0.14132164723370919,0.3374278595899375,0.2221256038647343,0.22267659911078902,249.6,187.2,WavLM,all,0.25
18,0.2904991948470209,0.07421955887399892,0.5837037037037037,0.11962581351863692,0.31094811479670736,0.29320450885668276,0.1895672254754242,249.6,187.2,WavLM,all,0.25
19,0.2635426731078905,0.04532168857977129,0.6114975845410628,0.07764744383333831,0.28673948703406377,0.3479549114331723,0.11887103633745985,249.6,187.2,WavLM,all,0.25
20,0.27288244766505637,0.062016810867633394,0.6005152979066022,0.08701155293302822,0.2943632000093709,0.32763285024154587,0.14355160050813878,249.6,187.2,WavLM,all,0.25
21,0.3238647342995169,0.08180500081117677,0.5480515297906602,0.1235727850141734,0.3443741124856197,0.22418679549114331,0.20331470753896191,249.6,187.2,WavLM,all,0.25
22,0.43790660225442835,0.047123341596058424,0.42080515297906607,0.10443913620881505,0.4676914290324855,-0.017101449275362314,0.14580715350972814,249.6,187.2,WavLM,all,0.25
23,0.4038647342995169,0.09072870194062593,0.43890499194847016,0.14058227406803228,0.4268822055753527,0.03504025764895331,0.22975069814235707,249.6,187.2,WavLM,all,0.25
24,0.3465056360708535,0.10673743927823823,0.4745249597423511,0.1446183138808423,0.36079595593095115,0.12801932367149757,0.2508465445072398,249.6,187.2,WavLM,all,0.25
