layer,target_acc_mean,target_acc_std,proxy_acc_mean,proxy_acc_std,target_f1_mean,text_bias_mean,text_bias_std,n_train,n_test,model,category,chance
0,0.7523148148148149,0.057265355911356446,0.1103395061728395,0.027648877881433512,0.751592456103573,-0.6419753086419753,0.08373246892747249,237.75,87.75,WavLM,explicit,0.25
1,0.8148148148148148,0.020160409405622862,0.08410493827160494,0.014115661248983783,0.8158543149052119,-0.7307098765432098,0.024610851263180425,237.75,87.75,WavLM,explicit,0.25
2,0.8310185185185185,0.02435144110811651,0.08256172839506172,0.03849785440754662,0.832249575602203,-0.7484567901234568,0.05864197530864194,237.75,87.75,WavLM,explicit,0.25
3,0.8518518518518519,0.036344694923159906,0.06712962962962962,0.020531072061188378,0.8525945411584469,-0.7847222222222222,0.053717596708232576,237.75,87.75,WavLM,explicit,0.25
4,0.820216049382716,0.04717109042177778,0.09104938271604937,0.029976959432784903,0.819512459674027,-0.7291666666666666,0.07528059755769075,237.75,87.75,WavLM,explicit,0.25
5,0.7839506172839505,0.03266359643289622,0.11265432098765432,0.019109234177990445,0.7849619596883834,-0.6712962962962963,0.0481784752015148,237.75,87.75,WavLM,explicit,0.25
6,0.7530864197530864,0.03634469492315983,0.15123456790123457,0.03821846835598089,0.7556867021586318,-0.6018518518518519,0.07225123401678775,237.75,87.75,WavLM,explicit,0.25
7,0.7145061728395061,0.007767319377850566,0.16820987654320987,0.011684996596296853,0.7181577578532105,-0.5462962962962963,0.011820087750078307,237.75,87.75,WavLM,explicit,0.25
8,0.6774691358024691,0.044046861375735914,0.19367283950617284,0.0320130820627605,0.6816451247742369,-0.4837962962962963,0.07591065957798951,237.75,87.75,WavLM,explicit,0.25
9,0.6759259259259259,0.027374762748251173,0.19444444444444442,0.021084260835307816,0.6779648307463373,-0.48148148148148145,0.0461933010712832,237.75,87.75,WavLM,explicit,0.25
10,0.695216049382716,0.03540425269047275,0.19753086419753085,0.010080204702811436,0.7010555661375337,-0.4976851851851852,0.03715473411470029,237.75,87.75,WavLM,explicit,0.25
11,0.6990740740740741,0.03081271426311101,0.19753086419753085,0.036344694923159865,0.7057245142368441,-0.5015432098765432,0.05074634755201041,237.75,87.75,WavLM,explicit,0.25
12,0.6373456790123457,0.03541546188900927,0.2492283950617284,0.024610851263180435,0.6434683751718712,-0.3881172839506173,0.0599737766366467,237.75,87.75,WavLM,explicit,0.25
13,0.5416666666666667,0.04629629629629631,0.33641975308641975,0.03246858814415535,0.5504324403186628,-0.20524691358024694,0.07633301152901048,237.75,87.75,WavLM,explicit,0.25
14,0.44753086419753085,0.021084260835307813,0.44753086419753085,0.021084260835307816,0.45476405623604316,0.0,0.036344694923159865,237.75,87.75,WavLM,explicit,0.25
15,0.36651234567901236,0.041970391263648675,0.5455246913580247,0.04777308544497612,0.3780731250194237,0.17901234567901236,0.08931084121074366,237.75,87.75,WavLM,explicit,0.25
16,0.3125,0.05798171729709648,0.595679012345679,0.08150330172978754,0.32459731863034996,0.283179012345679,0.13858849545140103,237.75,87.75,WavLM,explicit,0.25
17,0.24614197530864196,0.035672301332481095,0.6589506172839507,0.04764829702431852,0.25992437404714863,0.41280864197530864,0.08182893713720796,237.75,87.75,WavLM,explicit,0.25
18,0.18364197530864196,0.028677695194992494,0.7260802469135802,0.021878776047465767,0.1888072492161042,0.5424382716049383,0.04621907139466646,237.75,87.75,WavLM,explicit,0.25
19,0.158179012345679,0.027991291893853486,0.7530864197530864,0.0334322568092015,0.157002664612873,0.5949074074074074,0.05960200733671027,237.75,87.75,WavLM,explicit,0.25
20,0.14583333333333331,0.05036163232123679,0.7592592592592593,0.05189102968279213,0.14391142265499846,0.6134259259259259,0.10147313929445871,237.75,87.75,WavLM,explicit,0.25
21,0.1882716049382716,0.054633407602270596,0.7037037037037037,0.050401023514057126,0.184635477489647,0.5154320987654321,0.10048654688950436,237.75,87.75,WavLM,explicit,0.25
22,0.29552469135802467,0.0683846893087175,0.5925925925925926,0.08000914442478836,0.29995072093237796,0.2970679012345679,0.14789877417108893,237.75,87.75,WavLM,explicit,0.25
23,0.3101851851851852,0.055297755762867,0.5648148148148148,0.08456264439520382,0.316390997216379,0.25462962962962965,0.13870586935441787,237.75,87.75,WavLM,explicit,0.25
24,0.27237654320987653,0.03774823005958296,0.591820987654321,0.06838468930871745,0.28103623908700553,0.3194444444444444,0.10528567525359585,237.75,87.75,WavLM,explicit,0.25
