layer,target_acc_mean,target_acc_std,proxy_acc_mean,proxy_acc_std,target_f1_mean,text_bias_mean,text_bias_std,n_train,n_test,model,category,chance
0,0.7862654320987654,0.020989923624591723,0.07716049382716049,0.021084260835307813,0.7844850970799427,-0.7091049382716049,0.021140661098800903,237.75,87.75,WavLM,implicit,0.25
1,0.8819444444444444,0.022309926380865677,0.02854938271604938,0.01540635713155549,0.8815641806842949,-0.8533950617283951,0.02867769519499249,237.75,87.75,WavLM,implicit,0.25
2,0.8757716049382716,0.027185617822476974,0.037037037037037035,0.017459426695964134,0.8757147871767572,-0.8387345679012346,0.030696561209538467,237.75,87.75,WavLM,implicit,0.25
3,0.8734567901234568,0.015534638755701076,0.042438271604938266,0.015611101754622962,0.8735320520157663,-0.8310185185185186,0.024351441108116503,237.75,87.75,WavLM,implicit,0.25
4,0.8850308641975309,0.01697530864197528,0.039351851851851846,0.011092519883152173,0.8846261076654036,-0.845679012345679,0.025699580240322605,237.75,87.75,WavLM,implicit,0.25
5,0.8503086419753086,0.02384080293468407,0.037037037037037035,0.0,0.850173871455336,-0.8132716049382716,0.02384080293468407,237.75,87.75,WavLM,implicit,0.25
6,0.8472222222222222,0.028231322497967573,0.05324074074074074,0.024351441108116514,0.8463902701712156,-0.7939814814814814,0.04105247675458593,237.75,87.75,WavLM,implicit,0.25
7,0.8371913580246914,0.02932098765432101,0.041666666666666664,0.018432585254289008,0.8361078770792929,-0.7955246913580247,0.03620244508212535,237.75,87.75,WavLM,implicit,0.25
8,0.8518518518518519,0.01008020470281142,0.033950617283950615,0.01553463875570113,0.8509626657145286,-0.8179012345679013,0.02336999319259372,237.75,87.75,WavLM,implicit,0.25
9,0.8240740740740741,0.018518518518518493,0.039351851851851846,0.040271568983641634,0.8232006560063088,-0.7847222222222222,0.05203615833360299,237.75,87.75,WavLM,implicit,0.25
10,0.8155864197530864,0.029429083827958433,0.04089506172839506,0.014558612858112042,0.8146127166231786,-0.7746913580246914,0.029171701396620973,237.75,87.75,WavLM,implicit,0.25
11,0.8009259259259259,0.02684771265576111,0.039351851851851846,0.011092519883152173,0.7995151298879368,-0.7615740740740741,0.021586558907775017,237.75,87.75,WavLM,implicit,0.25
12,0.7777777777777778,0.0266697148082628,0.047839506172839504,0.02588425025804346,0.77337333522202,-0.7299382716049383,0.05099602358598242,237.75,87.75,WavLM,implicit,0.25
13,0.7515432098765432,0.01623429407207766,0.05864197530864197,0.02737476274825117,0.7500300092950831,-0.6929012345679012,0.023840802934684113,237.75,87.75,WavLM,implicit,0.25
14,0.7006172839506173,0.02917170139662101,0.07716049382716049,0.027374762748251173,0.6984403659649547,-0.6234567901234568,0.025699580240322664,237.75,87.75,WavLM,implicit,0.25
15,0.6790123456790124,0.022540022942599432,0.08410493827160494,0.04331080218064151,0.6783877744399454,-0.5949074074074074,0.05209714418322722,237.75,87.75,WavLM,implicit,0.25
16,0.6172839506172839,0.030240614108434326,0.10339506172839505,0.051244483149844734,0.6154660899415999,-0.5138888888888888,0.0689914350999958,237.75,87.75,WavLM,implicit,0.25
17,0.5462962962962963,0.04768160586936822,0.14583333333333331,0.03629004943303965,0.5436534389721434,-0.40046296296296297,0.06697720503279442,237.75,87.75,WavLM,implicit,0.25
18,0.5239197530864197,0.07331465135938088,0.2052469135802469,0.07699570881509324,0.5220262973955181,-0.3186728395061728,0.13672003430112917,237.75,87.75,WavLM,implicit,0.25
19,0.49228395061728397,0.04404686137573595,0.24614197530864196,0.04309029602759973,0.4879522254357457,-0.24614197530864199,0.08420044978829469,237.75,87.75,WavLM,implicit,0.25
20,0.5192901234567902,0.06763767592842938,0.22839506172839505,0.04781460921243725,0.5121844530686557,-0.2908950617283951,0.10494961812295867,237.75,87.75,WavLM,implicit,0.25
21,0.6080246913580247,0.021084260835307827,0.14891975308641975,0.022023430687867947,0.6016635713218255,-0.4591049382716049,0.024089237600757405,237.75,87.75,WavLM,implicit,0.25
22,0.6435185185185185,0.056659135032980895,0.10030864197530864,0.04574430879715167,0.6376269710195607,-0.5432098765432098,0.07338499794290952,237.75,87.75,WavLM,implicit,0.25
23,0.6126543209876543,0.04711215284714121,0.11419753086419752,0.04660391626710339,0.609029891872108,-0.4984567901234568,0.05907356880640163,237.75,87.75,WavLM,implicit,0.25
24,0.5555555555555556,0.04728035100031298,0.13580246913580246,0.030240614108434292,0.5519601003247341,-0.41975308641975306,0.043938593629758466,237.75,87.75,WavLM,implicit,0.25
