layer,target_acc_mean,target_acc_std,proxy_acc_mean,proxy_acc_std,target_f1_mean,text_bias_mean,text_bias_std,n_train,n_test,model,category,chance
0,0.7755233494363929,0.034473337280745045,0.10599033816425121,0.020799892645992413,0.7864232376773223,-0.6695330112721416,0.05000569149825538,249.6,187.2,Whisper,all,0.25
1,0.6881803542673108,0.019138132339894504,0.13523349436392915,0.006956447187529194,0.6967429732939008,-0.5529468599033815,0.024254864323902305,249.6,187.2,Whisper,all,0.25
2,0.7436392914653784,0.02348950160437892,0.10331723027375202,0.031251056340261776,0.7501596121113797,-0.6403220611916265,0.04964048572905059,249.6,187.2,Whisper,all,0.25
3,0.7625764895330113,0.049341834696713584,0.10183574879227053,0.029556375173604755,0.7707226425451139,-0.6607407407407407,0.057836038965842676,249.6,187.2,Whisper,all,0.25
4,0.7755555555555556,0.01569713825388919,0.09809983896940419,0.035932273478527024,0.7838722337835764,-0.6774557165861514,0.042240077980288684,249.6,187.2,Whisper,all,0.25
5,0.7680515297906603,0.00908189718879976,0.10917874396135266,0.01950398960211241,0.7747648445564306,-0.6588727858293076,0.027047771877476968,249.6,187.2,Whisper,all,0.25
6,0.7733333333333333,0.029737429049215006,0.09713365539452497,0.021671152738449845,0.7784768769993394,-0.6761996779388084,0.04498815596491244,249.6,187.2,Whisper,all,0.25
7,0.7855072463768116,0.03236354439506135,0.09156199677938807,0.02459860287976508,0.7920169246185214,-0.6939452495974235,0.05155388929250386,249.6,187.2,Whisper,all,0.25
8,0.7734943639291465,0.037822587172685294,0.1134621578099839,0.024474955446006544,0.7816975303448684,-0.6600322061191626,0.05858177104178861,249.6,187.2,Whisper,all,0.25
9,0.7961996779388084,0.018834935912326926,0.09758454106280193,0.013405253068127154,0.8026963019182402,-0.6986151368760064,0.027416280630200605,249.6,187.2,Whisper,all,0.25
10,0.784927536231884,0.02369219247200054,0.10805152979066021,0.017871494447562284,0.7943142423370173,-0.6768760064412238,0.03471238512663979,249.6,187.2,Whisper,all,0.25
11,0.7671497584541063,0.0371132730756885,0.10801932367149758,0.025170890177716752,0.7720632277349908,-0.6591304347826087,0.06014599459697949,249.6,187.2,Whisper,all,0.25
12,0.7839291465378422,0.044306010923173524,0.10357487922705313,0.03681273534691368,0.7871096014194334,-0.6803542673107891,0.07796142922416506,249.6,187.2,Whisper,all,0.25
13,0.78,0.034600300543274065,0.10557165861513687,0.03162470355605098,0.7842226264190421,-0.6744283413848631,0.06259041965681753,249.6,187.2,Whisper,all,0.25
14,0.773011272141707,0.04799273708301703,0.11410628019323672,0.0314944724463567,0.7771146400717563,-0.6589049919484702,0.07744403178005137,249.6,187.2,Whisper,all,0.25
15,0.7251529790660225,0.01787889282052125,0.13816425120772946,0.038001855921347125,0.732018654961075,-0.5869887278582931,0.052726443502478584,249.6,187.2,Whisper,all,0.25
16,0.7606119162640902,0.029368466750282072,0.12782608695652173,0.020271443221963507,0.7699945450974414,-0.6327858293075684,0.04830939345094532,249.6,187.2,Whisper,all,0.25
17,0.7629307568438003,0.012683855757104566,0.12264090177133655,0.020213541530599215,0.7704754006411313,-0.6402898550724638,0.02865267850371467,249.6,187.2,Whisper,all,0.25
18,0.7365217391304348,0.018615025435814177,0.1391304347826087,0.03027717800191768,0.7423284826299125,-0.5973913043478261,0.023876661925691395,249.6,187.2,Whisper,all,0.25
19,0.7189371980676329,0.018717547004015022,0.15742351046698871,0.01575369816465219,0.7328489496851338,-0.5615136876006441,0.03053770225169617,249.6,187.2,Whisper,all,0.25
20,0.691916264090177,0.030841121855171818,0.17114331723027376,0.02350009697843072,0.7057749265700292,-0.5207729468599034,0.053768788707155644,249.6,187.2,Whisper,all,0.25
21,0.6711755233494363,0.033262856563387545,0.1892753623188406,0.01466245253340596,0.6859111581362785,-0.4819001610305958,0.035516574701853355,249.6,187.2,Whisper,all,0.25
22,0.6032528180354267,0.023445413273594475,0.27471819645732687,0.04229069375750267,0.6243594093986964,-0.3285346215780998,0.0582301419161625,249.6,187.2,Whisper,all,0.25
23,0.5699194847020934,0.02831630422966485,0.293365539452496,0.043126206319752815,0.5891401675617749,-0.2765539452495974,0.06847319356706306,249.6,187.2,Whisper,all,0.25
24,0.5482769726247987,0.03149998838256424,0.30966183574879225,0.043027724742329465,0.5677572096870782,-0.2386151368760064,0.0738483222403264,249.6,187.2,Whisper,all,0.25
