layer,target_acc_mean,target_acc_std,proxy_acc_mean,proxy_acc_std,target_f1_mean,text_bias_mean,text_bias_std,n_train,n_test,model,category,chance
0,0.8024691358024691,0.09128013585522154,0.0949074074074074,0.04197039126364867,0.803020909816121,-0.7075617283950617,0.13223366732020733,237.75,87.75,Whisper,explicit,0.25
1,0.7299382716049383,0.032025478222784745,0.11651234567901234,0.01561110175462296,0.728835256474357,-0.6134259259259259,0.043748480351889114,237.75,87.75,Whisper,explicit,0.25
2,0.7453703703703703,0.013687381374125585,0.11496913580246913,0.03356259748600547,0.7441186737697514,-0.6304012345679012,0.037069173300815765,237.75,87.75,Whisper,explicit,0.25
3,0.7376543209876543,0.03399734905732167,0.10725308641975308,0.03467932878741394,0.7361716158910488,-0.6304012345679012,0.05166873161352839,237.75,87.75,Whisper,explicit,0.25
4,0.7762345679012346,0.033574421547491184,0.10648148148148148,0.02823132249796758,0.7743513985580521,-0.6697530864197532,0.02336999319259372,237.75,87.75,Whisper,explicit,0.25
5,0.7407407407407407,0.05237828008789242,0.13425925925925924,0.038508163111549185,0.7430969013884653,-0.6064814814814814,0.08879381632643302,237.75,87.75,Whisper,explicit,0.25
6,0.7546296296296297,0.02684771265576108,0.13117283950617284,0.01168499659629686,0.7544637379176398,-0.6234567901234568,0.03563890550553243,237.75,87.75,Whisper,explicit,0.25
7,0.7708333333333333,0.022309926380865663,0.11651234567901234,0.027877621203372914,0.7713362453791821,-0.654320987654321,0.04393859362975846,237.75,87.75,Whisper,explicit,0.25
8,0.7638888888888888,0.010542130417653901,0.1388888888888889,0.011820087750078246,0.7661060838144116,-0.625,0.009259259259259184,237.75,87.75,Whisper,explicit,0.25
9,0.7955246913580247,0.03955557289498854,0.12114197530864197,0.032990059145728313,0.7967610040552858,-0.6743827160493827,0.06972394598706758,237.75,87.75,Whisper,explicit,0.25
10,0.779320987654321,0.04574430879715165,0.13117283950617284,0.03469077222240199,0.7812022240171859,-0.6481481481481481,0.07576935242601636,237.75,87.75,Whisper,explicit,0.25
11,0.7183641975308641,0.00684369068706282,0.17746913580246912,0.016998674528660798,0.7223395231455373,-0.5408950617283951,0.021290331364789045,237.75,87.75,Whisper,explicit,0.25
12,0.736111111111111,0.022185039766304357,0.1743827160493827,0.016234294072077677,0.7386399388920937,-0.5617283950617284,0.035638905505532475,237.75,87.75,Whisper,explicit,0.25
13,0.7337962962962963,0.013888888888888848,0.16820987654320987,0.021008824955413712,0.7345770264597934,-0.5655864197530864,0.0246108512631804,237.75,87.75,Whisper,explicit,0.25
14,0.7175925925925926,0.03432268995393477,0.18441358024691357,0.029857555269406272,0.7183611490649382,-0.533179012345679,0.062310781497503666,237.75,87.75,Whisper,explicit,0.25
15,0.6651234567901234,0.03432268995393471,0.24074074074074073,0.038384275938637094,0.6711070554151745,-0.4243827160493827,0.06159965999968191,237.75,87.75,Whisper,explicit,0.25
16,0.6944444444444444,0.03686517050857799,0.2175925925925926,0.03750560932830902,0.6978922323557923,-0.47685185185185186,0.07222925645460122,237.75,87.75,Whisper,explicit,0.25
17,0.7307098765432098,0.04696871083812127,0.18518518518518517,0.03634469492315986,0.735404220981781,-0.5455246913580247,0.08171244078609237,237.75,87.75,Whisper,explicit,0.25
18,0.6774691358024691,0.023840802934684057,0.22762345679012344,0.03923315836557272,0.6847017110756645,-0.4498456790123457,0.06185044518413914,237.75,87.75,Whisper,explicit,0.25
19,0.6674382716049383,0.03602659731459488,0.22762345679012344,0.03923315836557272,0.6757033696321004,-0.4398148148148148,0.06787784857286701,237.75,87.75,Whisper,explicit,0.25
20,0.6450617283950617,0.025451269293936162,0.22993827160493827,0.0233019581335517,0.6494167878337725,-0.4151234567901234,0.04546580204523525,237.75,87.75,Whisper,explicit,0.25
21,0.5910493827160493,0.0468417795795564,0.2492283950617284,0.032990059145728313,0.5968725805981916,-0.341820987654321,0.07565926440295626,237.75,87.75,Whisper,explicit,0.25
22,0.5632716049382716,0.03319396256152611,0.30864197530864196,0.048342963475188204,0.5634241903383465,-0.25462962962962965,0.07465053470646807,237.75,87.75,Whisper,explicit,0.25
23,0.5385802469135803,0.031626391252961704,0.3317901234567901,0.07379491292357736,0.5267588721488199,-0.20679012345679015,0.09688277668307453,237.75,87.75,Whisper,explicit,0.25
24,0.5239197530864197,0.05179149681566614,0.3325617283950617,0.034218453435313954,0.5187876673120495,-0.19135802469135804,0.06799469811464322,237.75,87.75,Whisper,explicit,0.25
