layer,target_acc_mean,target_acc_std,proxy_acc_mean,proxy_acc_std,target_f1_mean,text_bias_mean,text_bias_std,n_train,n_test,model,category,chance
0,0.7238003220611916,0.0835143855356655,0.11723027375201286,0.05072131471875167,0.7330567940085164,-0.6065700483091787,0.133404028027362,249.6,187.2,HuBERT,all,0.25
1,0.7952012882447665,0.0703658009327966,0.08019323671497584,0.04711569213618013,0.8036666813687156,-0.7150080515297906,0.11604332218646898,249.6,187.2,HuBERT,all,0.25
2,0.8380032206119162,0.02604616998021963,0.07597423510466988,0.03302980509578322,0.8468909963328152,-0.7620289855072464,0.05706579888771536,249.6,187.2,HuBERT,all,0.25
3,0.8644122383252817,0.013643007780982382,0.055362318840579704,0.007650563437615132,0.8691456129368582,-0.8090499194847022,0.01936602979556625,249.6,187.2,HuBERT,all,0.25
4,0.8645410628019323,0.002766728707879498,0.051497584541062805,0.012897736499296807,0.8698924161150993,-0.8130434782608695,0.010617034287843434,249.6,187.2,HuBERT,all,0.25
5,0.8626086956521739,0.017476976316282134,0.05610305958132045,0.008561619861976646,0.8677313909790529,-0.8065056360708536,0.022525181693637257,249.6,187.2,HuBERT,all,0.25
6,0.833365539452496,0.03199739124987241,0.06508856682769726,0.017290517284422064,0.8374709929596431,-0.7682769726247988,0.048815914510613755,249.6,187.2,HuBERT,all,0.25
7,0.8250563607085347,0.025784412897326855,0.07932367149758454,0.0319469442781401,0.8336392836045782,-0.7457326892109502,0.047032789187779735,249.6,187.2,HuBERT,all,0.25
8,0.8015136876006441,0.024954962920929854,0.08009661835748792,0.009712427928794379,0.8045117175947498,-0.7214170692431562,0.03301402133008564,249.6,187.2,HuBERT,all,0.25
9,0.7935265700483092,0.03468114562535515,0.08705314009661835,0.014582651937952393,0.7972408697373667,-0.7064734299516908,0.047384384944001004,249.6,187.2,HuBERT,all,0.25
10,0.7693397745571658,0.031096338130800826,0.10605475040257648,0.018768735944485443,0.7750800662701277,-0.6632850241545893,0.04850684199443952,249.6,187.2,HuBERT,all,0.25
11,0.7380032206119163,0.024431053384436026,0.1318196457326892,0.018764590691967998,0.7464935111158939,-0.606183574879227,0.041233518387075944,249.6,187.2,HuBERT,all,0.25
12,0.7053140096618358,0.02796930401184565,0.16128824476650566,0.032897884683370564,0.7171127774137045,-0.54402576489533,0.05121856497236672,249.6,187.2,HuBERT,all,0.25
13,0.6504991948470209,0.049815693877427715,0.2180032206119163,0.10616450542512339,0.6760894369752053,-0.4324959742351047,0.15403131626826047,249.6,187.2,HuBERT,all,0.25
14,0.6008695652173912,0.06715705656653069,0.26473429951690824,0.11443056669456607,0.6267498265379922,-0.3361352657004831,0.18059118611808184,249.6,187.2,HuBERT,all,0.25
15,0.5041867954911433,0.0977695773910478,0.3539774557165861,0.15026123762681087,0.5324592200685208,-0.15020933977455714,0.24675621487687197,249.6,187.2,HuBERT,all,0.25
16,0.43040257648953306,0.04924619978398441,0.4126247987117552,0.09712198317854998,0.45822382134216505,-0.01777777777777778,0.1402524537253476,249.6,187.2,HuBERT,all,0.25
17,0.3385829307568438,0.08161547860024285,0.49590982286634466,0.11828360988075945,0.36086546850162915,0.1573268921095008,0.19507612194910057,249.6,187.2,HuBERT,all,0.25
18,0.2655716586151369,0.08389264409891942,0.5846054750402576,0.11937688013748314,0.2796860931940964,0.3190338164251208,0.20068077094392242,249.6,187.2,HuBERT,all,0.25
19,0.23059581320450886,0.07022448092729365,0.6385829307568438,0.12244265021864996,0.24905669188586083,0.40798711755233497,0.18980820527321668,249.6,187.2,HuBERT,all,0.25
20,0.2066988727858293,0.09105405232536172,0.6748792270531401,0.14019653275389737,0.21748179419486324,0.46818035426731075,0.22995359656760916,249.6,187.2,HuBERT,all,0.25
21,0.22711755233494366,0.12213348527671264,0.643317230273752,0.19370126660964873,0.22891198516285124,0.4161996779388083,0.31517488088504864,249.6,187.2,HuBERT,all,0.25
22,0.3759420289855072,0.0623248321278094,0.48995169082125606,0.13138338188679033,0.4024416825541521,0.11400966183574882,0.19113470250974576,249.6,187.2,HuBERT,all,0.25
23,0.40644122383252823,0.07020675437335201,0.437584541062802,0.1316841223073846,0.43281822013789795,0.03114331723027376,0.20044414317485565,249.6,187.2,HuBERT,all,0.25
24,0.3849597423510467,0.06367977256959638,0.44644122383252816,0.10892988420044726,0.4068480176098195,0.061481481481481484,0.1687791319390072,249.6,187.2,HuBERT,all,0.25
0,0.753858024691358,0.05792692709606005,0.10185185185185185,0.021084260835307816,0.7543691608131297,-0.6520061728395061,0.07674269604417504,237.75,87.75,HuBERT,explicit,0.25
1,0.8101851851851851,0.03081271426311101,0.0779320987654321,0.04843319390887412,0.810273543068786,-0.7322530864197531,0.07682540407954236,237.75,87.75,HuBERT,explicit,0.25
2,0.8402777777777778,0.010197647943209378,0.07098765432098765,0.03246858814415535,0.8425063987616148,-0.7692901234567902,0.040428957249235724,237.75,87.75,HuBERT,explicit,0.25
3,0.845679012345679,0.03266359643289617,0.07561728395061729,0.02488351156882268,0.8452161408041459,-0.7700617283950617,0.05366584920059656,237.75,87.75,HuBERT,explicit,0.25
4,0.8449074074074074,0.02877441619536423,0.06635802469135801,0.026370381929992383,0.8449774699385415,-0.7785493827160493,0.04219675007163753,237.75,87.75,HuBERT,explicit,0.25
5,0.849537037037037,0.05353996845650764,0.06712962962962962,0.02877441619536419,0.8495837724156583,-0.7824074074074074,0.07765275077413036,237.75,87.75,HuBERT,explicit,0.25
6,0.8240740740740741,0.05910043875039127,0.07484567901234568,0.033086170228160496,0.8232829610753221,-0.7492283950617284,0.08935971414693479,237.75,87.75,HuBERT,explicit,0.25
7,0.7916666666666666,0.01773013162511734,0.09722222222222221,0.02039529588641873,0.7908148720704054,-0.6944444444444444,0.02737476274825115,237.75,87.75,HuBERT,explicit,0.25
8,0.7685185185185185,0.03546026325023474,0.11959876543209876,0.025373173776005193,0.7673696848707906,-0.6489197530864197,0.04112975207333475,237.75,87.75,HuBERT,explicit,0.25
9,0.7569444444444444,0.055975493345808126,0.13271604938271603,0.027374762748251177,0.7571465533028439,-0.6242283950617283,0.0778518410841323,237.75,87.75,HuBERT,explicit,0.25
10,0.7337962962962963,0.013888888888888848,0.15123456790123457,0.03086419753086419,0.7349223258096016,-0.5825617283950617,0.03299005914572829,237.75,87.75,HuBERT,explicit,0.25
11,0.6890432098765432,0.032602781640927635,0.19444444444444442,0.03686517050857801,0.6906170629194031,-0.49459876543209874,0.06782520060207627,237.75,87.75,HuBERT,explicit,0.25
12,0.6435185185185185,0.01054213041765389,0.23842592592592593,0.05597549334580812,0.6453182854328406,-0.4050925925925926,0.0645140483900115,237.75,87.75,HuBERT,explicit,0.25
13,0.6111111111111112,0.015938203070812472,0.25771604938271603,0.044046861375735887,0.6157490713391409,-0.3533950617283951,0.05074634755201038,237.75,87.75,HuBERT,explicit,0.25
14,0.5455246913580247,0.05676411777083185,0.3479938271604938,0.0841627297954562,0.5571450190471317,-0.19753086419753085,0.1407623981603874,237.75,87.75,HuBERT,explicit,0.25
15,0.41435185185185186,0.017161344976967353,0.4976851851851852,0.01908845197045214,0.42416205356431835,0.08333333333333334,0.021084260835307806,237.75,87.75,HuBERT,explicit,0.25
16,0.3287037037037037,0.03395061728395063,0.5671296296296297,0.040034326453928494,0.339791571998463,0.23842592592592593,0.07344446934747402,237.75,87.75,HuBERT,explicit,0.25
17,0.2345679012345679,0.020160409405622862,0.6597222222222222,0.04353019135399185,0.23348738927949161,0.4251543209876544,0.05976162022861949,237.75,87.75,HuBERT,explicit,0.25
18,0.18132716049382716,0.03540425269047277,0.7191358024691358,0.06325278250592344,0.17990983128438304,0.5378086419753086,0.09858442131903977,237.75,87.75,HuBERT,explicit,0.25
19,0.13271604938271603,0.043209876543209874,0.7862654320987654,0.062004270363102264,0.1405040257910166,0.6535493827160493,0.1040379863622418,237.75,87.75,HuBERT,explicit,0.25
20,0.10648148148148148,0.04137030712527388,0.8233024691358024,0.06034325554326277,0.10730366143382414,0.716820987654321,0.09992805291704987,237.75,87.75,HuBERT,explicit,0.25
21,0.14043209876543208,0.04817847520151479,0.7878086419753086,0.055405318120420474,0.1510724956420893,0.6473765432098765,0.10225245447653884,237.75,87.75,HuBERT,explicit,0.25
22,0.2222222222222222,0.07676855187727419,0.7029320987654321,0.07200359967461852,0.22700281682272802,0.4807098765432099,0.14858421334385402,237.75,87.75,HuBERT,explicit,0.25
23,0.2847222222222222,0.08329045536119527,0.5910493827160493,0.09077432820896751,0.28688341908014997,0.30632716049382713,0.1735613783362888,237.75,87.75,HuBERT,explicit,0.25
24,0.26774691358024694,0.05863520645361758,0.599537037037037,0.06102349582435947,0.27636652733391653,0.33179012345679015,0.11737867086973708,237.75,87.75,HuBERT,explicit,0.25
0,0.7847222222222222,0.045247025864591575,0.06635802469135801,0.0361256170083939,0.7836887396105936,-0.7183641975308642,0.07641096866748481,237.75,87.75,HuBERT,implicit,0.25
1,0.8580246913580247,0.07441621942397167,0.042438271604938266,0.02114066109880094,0.8580279187128227,-0.8155864197530864,0.09550877594002957,237.75,87.75,HuBERT,implicit,0.25
2,0.8672839506172839,0.04320987654320987,0.048611111111111105,0.03027996430609349,0.8665818427960239,-0.8186728395061729,0.07204768576457468,237.75,87.75,HuBERT,implicit,0.25
3,0.8996913580246914,0.02488351156882268,0.03009259259259259,0.01477510968759781,0.8993196346873091,-0.8695987654320987,0.032505241312715205,237.75,87.75,HuBERT,implicit,0.25
4,0.8981481481481481,0.021084260835307827,0.02546296296296296,0.010197647943209367,0.8978263619039544,-0.8726851851851852,0.027763485120398446,237.75,87.75,HuBERT,implicit,0.25
5,0.8950617283950617,0.029388594356143386,0.03780864197530864,0.016787210773745596,0.894278982142205,-0.8572530864197531,0.03549382716049377,237.75,87.75,HuBERT,implicit,0.25
6,0.8757716049382716,0.018921372590277277,0.03009259259259259,0.02230992638086568,0.8737345996660612,-0.845679012345679,0.03838427593863708,237.75,87.75,HuBERT,implicit,0.25
7,0.8672839506172839,0.01851851851851852,0.03009259259259259,0.017161344976967363,0.8653793634045164,-0.8371913580246914,0.015813195626480817,237.75,87.75,HuBERT,implicit,0.25
8,0.8433641975308641,0.01540635713155549,0.03317901234567901,0.02216714138520087,0.8412079922205328,-0.8101851851851851,0.015432098765432072,237.75,87.75,HuBERT,implicit,0.25
9,0.8518518518518519,0.010080204702811412,0.02854938271604938,0.01540635713155549,0.8506797006486928,-0.8233024691358024,0.011650979066775851,237.75,87.75,HuBERT,implicit,0.25
10,0.8387345679012346,0.018237755042423677,0.035493827160493825,0.01910923417799044,0.8377602235862757,-0.8032407407407407,0.02671432545802221,237.75,87.75,HuBERT,implicit,0.25
