layer,target_acc_mean,target_acc_std,proxy_acc_mean,proxy_acc_std,target_f1_mean,text_bias_mean,text_bias_std,n_train,n_test,model,category,chance
0,0.6602576489533012,0.07270494843540784,0.14953301127214172,0.05085732715316524,0.6704740361628053,-0.5107246376811594,0.12220331716844454,249.6,187.2,wav2vec2,all,0.25
1,0.7312399355877617,0.07401856773538401,0.1093719806763285,0.04012512809851123,0.7393405830203037,-0.6218679549114332,0.11329440291158199,249.6,187.2,wav2vec2,all,0.25
2,0.7718840579710144,0.04254829375216549,0.10276972624798712,0.03262457616130798,0.7815009356593523,-0.6691143317230275,0.06984259129196764,249.6,187.2,wav2vec2,all,0.25
3,0.780354267310789,0.048150033084781316,0.10231884057971015,0.0341057327760533,0.7905276801210143,-0.678035426731079,0.08176593909195731,249.6,187.2,wav2vec2,all,0.25
4,0.7629951690821256,0.058942741483185575,0.11568438003220612,0.027805092873470855,0.772260473202153,-0.6473107890499195,0.08564726777365049,249.6,187.2,wav2vec2,all,0.25
5,0.7643800322061192,0.03262099924940823,0.12154589371980676,0.03365316005495651,0.778292506850487,-0.6428341384863124,0.0640654918109835,249.6,187.2,wav2vec2,all,0.25
6,0.7497906602254428,0.04662029037123892,0.13494363929146538,0.03851897629508404,0.7625238496065542,-0.6148470209339775,0.07601807411183241,249.6,187.2,wav2vec2,all,0.25
7,0.6944283413848631,0.037426642256312787,0.1615780998389694,0.03145575137414864,0.7064303667073961,-0.5328502415458937,0.06744798752046331,249.6,187.2,wav2vec2,all,0.25
8,0.615072463768116,0.052966779284860696,0.24837359098228662,0.08933683718077776,0.6388185683033692,-0.3666988727858293,0.13668540295332168,249.6,187.2,wav2vec2,all,0.25
9,0.5479549114331723,0.0477854596276435,0.30763285024154585,0.07366349841739683,0.5634823197064331,-0.2403220611916264,0.11576619337861882,249.6,187.2,wav2vec2,all,0.25
10,0.4448953301127214,0.061571665016603896,0.3897584541062802,0.06651456428667707,0.46485090055331313,-0.055136876006441224,0.11994766877203561,249.6,187.2,wav2vec2,all,0.25
11,0.33037037037037037,0.07632456148057477,0.5044122383252818,0.13189799748983014,0.3475550478597596,0.17404186795491144,0.20377104536961702,249.6,187.2,wav2vec2,all,0.25
12,0.26702093397745574,0.07783779936010268,0.5586795491143317,0.12789994332505739,0.2735732397506213,0.291658615136876,0.20570693984587474,249.6,187.2,wav2vec2,all,0.25
13,0.21900161030595813,0.09737332519848751,0.6075040257648954,0.17337797153797366,0.2238771769330202,0.38850241545893716,0.2701339385295777,249.6,187.2,wav2vec2,all,0.25
14,0.19561996779388086,0.10660434634606969,0.6535909822866344,0.19496510974201264,0.19716958166491602,0.4579710144927536,0.30130834064581385,249.6,187.2,wav2vec2,all,0.25
15,0.21207729468599035,0.0770648757588764,0.6311755233494363,0.14899819143386464,0.2227053737702044,0.41909822866344604,0.22478935655962526,249.6,187.2,wav2vec2,all,0.25
16,0.252109500805153,0.07112355197015292,0.5782286634460548,0.12457183678967365,0.2643900558209781,0.3261191626409018,0.19033143408870823,249.6,187.2,wav2vec2,all,0.25
17,0.3128502415458937,0.09180116856390104,0.5103059581320452,0.1232018769012396,0.33241318570109196,0.19745571658615138,0.21013957212097428,249.6,187.2,wav2vec2,all,0.25
18,0.3707890499194847,0.03622787596366959,0.4302737520128824,0.04849614918900261,0.39277147482314156,0.05948470209339775,0.08207361557412628,249.6,187.2,wav2vec2,all,0.25
19,0.35107890499194844,0.03615350262146461,0.44808373590982287,0.08772884197259778,0.37598135473717864,0.0970048309178744,0.1183123250124607,249.6,187.2,wav2vec2,all,0.25
20,0.27745571658615137,0.03413886609942787,0.5060547504025765,0.09243195475349568,0.29810181777516914,0.22859903381642513,0.12529802973958565,249.6,187.2,wav2vec2,all,0.25
21,0.23494363929146536,0.06019658819480134,0.5125925925925926,0.08980703903181077,0.24329660272709094,0.2776489533011272,0.1486055216652072,249.6,187.2,wav2vec2,all,0.25
22,0.19594202898550725,0.06317023184108368,0.517487922705314,0.051618984802646234,0.19837059379044442,0.32154589371980674,0.11061725998772838,249.6,187.2,wav2vec2,all,0.25
23,0.22785829307568436,0.02389826421844739,0.483768115942029,0.04994757923257336,0.2403405192015975,0.25590982286634467,0.06892658788892916,249.6,187.2,wav2vec2,all,0.25
24,0.23227053140096618,0.03918467047153337,0.4694041867954912,0.08614339210894145,0.24455768354824176,0.23713365539452497,0.1244700675087715,249.6,187.2,wav2vec2,all,0.25
