layer,target_acc_mean,target_acc_std,proxy_acc_mean,proxy_acc_std,target_f1_mean,text_bias_mean,text_bias_std,n_train,n_test,model,category,chance
0,0.7237654320987654,0.06825106292437036,0.08024691358024691,0.035638905505532455,0.7216395141062351,-0.6435185185185185,0.09567901234567906,237.75,87.75,wav2vec2,implicit,0.25
1,0.7862654320987654,0.020989923624591716,0.05246913580246913,0.011820087750078248,0.7858020578321683,-0.7337962962962963,0.022872154398575827,237.75,87.75,wav2vec2,implicit,0.25
2,0.8348765432098766,0.04764829702431857,0.04398148148148148,0.01477510968759781,0.8342552701637865,-0.7908950617283951,0.04757326685385926,237.75,87.75,wav2vec2,implicit,0.25
3,0.8557098765432098,0.050738525378930865,0.043209876543209874,0.00712778110110649,0.8558408827083084,-0.8125,0.04559656389720417,237.75,87.75,wav2vec2,implicit,0.25
4,0.8564814814814814,0.025388812097228538,0.039351851851851846,0.027068564026590265,0.8561486675814266,-0.8171296296296297,0.04830189392102832,237.75,87.75,wav2vec2,implicit,0.25
5,0.8287037037037037,0.056659135032981,0.05401234567901234,0.02100882495541372,0.8288332817128864,-0.7746913580246914,0.07225123401678785,237.75,87.75,wav2vec2,implicit,0.25
6,0.8063271604938271,0.047905834809439565,0.05015432098765432,0.016012739111392366,0.8063062914356579,-0.7561728395061728,0.047681605869368246,237.75,87.75,wav2vec2,implicit,0.25
7,0.7824074074074074,0.0449036066724181,0.051697530864197525,0.032210848157311255,0.7821013543040974,-0.7307098765432098,0.05631482755789612,237.75,87.75,wav2vec2,implicit,0.25
8,0.7330246913580247,0.05319039487535216,0.05324074074074074,0.055060378934911336,0.7308048689147059,-0.6797839506172839,0.07182698472294435,237.75,87.75,wav2vec2,implicit,0.25
9,0.7214506172839507,0.04849871060288887,0.051697530864197525,0.032210848157311255,0.7169630685651058,-0.6697530864197531,0.07295102016969476,237.75,87.75,wav2vec2,implicit,0.25
10,0.6157407407407407,0.0716997740083372,0.09799382716049382,0.05166873161352841,0.6116880584656762,-0.5177469135802468,0.09800294018091002,237.75,87.75,wav2vec2,implicit,0.25
11,0.5617283950617284,0.07303802201357555,0.10108024691358025,0.06392068948729208,0.5523949806345703,-0.46064814814814814,0.10504034614346691,237.75,87.75,wav2vec2,implicit,0.25
12,0.4776234567901234,0.04843319390887411,0.16049382716049382,0.07198706043018889,0.4634542188008276,-0.31712962962962965,0.1200500909442437,237.75,87.75,wav2vec2,implicit,0.25
13,0.4351851851851852,0.0308641975308642,0.16898148148148145,0.05173015063267255,0.4312184795541496,-0.2662037037037037,0.07244325327719857,237.75,87.75,wav2vec2,implicit,0.25
14,0.3942901234567901,0.04482398244268408,0.2345679012345679,0.09927850273098617,0.39318972271135966,-0.1597222222222222,0.14086105517246114,237.75,87.75,wav2vec2,implicit,0.25
15,0.4228395061728395,0.042017649910827466,0.2214506172839506,0.06707195621018743,0.4199496361510448,-0.2013888888888889,0.10516119507523669,237.75,87.75,wav2vec2,implicit,0.25
16,0.4429012345679012,0.056659135032980944,0.17746913580246912,0.02637038192999238,0.4298565956252692,-0.2654320987654321,0.05566975003485054,237.75,87.75,wav2vec2,implicit,0.25
17,0.5177469135802469,0.06744962989732853,0.125,0.04106214412237677,0.5136779183508466,-0.39274691358024694,0.055861923878884515,237.75,87.75,wav2vec2,implicit,0.25
18,0.5115740740740741,0.02053107206118839,0.14351851851851852,0.03948526967571088,0.5128514283838372,-0.3680555555555556,0.03663837222864994,237.75,87.75,wav2vec2,implicit,0.25
19,0.4776234567901234,0.01770773094450466,0.14814814814814814,0.04728035100031299,0.47625541727404436,-0.3294753086419753,0.05776224466732377,237.75,87.75,wav2vec2,implicit,0.25
20,0.4236111111111111,0.021586558907774982,0.18287037037037035,0.02659519743767607,0.42169164833735595,-0.24074074074074073,0.029388594356143417,237.75,87.75,wav2vec2,implicit,0.25
21,0.3819444444444444,0.025247718501662606,0.21913580246913578,0.021084260835307813,0.3798782104979584,-0.16280864197530864,0.03299005914572833,237.75,87.75,wav2vec2,implicit,0.25
22,0.35108024691358025,0.025991368511645636,0.19675925925925924,0.026714325458022194,0.342955497661342,-0.15432098765432098,0.05189102968279215,237.75,87.75,wav2vec2,implicit,0.25
23,0.3641975308641975,0.03838427593863709,0.18055555555555555,0.06674568552801889,0.3607246496222656,-0.18364197530864196,0.07448019669851137,237.75,87.75,wav2vec2,implicit,0.25
24,0.32793209876543206,0.030488974306044136,0.21064814814814814,0.060079573899277205,0.3292611550724046,-0.11728395061728394,0.08158118354567494,237.75,87.75,wav2vec2,implicit,0.25
