Model,Dataset,Metric,Layer_CNN,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24
wav2vec2,RAVDESS,cka,0.08491765641103277,0.08940850449496393,0.09892493013606105,0.10817375605404606,0.12006989724646445,0.12257773111796823,0.1257333853375463,0.1338242005247036,0.14281918855105327,0.15445816979938432,0.16542714074966486,0.14950248653600196,0.14582820249245046,0.14016364835328735,0.13897986645449623,0.14335135678133276,0.13306211875044807,0.11899574906464493,0.10569097207750992,0.0903277480404432,0.07612760527422004,0.0633403952262876,0.053732679927112864,0.0512381599380354,0.05860120059934574
wav2vec2,RAVDESS,procrustes,0.727493554353714,0.7552836835384369,0.7579372674226761,0.7586752027273178,0.7587501108646393,0.759436696767807,0.7677984833717346,0.7666639983654022,0.7709277123212814,0.7790920436382294,0.7843097597360611,0.7842490375041962,0.7839125394821167,0.779271125793457,0.7765196412801743,0.7806956619024277,0.7717625498771667,0.7675384879112244,0.7435730397701263,0.7171818614006042,0.6993118524551392,0.68941330909729,0.6693805158138275,0.6562495231628418,0.6708649694919586
wav2vec2,RAVDESS,centroid_transfer,0.3998272884283247,0.4261658031088083,0.45768566493955093,0.47020725388601037,0.47625215889464595,0.48661485319516407,0.520293609671848,0.5526770293609672,0.5790155440414507,0.5898100172711571,0.6044905008635578,0.5924006908462867,0.5816062176165803,0.5898100172711571,0.5746977547495682,0.5578583765112263,0.5474956822107081,0.5297927461139896,0.5142487046632125,0.4913644214162349,0.46070811744386875,0.39162348877374786,0.33981001727115717,0.327720207253886,0.31519861830742657
wav2vec2,EmoDB,cka,0.05582759967041518,0.05132852050981353,0.059250063626838594,0.057340695757841016,0.06305834695634606,0.06310395541701765,0.06166529722127897,0.0649101844336106,0.05974170689017433,0.06091882264998181,0.05405193174645864,0.04742401153819761,0.0420001195028688,0.04482931978256328,0.04267008415303775,0.04352823746086494,0.041706044810675184,0.03263759353198479,0.025488515807822305,0.019525852906051702,0.015893436828098476,0.015516716739976389,0.015099824177297569,0.016546185569378057,0.03055735483037128
wav2vec2,EmoDB,procrustes,0.724057525396347,0.7233209908008575,0.7427777945995331,0.7384719252586365,0.7384363412857056,0.7485632300376892,0.7455340921878815,0.7549600303173065,0.7480821907520294,0.7386641204357147,0.7333156764507294,0.7354919910430908,0.7246206104755402,0.7400973737239838,0.7387327253818512,0.7526561766862869,0.7609903216362,0.7534744441509247,0.7254527807235718,0.6904834508895874,0.6823044419288635,0.6857229769229889,0.6798446774482727,0.6665031611919403,0.7158719599246979
wav2vec2,EmoDB,centroid_transfer,0.405607476635514,0.43177570093457945,0.45607476635514016,0.45607476635514016,0.4766355140186916,0.48598130841121495,0.4953271028037383,0.5214953271028038,0.5009345794392523,0.514018691588785,0.5046728971962616,0.4635514018691589,0.4411214953271028,0.4654205607476635,0.4504672897196262,0.4411214953271028,0.411214953271028,0.3663551401869159,0.32710280373831774,0.3121495327102804,0.29345794392523367,0.28598130841121494,0.2897196261682243,0.27476635514018694,0.32710280373831774
wav2vec2,IEMOCAP,cka,0.014755955416727954,0.014884330623099662,0.01742651700320657,0.01846016865582666,0.018307558381061618,0.019807783021260707,0.017407764447787893,0.01733790164291013,0.01600853358258128,0.015195534713388897,0.01447864809830574,0.012670089856818454,0.011074886383993458,0.011263196845398088,0.012016700715595609,0.012174960902700536,0.012300999697962191,0.011328967306243375,0.011543299236848594,0.012355673072369294,0.012983978303745711,0.016114642244532604,0.014703459680890306,0.010819183740455034,0.011454632300553949
wav2vec2,IEMOCAP,procrustes,0.6836215555667877,0.6747586131095886,0.6454039216041565,0.6327435672283173,0.6570120751857758,0.6505685150623322,0.6528536975383759,0.6688432693481445,0.6717512607574463,0.6657776832580566,0.6693392693996429,0.663742333650589,0.6791997253894806,0.697265237569809,0.6981590986251831,0.710554301738739,0.7135507762432098,0.7024318277835846,0.6789355278015137,0.6420178413391113,0.6754170656204224,0.7260803282260895,0.7534797638654709,0.740044116973877,0.7706772983074188
wav2vec2,IEMOCAP,centroid_transfer,0.42344322344322344,0.4289377289377289,0.44652014652014654,0.45567765567765567,0.45293040293040293,0.4606227106227106,0.4542124542124542,0.4562271062271062,0.4576923076923077,0.45054945054945056,0.42728937728937727,0.40054945054945057,0.41135531135531134,0.4115384615384615,0.41098901098901097,0.41794871794871796,0.421978021978022,0.3978021978021978,0.33992673992673994,0.3194139194139194,0.31556776556776556,0.31794871794871793,0.31465201465201464,0.3086080586080586,0.3152014652014652
wav2vec2,SAVEE,cka,0.07325764913960361,0.06832705481625265,0.06780731462374649,0.055688023465721145,0.04918531638552523,0.046999845020192874,0.04494914074022643,0.046183556796171664,0.04191650970094457,0.04075622340023086,0.035658912937644616,0.029520381225181313,0.02933609447453047,0.030926852811654446,0.029590025175231478,0.02785945847156339,0.02547625534269927,0.018073403922836483,0.015222045026010265,0.014642535240755268,0.014204751558274149,0.01923279210351589,0.021676000479701033,0.02700874206146731,0.03628200961159759
