Model,Metric,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24
wav2vec2,cka,0.20885321988155087,0.18028769898631686,0.18775628569268324,0.1962842887108995,0.18663006754880318,0.21128357667879702,0.197071290889724,0.19653179722698438,0.21559639905964006,0.21815335141348985,0.23558789932665145,0.2230702657751969,0.21230067676964745,0.21323409016705683,0.21370687619083722,0.19945350039878398,0.19015437917397776,0.19187552699055305,0.21188281124764993,0.24088972300613654,0.25085070343927945,0.27712398224938606,0.23475389620618314,0.1633183587238109,0.17677461195306926
wav2vec2,procrustes,0.8637901991605759,0.8653465956449509,0.8504492044448853,0.8453832566738129,0.8607237935066223,0.8549846708774567,0.8556781560182571,0.8649892210960388,0.8726688474416733,0.8711865693330765,0.8700152337551117,0.8648726791143417,0.8729636073112488,0.8914512470364571,0.8947296962141991,0.9026954546570778,0.9095913991332054,0.9047709554433823,0.8824600875377655,0.856123149394989,0.8824195042252541,0.9155570492148399,0.9295066669583321,0.9207464382052422,0.9460047744214535
wav2vec2,centroid_transfer,0.42381302907618695,0.42933382407066617,0.44810452705189546,0.458594037541406,0.45252116304747886,0.46172248803827753,0.45436142804563856,0.45656974604343026,0.4576739050423261,0.451232977548767,0.4280456385719544,0.40172984909827014,0.41240338608759664,0.4116672800883327,0.41148325358851673,0.41755612808244386,0.42197276407802725,0.3993375046006625,0.340264998159735,0.3203901361796099,0.3167096061832904,0.3203901361796099,0.31560544718439454,0.31026867868973135,0.3174457121825543
HuBERT,cka,0.20254302043444194,0.21788054302229437,0.234845909129697,0.24731414182995035,0.25214832067907,0.24872246789094093,0.24886288590143546,0.2600300930422361,0.2603062145168331,0.2598337117552708,0.2526813394991599,0.25908877429302457,0.2549951498966654,0.2624559516301269,0.2551096664293961,0.23566280522033847,0.23339467194908142,0.21850181428074086,0.22454556554107238,0.2229690801180867,0.22319418529853685,0.210737626858603,0.2388800152822502,0.23135425146573813,0.19349732409561993
HuBERT,procrustes,0.8680267781019211,0.8931366130709648,0.8969760537147522,0.8830219805240631,0.8800550401210785,0.8823307529091835,0.8899226784706116,0.8893803209066391,0.8851845636963844,0.8806496188044548,0.8879882618784904,0.8916177600622177,0.9028701782226562,0.9097376689314842,0.90814109146595,0.8989979177713394,0.9044625237584114,0.918010488152504,0.9269868656992912,0.9235223308205605,0.9182747304439545,0.917846791446209,0.9325176700949669,0.9370878338813782,0.8973603770136833
HuBERT,centroid_transfer,0.39602502760397496,0.3881118881118881,0.42473316157526686,0.430622009569378,0.43356643356643354,0.409642988590357,0.4105631210894369,0.3912403386087597,0.3684210526315789,0.35664335664335667,0.3730217151269783,0.35793154214206846,0.3662127346337873,0.36547662863452335,0.3430253956569746,0.31707765918292236,0.32407066617592933,0.33934486566065514,0.35296282664703715,0.347442031652558,0.33584836216415165,0.37596613912403387,0.3923444976076555,0.3877438351122562,0.42767758557232244
Whisper,cka,0.1488989041304961,0.16775977130904943,0.20606321540152972,0.23520696735545432,0.27855155317927854,0.3086196642981978,0.3262091746703929,0.3532612108362117,0.1215064966018002,0.125959040732965,0.12949318221469802,0.13015923059765322,0.12852260852344216,0.12456601142814147,0.12380248136954083,0.12316590163307757,0.1212475031975688,0.12083870191067504,0.12013333329402502,0.12204649914931916,0.12076239796115215,0.1219083529814251,0.126879389276987,0.12685935464365258,0.39168423562971394
Whisper,procrustes,0.7242313623428345,0.7555471062660217,0.7823791801929474,0.7974320203065872,0.80909164249897,0.8155196607112885,0.8268361389636993,0.8361704349517822,0.7825549095869064,0.7818589359521866,0.7846113592386246,0.7910727113485336,0.7907280325889587,0.7802790105342865,0.7759473621845245,0.7724108099937439,0.7716321349143982,0.7717024236917496,0.7696573287248611,0.7712709903717041,0.769088938832283,0.7765896916389465,0.7889164239168167,0.7885182350873947,0.954259917140007
Whisper,centroid_transfer,0.4216047110783953,0.437430990062569,0.44681634155318367,0.4495767390504233,0.45104895104895104,0.44755244755244755,0.45546558704453444,0.45785793154214205,0.367868973132131,0.36768494663231505,0.3667648141332352,0.36069193963930807,0.3590357011409643,0.35241074714758924,0.34670592565329406,0.3444976076555024,0.3411851306588149,0.3417372101582628,0.340080971659919,0.33989694516010305,0.33768862716231135,0.33934486566065514,0.34946632315053366,0.3500184026499816,0.4547294810452705
WavLM,cka,0.19668746087046918,0.205238121272837,0.2194205558399213,0.22380965890843052,0.2340843588541999,0.23655951076174242,0.23736990592037954,0.2419236721069132,0.25950675127855694,0.2595492089199648,0.24883999362293055,0.24494001656485168,0.24491904927869126,0.2579163799881658,0.26468567787278885,0.27494919573369847,0.29219446177347186,0.299230276799219,0.3152890431933257,0.3094779003083474,0.3113560804857998,0.3022202872619689,0.32457692105234554,0.29364490609306193,0.2750122733192349
