Model,Metric,Num_Samples,Best_Layer,Best_Value,CNN_Value,Last_Layer_Value
wav2vec2,cka,5434,21,0.27712398224938606,0.20885321988155087,0.17677461195306926
wav2vec2,procrustes,5434,24,0.9460047744214535,0.8637901991605759,0.9460047744214535
wav2vec2,centroid_transfer,5434,5,0.46172248803827753,0.42381302907618695,0.3174457121825543
HuBERT,cka,5434,13,0.2624559516301269,0.20254302043444194,0.19349732409561993
HuBERT,procrustes,5434,23,0.9370878338813782,0.8680267781019211,0.8973603770136833
HuBERT,centroid_transfer,5434,4,0.43356643356643354,0.39602502760397496,0.42767758557232244
Whisper,cka,5434,24,0.39168423562971394,0.1488989041304961,0.39168423562971394
Whisper,procrustes,5434,24,0.954259917140007,0.7242313623428345,0.954259917140007
Whisper,centroid_transfer,5434,7,0.45785793154214205,0.4216047110783953,0.4547294810452705
WavLM,cka,5434,22,0.32457692105234554,0.19668746087046918,0.2750122733192349
WavLM,procrustes,5434,11,0.9129600301384926,0.8568227142095566,0.8592892438173294
WavLM,centroid_transfer,5434,4,0.45675377254324623,0.3980493191019507,0.36768494663231505
MERT,cka,5434,23,0.30182787645069675,0.21213780762221998,0.2568411690890494
MERT,procrustes,5434,24,0.8941085115075111,0.8066973090171814,0.8941085115075111
MERT,centroid_transfer,5434,0,0.45325726904674274,0.45325726904674274,0.3387927861612072
w2v-BERT,cka,5434,4,0.2590905690733845,0.034694732471542554,0.22481107764707875
w2v-BERT,procrustes,5434,0,0.9034118428826332,0.9034118428826332,0.8241979479789734
w2v-BERT,centroid_transfer,5434,17,0.4460802355539198,0.37835848362164154,0.3459698196540302
