Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1,Model,SNR,Exp_ID,Setup
CNN,0,0.6204,0.004,0.5983,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 1,1,0.6138,0.0073,0.6018,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 2,2,0.6053,0.0073,0.5981,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 3,3,0.6053,0.0026,0.6009,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 4,4,0.5974,0.0084,0.5933,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 5,5,0.6028,0.0049,0.5993,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 6,6,0.602,0.0077,0.598,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 7,7,0.6031,0.0092,0.5999,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 8,8,0.602,0.0051,0.5989,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 9,9,0.5994,0.0051,0.597,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 10,10,0.6047,0.0069,0.6011,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 11,11,0.6093,0.0062,0.6068,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 12,12,0.6082,0.0095,0.6067,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 13,13,0.6068,0.0042,0.6044,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 14,14,0.6078,0.0065,0.6055,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 15,15,0.6036,0.0111,0.6023,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 16,16,0.6122,0.0076,0.6123,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 17,17,0.6142,0.0088,0.6139,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 18,18,0.6082,0.0078,0.6086,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 19,19,0.6123,0.0114,0.614,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 20,20,0.6095,0.011,0.6114,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 21,21,0.611,0.0046,0.6123,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 22,22,0.6195,0.0097,0.6185,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 23,23,0.6117,0.0149,0.6108,HuBERT,clean,7,4-Class (A/H/N/S)
Layer 24,24,0.6144,0.0078,0.6129,HuBERT,clean,7,4-Class (A/H/N/S)
CNN,0,0.5625,0.0052,0.5314,HuBERT,0,7,4-Class (A/H/N/S)
Layer 1,1,0.5577,0.0098,0.5416,HuBERT,0,7,4-Class (A/H/N/S)
Layer 2,2,0.5511,0.0063,0.5423,HuBERT,0,7,4-Class (A/H/N/S)
Layer 3,3,0.5488,0.0084,0.5421,HuBERT,0,7,4-Class (A/H/N/S)
Layer 4,4,0.5481,0.0068,0.5442,HuBERT,0,7,4-Class (A/H/N/S)
Layer 5,5,0.5534,0.0074,0.5491,HuBERT,0,7,4-Class (A/H/N/S)
Layer 6,6,0.5545,0.0107,0.5507,HuBERT,0,7,4-Class (A/H/N/S)
Layer 7,7,0.5593,0.0134,0.5562,HuBERT,0,7,4-Class (A/H/N/S)
Layer 8,8,0.5559,0.0066,0.553,HuBERT,0,7,4-Class (A/H/N/S)
Layer 9,9,0.561,0.0107,0.558,HuBERT,0,7,4-Class (A/H/N/S)
Layer 10,10,0.5664,0.0117,0.5642,HuBERT,0,7,4-Class (A/H/N/S)
Layer 11,11,0.56,0.0094,0.5579,HuBERT,0,7,4-Class (A/H/N/S)
Layer 12,12,0.5604,0.0048,0.5584,HuBERT,0,7,4-Class (A/H/N/S)
Layer 13,13,0.563,0.0095,0.5616,HuBERT,0,7,4-Class (A/H/N/S)
Layer 14,14,0.5632,0.0131,0.5605,HuBERT,0,7,4-Class (A/H/N/S)
Layer 15,15,0.5578,0.0074,0.5558,HuBERT,0,7,4-Class (A/H/N/S)
Layer 16,16,0.5682,0.008,0.5663,HuBERT,0,7,4-Class (A/H/N/S)
Layer 17,17,0.5636,0.0089,0.5633,HuBERT,0,7,4-Class (A/H/N/S)
Layer 18,18,0.5641,0.0092,0.5637,HuBERT,0,7,4-Class (A/H/N/S)
Layer 19,19,0.5594,0.0084,0.5594,HuBERT,0,7,4-Class (A/H/N/S)
Layer 20,20,0.5591,0.0084,0.5586,HuBERT,0,7,4-Class (A/H/N/S)
Layer 21,21,0.5655,0.0106,0.5644,HuBERT,0,7,4-Class (A/H/N/S)
