Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.640152696837742,0.010353189764939302,0.6394049897847754
1,1,0.6530534854163508,0.012388018405875275,0.6526609577561648
2,2,0.6715966369866475,0.012398802870293383,0.671405232918189
3,3,0.6686404601486167,0.01971390577853526,0.6686951453386125
4,4,0.676970724380222,0.019525081498354205,0.6769450581349677
5,5,0.6948403886566,0.020478630175706607,0.6948368610521456
6,6,0.7008877828086975,0.01576170677361464,0.7009341282568298
7,7,0.710834199903233,0.015417422169486033,0.7107142691598928
8,8,0.7137883908519105,0.0071762223061331305,0.7137646091991379
9,9,0.7156690280696434,0.01133722203064398,0.7160101133694977
10,10,0.7280319114365563,0.009201789195125277,0.7281702678191408
11,11,0.7391846660456248,0.010515802865974328,0.7397265900591006
12,12,0.7457672573784816,0.005350929816871374,0.7454737486069345
13,13,0.7496651068408472,0.006411476681630848,0.7495583829609433
14,14,0.7413352939477313,0.01054023108597952,0.7413607355622236
15,15,0.7316576037897989,0.008155072595503979,0.7319379466288296
16,16,0.7354190587606606,0.012972297909366038,0.7353291725415473
17,17,0.7344797330964709,0.008963904591677658,0.7345413372472469
18,18,0.7288372798370848,0.015507712407088568,0.7284075368748288
19,19,0.7180862164836037,0.0115921890911665,0.7181527051384216
20,20,0.7135194833799114,0.011991153378413237,0.7137347092605464
21,21,0.7191653668118171,0.014570477685110042,0.7190226652115312
22,22,0.7235967886363801,0.005614305200227625,0.7235376458077789
23,23,0.7280308282241817,0.007264606082977311,0.7278530786465411
24,24,0.7215822844226839,0.007543401467971924,0.7216916245903794
