Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6311495771861031,0.011279750219515097,0.6306658630165455
1,1,0.6332997537497201,0.007732279208944967,0.6329347160191257
2,2,0.6488860966081009,0.007708294200340044,0.6486807884411105
3,3,0.6726709128591752,0.009203518318958331,0.6726530814732489
4,4,0.6891981159326097,0.009640364380229034,0.6888916564709464
5,5,0.7043820453938199,0.007286715342786122,0.7046539597724198
6,6,0.7172840074525011,0.013739261649999411,0.7173787940820132
7,7,0.7281674935187793,0.010845364880391384,0.7282386302915401
8,8,0.7405295644764113,0.009398038285624613,0.7405405339238685
9,9,0.7586691291694649,0.012731658905435374,0.7586037283624188
10,10,0.7562486911183808,0.011418921137599446,0.7564618439259321
11,11,0.7593409916448219,0.015957420405494933,0.7595379538726746
12,12,0.7571911761519964,0.013794601667220964,0.7573820125575144
13,13,0.7582642785444513,0.012756988431251035,0.7584363212317073
14,14,0.7608172295760307,0.012125524041293542,0.760976568117351
15,15,0.7528900106154813,0.00869256489866829,0.7526365801328883
16,16,0.740797027665244,0.013736444400532863,0.740758910884062
17,17,0.7446943355214224,0.013143571156828378,0.7443229567733565
18,18,0.7461727398773804,0.01101233894001435,0.7459252888698124
19,19,0.7430820641695012,0.010038116802211245,0.7426768475586714
20,20,0.7440231951876485,0.017158089080111575,0.7441979968446277
21,21,0.7420062537461095,0.008872961179000891,0.7419604873155358
22,22,0.746306245802552,0.016118154161221587,0.746279478327062
23,23,0.7307158408977663,0.012232476680958388,0.7308439791757816
24,24,0.7168783444182065,0.015234615189085277,0.7168709216318554
