Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.612470933801281,0.008846884155348919,0.6119354886541494
1,1,0.6514398600489612,0.01174920919652246,0.6509002540800968
2,2,0.6670272861197166,0.00873901930748297,0.6663160568953805
3,3,0.6760303155036577,0.008048890228874117,0.6755284870228879
4,4,0.6808664976855362,0.006904189022857336,0.6805647644744404
5,5,0.6787152379095446,0.0037032027873559253,0.6787685440080592
6,6,0.6881210417614477,0.008345023392608671,0.6881608774438817
7,7,0.6975266650779552,0.008692503543024603,0.6974912696784148
8,8,0.7143238588357633,0.004976722295132925,0.714292505342605
9,9,0.7242681095055497,0.004440984716366271,0.723913976663088
10,10,0.7336757187114106,0.009732886724440736,0.7338289184750703
11,11,0.7401257970637724,0.01425182895485175,0.7400862574060509
12,12,0.7476490680762871,0.012555561649348367,0.7477057421062321
13,13,0.744961888977953,0.011831771609688799,0.7447420639870801
14,14,0.7410639492478894,0.01007014176624932,0.74112156523923
15,15,0.737167634336388,0.014087576671121425,0.7372384617948423
16,16,0.7413347523415441,0.008216699903208538,0.7415485712208096
17,17,0.7433483538782614,0.01201748779987304,0.7433492073110256
18,18,0.7370320522541649,0.011390499612378048,0.7370243752425394
19,19,0.7304480166381422,0.0050580598723671205,0.7306540388784747
20,20,0.7399893123045704,0.008445097495754636,0.7399012334387438
21,21,0.7313877936408212,0.01053250392137829,0.7316344614421516
22,22,0.7343460466359034,0.007873162915515607,0.7345145065181728
23,23,0.7343449634235288,0.012802890433748314,0.7343070805412294
24,24,0.7295080591000672,0.010349104064266512,0.7295287627566205
