Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.30650153094015614,0.010701792703805255,0.3004214866369626
1,1,0.5314406002440839,0.013723800230312569,0.5309128907542862
2,2,0.6045430829668466,0.006257728320691704,0.6042076962108129
3,3,0.6589627699906844,0.009617482935294915,0.6585339635399865
4,4,0.6986019338951595,0.011454727475521315,0.6986594802388595
5,5,0.7143224145525972,0.011674175263800527,0.7142980985549908
6,6,0.7003515024155635,0.010546178467926591,0.7002551338105176
7,7,0.6998139582746593,0.010719655868176943,0.6997417740410461
8,8,0.6869118156805823,0.006852909736048849,0.6865197534364746
9,9,0.7154001205976444,0.010704218771311948,0.7151862042204046
10,10,0.7055932573640389,0.0155149200679543,0.7055272605041154
11,11,0.6862420293622767,0.010673336198260224,0.6862634005121884
12,12,0.6758966290430901,0.009896655784256738,0.6758300956516184
13,13,0.6805964167334647,0.006026314788021797,0.6803241264329396
14,14,0.6959153866707107,0.013242419665557024,0.6962254829439811
15,15,0.7190273475017512,0.013803301369291844,0.7190629516910512
16,16,0.717013745965034,0.01344832694920227,0.7169441170395137
17,17,0.7296449951977585,0.010658055205393905,0.7297797649592483
18,18,0.7117737061028185,0.00956179304539855,0.711557186739715
19,19,0.7010233648909205,0.015790612807813107,0.7010286796246316
20,20,0.6910783018118533,0.010720265750741935,0.6906414996046615
21,21,0.6803267871198828,0.010750819381913487,0.6802690408605878
22,22,0.646201264469912,0.013231921376700434,0.6461203044198914
23,23,0.6246977837474814,0.019876300470303233,0.6246319201649796
24,24,0.6099172606281187,0.009756090782924432,0.6091750918727714
