Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6265759837373716,0.015288973384950444,0.6257580641611585
1,1,0.6046779429074864,0.013755780342117283,0.6042635992002603
2,2,0.6101860778324198,0.006618939754870744,0.6098799906037812
3,3,0.6249702116596979,0.014990241177335805,0.6248975239297804
4,4,0.6527846682120497,0.012381811256984173,0.6526688932130092
5,5,0.6658163449525913,0.008478380023312623,0.6656308519420717
6,6,0.6691743033139078,0.011517693754718538,0.6689215011811351
7,7,0.6839590690150711,0.014134423800302021,0.6839949839310456
8,8,0.6898696173371752,0.013792395560085824,0.6896294159860904
9,9,0.6939010629924102,0.01174746407680982,0.6937924300697438
10,10,0.6934977469182608,0.012286266213921633,0.6932621136685111
11,11,0.6824803035883217,0.009575747714923418,0.6825112224317715
12,12,0.6784475039176181,0.008323333835021257,0.6783886830615173
13,13,0.6740157210222636,0.015746749092830945,0.6739589948141891
14,14,0.6792544971367086,0.013685391475721651,0.6793977864973754
15,15,0.6705202849570687,0.008493490404859451,0.6701710999700782
16,16,0.6738769795706145,0.013574667352854277,0.6735973496959184
17,17,0.66783202264636,0.012769562726206612,0.6676289992529507
18,18,0.6629947572521069,0.008606211497600108,0.6629474330042024
19,19,0.6568139474425355,0.009207098694580048,0.6565531711194638
20,20,0.6539921792066552,0.0049888892604980275,0.6531963183370182
21,21,0.622816063317374,0.003403279174187237,0.6219318321654284
22,22,0.6074996208756689,0.00967441836171618,0.6068744722704065
23,23,0.5650392303415007,0.014833210987547267,0.5641922861641968
24,24,0.509810473941521,0.00843982497530414,0.5085238014050115
