Model,Dataset,Layer_CNN,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24
wav2vec2,RAVDESS,1.7587212e-06,3.5351907e-06,7.4305617e-06,2.8660463e-05,4.275371e-05,0.00017450603,0.00050920446,0.48035413,0.51783884,0.0007423649,0.0001575075,5.0519866e-05,3.7654485e-05,1.44396345e-05,1.5533127e-05,7.48764e-06,9.039739e-06,2.4559279e-06,9.646775e-07,3.526975e-07,2.861664e-07,9.819949e-08,1.1655119e-07,2.890529e-07,1.9718411e-07
wav2vec2,EmoDB,0.0065173903,0.020393591,0.0410254,0.061046105,0.0735438,0.066522256,0.09374116,0.09278329,0.07930497,0.050451864,0.04336282,0.025590498,0.016856682,0.014720857,0.0128240045,0.008202729,0.0072988956,0.0047417087,0.0028448128,0.0058873678,0.010720407,0.012102028,0.030230666,0.14509308,0.074193604
wav2vec2,IEMOCAP,0.0024046537,0.010812605,0.05649706,0.07782684,0.40647182,0.16076902,0.06548261,0.05233237,0.029240513,0.01579715,0.01122213,0.009555574,0.0068148277,0.0070152273,0.006829367,0.0048221783,0.003988335,0.0018997345,0.001434427,0.0011811146,0.0026556193,0.016301591,0.033162672,0.012181288,0.0033012107
wav2vec2,SAVEE,0.0051367423,0.050757594,0.7267021,0.06259308,0.029948507,0.027115807,0.0128949685,0.0070688934,0.006142146,0.0045416243,0.0031582185,0.0032751306,0.0029520425,0.0029971027,0.0028793267,0.0025112035,0.002050306,0.0014191181,0.0011452457,0.00071948074,0.0014841006,0.0036003634,0.007711361,0.029528176,0.0016672922
wav2vec2,AESDD,0.0016802152,0.0038044448,0.010666983,0.01629676,0.06360954,0.09202112,0.13996622,0.4711663,0.068499945,0.020530814,0.009130167,0.0043875244,0.0032136305,0.0026188777,0.0023410893,0.0023996644,0.00311247,0.007027323,0.034590226,0.035616763,0.0039690067,0.0018429898,0.00037585417,0.00014422883,0.0009878306
wav2vec2,MESD,0.00022480232,0.00035888073,0.00077965326,0.0015130065,0.0058364486,0.019700024,0.4193887,0.27549773,0.06019687,0.039167784,0.14676118,0.02489763,0.0029375441,0.0010765494,0.00076269126,0.00047350288,0.00019502109,9.103138e-05,5.1172206e-05,6.5394066e-05,9.138736e-06,2.9201456e-06,1.84487e-06,2.2007284e-06,8.3062405e-06
wav2vec2,MSP-Podcast,0.0023503033,0.002630701,0.0057291305,0.014019554,0.024155756,0.04826256,0.08214345,0.18855833,0.1614567,0.07684463,0.07378496,0.047647007,0.050851345,0.044120718,0.0382142,0.03394281,0.027349811,0.012442199,0.011589365,0.012936955,0.017984044,0.007647462,0.003552032,0.0024654104,0.009320502
HuBERT,RAVDESS,3.0082118e-05,2.2286737e-05,5.0077313e-05,0.00021986244,0.0006332506,0.020703394,0.02674844,0.115699396,0.0011978932,0.0011069188,0.056742024,0.18457879,0.06579092,0.14877972,0.17737564,0.00012805754,6.5599066e-05,6.608885e-05,2.0949996e-05,4.5969114e-06,1.8787914e-06,7.085382e-07,2.1186235e-08,0.19999936,3.4174303e-05
HuBERT,EmoDB,0.0007843363,0.001513114,0.0049615246,0.008430706,0.03831596,0.045247864,0.09240728,0.026988287,0.017350497,0.029254848,0.13541529,0.27335328,0.08612663,0.058837347,0.012104081,0.03490261,0.016487686,0.08824742,0.020749439,0.005741325,0.0020623992,5.449463e-06,1.9382413e-14,5.4856607e-17,0.0007126314
HuBERT,IEMOCAP,0.04513208,0.023688432,0.025216281,0.10721858,0.20355582,0.07652258,0.064761534,0.048067912,0.016511342,0.010379871,0.019081915,0.021258604,0.02947476,0.03154991,0.042937987,0.03383129,0.016745828,0.018490063,0.031022975,0.060231984,0.012268183,3.9696537e-05,1.9049589e-09,4.547795e-06,0.062007777
HuBERT,SAVEE,0.04708296,0.003766931,0.010595095,0.15671887,0.117802836,0.12156962,0.1235157,0.02573654,0.017832205,0.012568581,0.011008114,0.017951004,0.04515212,0.046788823,0.034149654,0.005007357,0.0021979213,0.018496688,0.055538643,0.09968318,0.02412578,0.0016544632,2.5463716e-16,6.1333694e-08,0.0010568869
HuBERT,AESDD,0.012717237,0.005788824,0.023024987,0.09282982,0.11018576,0.09051017,0.08362852,0.061235048,0.09920634,0.11394508,0.063960224,0.0975877,0.095305786,0.042131305,0.00493936,0.0015493528,0.00046700664,0.00015319255,4.9666538e-05,7.1499185e-06,1.0899508e-06,3.5698045e-09,1.9041282e-10,2.1090284e-13,0.0007764286
HuBERT,MESD,0.7939618,0.0012316635,0.0016637789,0.0015379225,0.028668102,0.059504867,0.015400821,0.01760311,0.0060842084,0.052645307,0.01462048,0.0004425821,0.0002590565,7.957622e-05,4.1778596e-05,0.0002601217,0.00016675098,0.00073965697,0.0005993588,8.5940286e-05,3.595533e-05,3.3746588e-08,0.0033555352,4.5822506e-09,0.0010116507
HuBERT,MSP-Podcast,0.012320612,0.018052077,0.04003884,0.13180748,0.080891244,0.04165703,0.028179895,0.01767605,0.025599876,0.02602073,0.016793642,0.034921177,0.10047014,0.06704848,0.01844373,0.009178633,0.0029105204,0.0026993705,0.000797682,0.0003705708,0.000110052235,1.5705207e-06,1.4263503e-15,1.5538825e-07,0.32401028
Whisper,RAVDESS,0.124695,0.009261353,0.010901412,0.015320191,0.013248175,0.011054362,0.009602637,0.0059614377,6.960066e-05,6.137206e-05,5.8010733e-05,3.1721924e-05,3.204442e-05,4.4015516e-05,4.5416557e-05,4.701335e-05,4.072919e-05,4.318921e-05,4.3624146e-05,3.113841e-05,2.960867e-05,2.9503048e-05,2.3522076e-05,2.0053116e-05,0.79930466
Whisper,EmoDB,0.0047455905,0.019959098,0.022278577,0.026124448,0.026359458,0.02363759,0.023220507,0.028953105,0.019998256,0.0189743,0.01981594,0.015139786,0.013037053,0.0125099,0.011864567,0.010408243,0.010653371,0.010130851,0.007931693,0.008199352,0.008455634,0.0071188333,0.006268733,0.008059925,0.63615507
Whisper,IEMOCAP,0.06509211,0.0055657653,0.0071568647,0.007079358,0.007229328,0.0075489776,0.006345524,0.003565906,9.980615e-06,1.2966522e-05,1.302688e-05,1.4675485e-05,1.355774e-05,1.3663793e-05,1.01298265e-05,9.573314e-06,1.1459013e-05,1.3129837e-05,1.4018477e-05,1.9994899e-05,1.8669962e-05,2.207801e-05,2.1098282e-05,8.609041e-06,0.8901911
Whisper,SAVEE,0.06983848,0.021126753,0.02703021,0.026815746,0.023149233,0.02211523,0.019256216,0.015744047,0.005467486,0.0061842715,0.00574197,0.006750556,0.0040723933,0.0036037036,0.0041806726,0.003967046,0.0032451372,0.003148334,0.0027662218,0.002486063,0.002194621,0.0018060893,0.001299131,0.0018917129,0.7161187
Whisper,AESDD,0.0071137613,0.012231362,0.016656667,0.016790662,0.017245688,0.019618867,0.01779123,0.01829131,0.0059785144,0.0055691274,0.0066476217,0.00633198,0.005980109,0.005081192,0.005149343,0.00567658,0.005180666,0.0042100027,0.003931685,0.0040471237,0.004579813,0.0049126637,0.00429731,0.005622356,0.79106426
