Model,Dataset,Mixer_Accuracy,Mixer_Std,Mixer_F1,Top_Attn_Layer,Top_Attn_Weight,Probe_Best_Acc,Probe_Best_Layer
wav2vec2,RAVDESS,0.8808287405973039,0.011942053776766047,0.8806165303596731,8,0.51783884,0.9577,Layer 8
wav2vec2,EmoDB,0.8822429906542055,0.04446870001259933,0.8769586257140434,23,0.14509308,0.9757,Layer 7
wav2vec2,IEMOCAP,0.6723443223443224,0.018851127968763447,0.6713774493253142,4,0.40647182,0.6416,Layer 8
wav2vec2,SAVEE,0.6375,0.038640077064565403,0.6247303639684185,2,0.7267021,0.8583,Layer 13
wav2vec2,AESDD,0.8757300275482093,0.036324839475487834,0.8729883761001647,7,0.4711663,0.9305,Layer 6
wav2vec2,MESD,0.8051149348030651,0.020840794937641464,0.8044560168417915,6,0.4193887,0.8608,Layer 5
wav2vec2,MSP-Podcast,0.663605628710037,0.002778801787294734,0.6309158518765762,7,0.18855833,0.6114,CNN
HuBERT,RAVDESS,0.9550942131526028,0.01577917352903923,0.9547796627896347,23,0.19999936,0.9706,Layer 13
HuBERT,EmoDB,0.9850467289719627,0.012677252304907044,0.984992952758325,11,0.27335328,0.9888,Layer 11
HuBERT,IEMOCAP,0.7093406593406593,0.015772197905942135,0.7088387584483834,4,0.20355582,0.6822,Layer 13
HuBERT,SAVEE,0.8541666666666666,0.02083333333333334,0.853296424635586,3,0.15671887,0.8896,Layer 7
HuBERT,AESDD,0.9271487603305786,0.012165614889641099,0.9268455576345733,9,0.11394508,0.9586,Layer 10
HuBERT,MESD,0.7656808710848233,0.02377683106435381,0.7647673883495156,CNN,0.7939618,0.8782,Layer 8
HuBERT,MSP-Podcast,0.6638837066148965,0.0047913149722622304,0.6355192757690123,24,0.32401028,0.6204,CNN
Whisper,RAVDESS,0.7806416176361063,0.020694035716651776,0.7804266188008222,24,0.79930466,0.975,Layer 18
Whisper,EmoDB,0.7345794392523365,0.18089363868314332,0.6935578417599311,24,0.63615507,0.9869,Layer 15
Whisper,IEMOCAP,0.7347985347985347,0.008775933004183858,0.7343636850648823,24,0.8901911,0.7002,Layer 20
Whisper,SAVEE,0.6395833333333333,0.05690208451561525,0.6318101403227259,24,0.7161187,0.8979,Layer 9
Whisper,AESDD,0.6954820936639118,0.05210373675438339,0.6853034105260029,24,0.79106426,0.9586,Layer 10
Whisper,MESD,0.6577564188735046,0.05144300018674304,0.6503268163475023,24,0.9052502,0.8979,Layer 9
Whisper,MSP-Podcast,0.6880970603807859,0.004746134575550816,0.6638862005147951,24,0.9454454,0.6316,Layer 23
WavLM,RAVDESS,0.9637288672078647,0.008248007445988009,0.9638703512359299,11,0.45737138,0.9702,Layer 10
WavLM,EmoDB,0.9644859813084112,0.023195651674749265,0.9645408357173023,10,0.1545063,0.9869,Layer 8
WavLM,IEMOCAP,0.722893772893773,0.010562542751132747,0.7224465181429955,6,0.18142,0.689,Layer 22
WavLM,SAVEE,0.83125,0.023199018178458427,0.8276016011017694,22,0.1737471,0.8875,Layer 6
WavLM,AESDD,0.9470247933884298,0.01853967883427103,0.9470587222670506,10,0.3214035,0.9504,Layer 9
WavLM,MESD,0.8806358381502889,0.04837401397450804,0.8809722761876753,9,0.21102162,0.9246,Layer 7
WavLM,MSP-Podcast,0.672046971921019,0.006848551243492608,0.6422119620802766,24,0.15144572,0.6298,Layer 22
MERT,RAVDESS,0.5961597899754226,0.15154510785458586,0.5871543973408873,24,0.80000114,0.9439,Layer 14
MERT,EmoDB,0.9252336448598131,0.0221161861050453,0.9241297688127252,12,0.16113113,0.9607,Layer 6
MERT,IEMOCAP,0.6137362637362638,0.03073105079327782,0.6134280839460574,24,0.6,0.6522,Layer 2
MERT,SAVEE,0.36041666666666666,0.17060452156311032,0.2540269227707645,24,0.7999956,0.7896,Layer 6
MERT,AESDD,0.781542699724518,0.16106540684115958,0.771892388945641,24,0.20007178,0.8907,Layer 9
MERT,MESD,0.6473316305955101,0.14995623145973055,0.6440088918328278,24,0.6000088,0.8689,Layer 7
MERT,MSP-Podcast,0.6269565966019397,0.017819398750950725,0.5844508649636484,24,0.6887187,0.6008,CNN
w2v-BERT,RAVDESS,0.9106306323080361,0.023203809328541353,0.9104362026015581,17,0.9375067,0.9655,Layer 17
w2v-BERT,EmoDB,0.9439252336448598,0.013216949181056965,0.9436710608670762,17,0.45167747,0.9869,Layer 17
w2v-BERT,IEMOCAP,0.689010989010989,0.030042213364751692,0.6888191869067055,17,0.4212059,0.6703,Layer 16
w2v-BERT,SAVEE,0.6041666666666666,0.04885849749816074,0.5835877362836963,2,0.40925464,0.8292,Layer 16
w2v-BERT,AESDD,0.8907024793388431,0.0371923782578919,0.8898170090782684,17,0.38950673,0.947,Layer 17
w2v-BERT,MESD,0.776098938029305,0.03461176519638001,0.7767556601213312,18,0.40141863,0.8689,Layer 17
w2v-BERT,MSP-Podcast,0.6680582758308976,0.005388683951477121,0.6375753116281683,10,0.43147144,0.6181,Layer 14
