Model,Dataset,Best_Probe_Layer,Probe_Acc,Mixer_Acc,Delta_Acc,Probe_F1,Mixer_F1,Delta_F1,Top_Attn_Layer
wav2vec2,RAVDESS,Layer 8,0.9577,0.8808±0.0119,-0.0769,0.9578,0.8806±0.0127,-0.0772,8
wav2vec2,EmoDB,Layer 7,0.9757,0.8822±0.0445,-0.0935,0.9756,0.8770±0.0507,-0.0986,23
wav2vec2,IEMOCAP,Layer 8,0.6416,0.6723±0.0189,+0.0307,0.6412,0.6714±0.0194,+0.0302,4
wav2vec2,SAVEE,Layer 13,0.8583,0.6375±0.0386,-0.2208,0.8570,0.6247±0.0419,-0.2323,2
wav2vec2,AESDD,Layer 6,0.9305,0.8757±0.0363,-0.0548,0.9304,0.8730±0.0392,-0.0574,7
wav2vec2,MESD,Layer 5,0.8608,0.8051±0.0208,-0.0557,0.8599,0.8045±0.0217,-0.0554,6
wav2vec2,MSP-Podcast,CNN,0.6114,0.6636±0.0028,+0.0522,0.5943,0.6309±0.0044,+0.0366,7
HuBERT,RAVDESS,Layer 13,0.9706,0.9551±0.0158,-0.0155,0.9706,0.9548±0.0164,-0.0158,23
HuBERT,EmoDB,Layer 11,0.9888,0.9850±0.0127,-0.0038,0.9887,0.9850±0.0128,-0.0037,11
HuBERT,IEMOCAP,Layer 13,0.6822,0.7093±0.0158,+0.0271,0.6821,0.7088±0.0159,+0.0267,4
HuBERT,SAVEE,Layer 7,0.8896,0.8542±0.0208,-0.0354,0.8874,0.8533±0.0223,-0.0341,3
HuBERT,AESDD,Layer 10,0.9586,0.9271±0.0122,-0.0315,0.9582,0.9268±0.0124,-0.0314,9
HuBERT,MESD,Layer 8,0.8782,0.7657±0.0238,-0.1125,0.8784,0.7648±0.0221,-0.1136,CNN
HuBERT,MSP-Podcast,CNN,0.6204,0.6639±0.0048,+0.0435,0.5983,0.6355±0.0040,+0.0372,24
Whisper,RAVDESS,Layer 18,0.9750,0.7806±0.0207,-0.1944,0.9750,0.7804±0.0204,-0.1946,24
Whisper,EmoDB,Layer 15,0.9869,0.7346±0.1809,-0.2523,0.9869,0.6936±0.2457,-0.2933,24
Whisper,IEMOCAP,Layer 20,0.7002,0.7348±0.0088,+0.0346,0.6999,0.7344±0.0095,+0.0345,24
Whisper,SAVEE,Layer 9,0.8979,0.6396±0.0569,-0.2583,0.8970,0.6318±0.0590,-0.2652,24
Whisper,AESDD,Layer 10,0.9586,0.6955±0.0521,-0.2631,0.9583,0.6853±0.0597,-0.2730,24
Whisper,MESD,Layer 9,0.8979,0.6578±0.0514,-0.2401,0.8977,0.6503±0.0568,-0.2474,24
Whisper,MSP-Podcast,Layer 23,0.6316,0.6881±0.0047,+0.0565,0.6323,0.6639±0.0056,+0.0316,24
WavLM,RAVDESS,Layer 10,0.9702,0.9637±0.0082,-0.0065,0.9702,0.9639±0.0081,-0.0063,11
WavLM,EmoDB,Layer 8,0.9869,0.9645±0.0232,-0.0224,0.9869,0.9645±0.0233,-0.0224,10
WavLM,IEMOCAP,Layer 22,0.6890,0.7229±0.0106,+0.0339,0.6893,0.7224±0.0105,+0.0331,6
WavLM,SAVEE,Layer 6,0.8875,0.8313±0.0232,-0.0562,0.8868,0.8276±0.0244,-0.0592,22
WavLM,AESDD,Layer 9,0.9504,0.9470±0.0185,-0.0034,0.9502,0.9471±0.0185,-0.0031,10
WavLM,MESD,Layer 7,0.9246,0.8806±0.0484,-0.0440,0.9245,0.8810±0.0483,-0.0435,9
WavLM,MSP-Podcast,Layer 22,0.6298,0.6720±0.0068,+0.0422,0.6286,0.6422±0.0087,+0.0136,24
MERT,RAVDESS,Layer 14,0.9439,0.5962±0.1515,-0.3477,0.9439,0.5872±0.1575,-0.3567,24
MERT,EmoDB,Layer 6,0.9607,0.9252±0.0221,-0.0355,0.9603,0.9241±0.0222,-0.0362,12
MERT,IEMOCAP,Layer 2,0.6522,0.6137±0.0307,-0.0385,0.6519,0.6134±0.0297,-0.0385,24
MERT,SAVEE,Layer 6,0.7896,0.3604±0.1706,-0.4292,0.7870,0.2540±0.2188,-0.5330,24
MERT,AESDD,Layer 9,0.8907,0.7815±0.1611,-0.1092,0.8905,0.7719±0.1789,-0.1186,24
MERT,MESD,Layer 7,0.8689,0.6473±0.1500,-0.2216,0.8686,0.6440±0.1520,-0.2246,24
MERT,MSP-Podcast,CNN,0.6008,0.6270±0.0178,+0.0262,0.5780,0.5845±0.0248,+0.0065,24
w2v-BERT,RAVDESS,Layer 17,0.9655,0.9106±0.0232,-0.0549,0.9655,0.9104±0.0242,-0.0551,17
w2v-BERT,EmoDB,Layer 17,0.9869,0.9439±0.0132,-0.0430,0.9868,0.9437±0.0129,-0.0431,17
w2v-BERT,IEMOCAP,Layer 16,0.6703,0.6890±0.0300,+0.0187,0.6705,0.6888±0.0308,+0.0183,17
w2v-BERT,SAVEE,Layer 16,0.8292,0.6042±0.0489,-0.2250,0.8290,0.5836±0.0594,-0.2454,2
w2v-BERT,AESDD,Layer 17,0.9470,0.8907±0.0372,-0.0563,0.9466,0.8898±0.0377,-0.0568,17
w2v-BERT,MESD,Layer 17,0.8689,0.7761±0.0346,-0.0928,0.8687,0.7768±0.0325,-0.0919,18
w2v-BERT,MSP-Podcast,Layer 14,0.6181,0.6681±0.0054,+0.0500,0.6158,0.6376±0.0102,+0.0218,10
