Model,Dataset,Frozen_Best_Layer,Frozen_Best_Acc,Tuned_Best_Layer,Tuned_Best_Acc,Best_Acc_Delta,Mean_Delta_All,Mean_Delta_Deep(18-24)
wav2vec2,RAVDESS,Layer 8,0.9577,CNN,0.8989583333333333,-0.05874166666666669,-0.3028711111111111,-0.5780103174603174
wav2vec2,EmoDB,Layer 7,0.9757,7,0.9720042684075073,-0.0036957315924927014,-0.14445292708137178,-0.3385787404610956
wav2vec2,SAVEE,Layer 13,0.8583,11,0.8083333333333335,-0.04996666666666649,-0.06884066666666666,-0.14704047619047625
wav2vec2,AESDD,Layer 6,0.9305,6,0.8940364185672299,-0.036463581432770065,-0.12957711666091984,-0.17591957609406994
wav2vec2,MESD,Layer 5,0.8608,3,0.7842100593624983,-0.07658994063750169,-0.08583297044779972,-0.1077268854967461
HuBERT,RAVDESS,Layer 13,0.9706,CNN,0.8868055555555555,-0.0837944444444445,-0.22014855555555557,-0.3589980158730159
HuBERT,EmoDB,Layer 11,0.9888,5,0.9738664658004309,-0.01493353419956911,-0.12098006963362834,-0.2737148102979815
HuBERT,SAVEE,Layer 7,0.8896,6,0.8520833333333333,-0.03751666666666664,-0.15158399999999997,-0.3250119047619047
HuBERT,AESDD,Layer 10,0.9586,8,0.9321215703659919,-0.02647842963400815,-0.19044388243600477,-0.4487915913126494
HuBERT,MESD,Layer 8,0.8782,3,0.8329542521615693,-0.04524574783843072,-0.19884228623048134,-0.2969184558376196
Whisper,RAVDESS,Layer 18,0.975,13,0.8871527777777777,-0.0878472222222223,-0.28912166666666667,-0.30603253968253963
Whisper,EmoDB,Layer 15,0.9869,3,0.8822840164877702,-0.10461598351222978,-0.27180991375306013,-0.3148086264874414
Whisper,SAVEE,Layer 9,0.8979,CNN,0.7645833333333334,-0.13331666666666664,-0.30166066666666663,-0.43331904761904755
Whisper,AESDD,Layer 10,0.9586,6,0.9089617917015582,-0.04963820829844179,-0.13327564435249495,-0.2548073193673312
Whisper,MESD,Layer 9,0.8979,11,0.8189726093689508,-0.07892739063104925,-0.19086884423796618,-0.33989496893608395
WavLM,RAVDESS,Layer 10,0.9702,11,0.9736111111111111,0.0034111111111111425,0.00565600000000003,0.009099603174603201
WavLM,EmoDB,Layer 8,0.9869,10,0.9850501119410792,-0.0018498880589208344,0.0029288150147510983,0.000812169146109265
WavLM,SAVEE,Layer 6,0.8875,6,0.8666666666666667,-0.02083333333333326,-0.005673999999999997,-0.004471428571428555
WavLM,AESDD,Layer 9,0.9504,10,0.9436973548101077,-0.006702645189892276,-0.01753275543076698,-0.01871985968319648
WavLM,MESD,Layer 7,0.9246,2,0.8863240418118467,-0.038275958188153325,-0.030051202219641235,-0.042949912431097075
MERT,RAVDESS,Layer 14,0.9439,CNN,0.8576388888888888,-0.08626111111111112,-0.47166977777777774,-0.5442587301587302
MERT,EmoDB,Layer 6,0.9607,1,0.8672922812964242,-0.09340771870357578,-0.266233886887201,-0.4893406825865115
MERT,SAVEE,Layer 6,0.7896,1,0.6458333333333334,-0.1437666666666666,-0.25625133333333333,-0.4095309523809524
MERT,AESDD,Layer 9,0.8907,5,0.7947884340672874,-0.09591156593271266,-0.2862327578608607,-0.4720349759922686
MERT,MESD,Layer 7,0.8689,4,0.7448985352948768,-0.12400146470512319,-0.20763736662795199,-0.31308659366185493
w2v-BERT,RAVDESS,Layer 17,0.9655,1,0.8666666666666667,-0.09883333333333333,-0.36395811111111115,-0.5074412698412699
w2v-BERT,EmoDB,Layer 17,0.9869,4,0.9083233946393824,-0.07857660536061761,-0.17011937555708992,-0.3589817107107735
w2v-BERT,SAVEE,Layer 16,0.8292,17,0.7854166666666668,-0.043783333333333285,-0.115588,-0.22291904761904763
w2v-BERT,AESDD,Layer 17,0.947,17,0.8658522568674778,-0.08114774313252215,-0.13355071126217097,-0.20935776445448387
w2v-BERT,MESD,Layer 17,0.8689,17,0.8190331010452961,-0.049866898954703864,-0.08204767299006323,-0.1581872038788415
