Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7863980427893535,0.017987273052460683,0.7846737071395701
1,1,0.8311166937589282,0.007235072265777484,0.8302020740791979
2,2,0.8691936357814886,0.02091267381992148,0.8685398032771813
3,3,0.9056204127875475,0.010817706558348513,0.9060943777506675
4,4,0.8990115429453392,0.0021014782095260466,0.8986634298449512
5,5,0.9039784575472473,0.00839464771432504,0.9039835090738428
6,6,0.9188792013529712,0.004595084420200361,0.9184189655366687
7,7,0.9205375761456743,0.006939305746159751,0.9192276016212246
8,8,0.9321215703659919,0.006176414939457843,0.9317488167041105
9,9,0.9287966110043842,0.013113030182552785,0.9276105230703413
10,10,0.9072541582516461,0.01442354176573402,0.9064001668901908
11,11,0.8956537444789255,0.017891149960332794,0.8944807118580176
12,12,0.834343135806118,0.04033055880498384,0.8307379876360601
13,13,0.7565801356255029,0.05774930483780129,0.7361386742864724
14,14,0.7548807119517922,0.038180270139262625,0.7396219427676959
15,15,0.6704513734955585,0.06953241830995044,0.6440749859355167
16,16,0.6208889545670986,0.04040451846017414,0.6146192351415459
17,17,0.5528381196328588,0.07188863610997098,0.511587496565684
18,18,0.4570218215851436,0.0675328465556553,0.3856750438812198
19,19,0.4307176986355352,0.15144116265704224,0.35455155399056953
20,20,0.39746810501945723,0.08858980172319207,0.34489612469367076
21,21,0.4025499564881862,0.1031159375380197,0.3476875250928763
22,22,0.4058749158497939,0.11843111848783955,0.34468765744093527
23,23,0.5348012413181616,0.04492502960568989,0.49288080150447483
24,24,0.49002512191517655,0.04055582245363062,0.4167838891747273
