Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.899106563722721,0.015564545724441815,0.8970670720765032
1,1,0.9252819450547151,0.018839042675352972,0.9247234424309386
2,2,0.9495742054275732,0.01635417309519089,0.9495308764359316
3,3,0.971993806624401,0.012020010600115257,0.9723715196451762
4,4,0.971993806624401,0.012020010600115257,0.9722631039200439
5,5,0.9738664658004309,0.013901910897957356,0.9739660745369815
6,6,0.9607683133513275,0.01204946740891147,0.9607271925772508
7,7,0.9551503358232377,0.025519293525869728,0.9559879147039189
8,8,0.9476387755529053,0.0356568540917693,0.9480653113142695
9,9,0.9326156550122403,0.0496486268382845,0.9322884916640822
10,10,0.9214424706546985,0.052149891139530315,0.9224383737729568
11,11,0.9045780762873225,0.07963575133071092,0.9054562949992899
12,12,0.9120896365576548,0.057411762658899836,0.9130207175460631
13,13,0.8991170255058272,0.05197019830747255,0.8954727895648364
14,14,0.841085514615111,0.11548147716651823,0.8307187756551709
15,15,0.8542778231121712,0.02741543348872351,0.8467316099393911
16,16,0.8018642897495449,0.0029416405945452044,0.7858490244768466
17,17,0.7364572217688782,0.003987874735401364,0.7046730890634558
18,18,0.7234218400184128,0.04462047752797645,0.6865901145588754
19,19,0.714027158788944,0.04827051987130847,0.6857804596354325
20,20,0.67287050404871,0.0537089502768747,0.6426216826106073
21,21,0.6877471596258866,0.07322641216392,0.6433079208402658
22,22,0.5570690268449354,0.022577468417773954,0.5126306005472844
23,23,0.672734500868328,0.06422472885549055,0.647006387371747
24,24,0.7756261377189128,0.08511459460208158,0.7669662331371896
