Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7737933926958317,0.008201239689943676,0.7730395670565198
1,1,0.7679942573235256,0.01622931539285094,0.7652492369490925
2,2,0.7992765195509097,0.03547902362590322,0.8007195692579486
3,3,0.8329542521615693,0.023228134377768484,0.8317252573678662
4,4,0.74005920118725,0.10959840734695493,0.7327683231743732
5,5,0.7168021680216802,0.14986354352666048,0.6719574325088157
6,6,0.7040666537617758,0.15076686374240886,0.6915940730089668
7,7,0.7017800683959221,0.1415250195186206,0.7083189209164474
8,8,0.6831849270873661,0.14318300731000735,0.6707522605778783
9,9,0.7273236869273455,0.08894051893400642,0.7134198126157166
10,10,0.6926296941540845,0.03937280861913241,0.6863894735397055
11,11,0.7006952510001291,0.03129813742669755,0.6962572691248853
12,12,0.6589156665376178,0.06064059722107866,0.651877270966963
13,13,0.6126758291392438,0.11610610651861651,0.5981363569320991
14,14,0.6033318815331011,0.06214928134225663,0.5877260983931794
15,15,0.5360732029939347,0.07607057657566275,0.5003821652155331
16,16,0.5047869079881274,0.10745698630518388,0.4585593163045389
17,17,0.4769284746418892,0.08346437464078282,0.4345220298043233
18,18,0.4165698799845141,0.0660036919091485,0.3790436586466917
19,19,0.4282044457349336,0.08182069010372972,0.39648953231535117
20,20,0.4061572460962705,0.0786109083198384,0.36524362393397203
21,21,0.3829365079365079,0.07052983727379572,0.34365355665068326
22,22,0.4455857207381597,0.0723369197445149,0.41277077148694935
23,23,0.403717415150342,0.01875338317280181,0.3717427363037234
24,24,0.4280995934959349,0.023023338635075396,0.4050589717051947
