Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8868055555555555,0.005663023066076425,0.8867291584443979
1,1,0.28402777777777777,0.09608335943271626,0.18628377642416982
2,2,0.5777777777777778,0.10230748255946054,0.5473385452039313
3,3,0.7756944444444445,0.10884073658956017,0.7643849304593058
4,4,0.8072916666666666,0.07667874301023477,0.8033631629663374
5,5,0.8493055555555555,0.05201616038653783,0.8452559650385038
6,6,0.8756944444444444,0.04890535944146375,0.8752680876499092
7,7,0.7774305555555556,0.1666782403388911,0.7743346673503265
8,8,0.8520833333333333,0.04546092390011287,0.8551578515756254
9,9,0.8739583333333334,0.01845838036111391,0.8728660424180418
10,10,0.884375,0.02595123186257609,0.8850921782887605
11,11,0.8822916666666667,0.02105781833341154,0.8825372574453291
12,12,0.875,0.0260624916733267,0.8723557145590805
13,13,0.81875,0.08578426995797205,0.8145166030228443
14,14,0.7881944444444445,0.04033759925404896,0.7866355499358316
15,15,0.8118055555555556,0.05414217751256842,0.8092671439200408
16,16,0.8027777777777777,0.042494666513561055,0.7967347558764722
17,17,0.7802083333333334,0.04069171871796795,0.7723025473044568
18,18,0.7604166666666666,0.041204028816861374,0.752670363565799
19,19,0.6899305555555556,0.03568458034909977,0.676241829959691
20,20,0.6197916666666666,0.07540880100173006,0.6048244992143418
21,21,0.5059027777777777,0.09966789954954042,0.45813790639012764
22,22,0.5121527777777778,0.05812421179606292,0.4652292536559049
23,23,0.5763888888888888,0.025406608513787086,0.5379524884570962
24,24,0.48993055555555554,0.052994347328422016,0.4212513714430625
