Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7000000000000001,0.017677669529663678,0.6983764396951225
1,1,0.725,0.017677669529663678,0.7273605427840147
2,2,0.8104166666666668,0.019320038532282733,0.8106616448099802
3,3,0.8145833333333333,0.02810570325673341,0.8137907807589565
4,4,0.8395833333333332,0.015590239111558084,0.8384614509042105
5,5,0.85,0.008838834764831865,0.8500011207701453
6,6,0.8520833333333333,0.0077951195557790665,0.8518646907479295
7,7,0.8270833333333334,0.0077951195557790665,0.8281434261938733
8,8,0.8312499999999999,0.017677669529663678,0.8320192259238525
9,9,0.8166666666666668,0.005892556509887875,0.8165478061862346
10,10,0.8125,0.0385275875185561,0.8149921993904661
11,11,0.7958333333333334,0.0077951195557790665,0.7977340475365939
12,12,0.7604166666666666,0.042797163717029456,0.7564462968135048
13,13,0.7624999999999998,0.0840076881402331,0.7592795815708189
14,14,0.7229166666666668,0.07383352144445562,0.7194155576738058
15,15,0.7208333333333332,0.07728015412913082,0.7186214057559841
16,16,0.6708333333333334,0.1252428197099095,0.6720925933018508
17,17,0.6145833333333334,0.12335726119239554,0.6119404393638371
18,18,0.6125,0.13702569710337792,0.6087503713157555
19,19,0.5395833333333333,0.16148185312563418,0.517189375598024
20,20,0.56875,0.0985573014376239,0.557343081846101
21,21,0.5666666666666668,0.09578803277143873,0.5434147479588969
22,22,0.5770833333333334,0.12335726119239553,0.5473378020111046
23,23,0.40208333333333335,0.07744845956433793,0.35451671425751535
24,24,0.38125000000000003,0.0977614017220839,0.33356277229808134
