Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7019851238855228,0.02032280310446838,0.702174775466999
1,1,0.6872157364990229,0.06420205508638636,0.6801135145858525
2,2,0.6806643350902254,0.08574263302403248,0.6569046925032925
3,3,0.7319343874685976,0.06261894628705492,0.711673581688954
4,4,0.6956718059865689,0.13175177713604055,0.6883646094216552
5,5,0.7947884340672874,0.038880217291614665,0.7973410137490057
6,6,0.72521879053577,0.036405432180377735,0.7264625803225829
7,7,0.7285765890021838,0.05484372243229447,0.7251401836251494
8,8,0.7168366090340377,0.035769287358537925,0.7158780617788594
9,9,0.6606078518299592,0.0348958794860364,0.6433306650149385
10,10,0.5877132489368341,0.025242841745115256,0.5526535277440542
11,11,0.566252893946111,0.05610345896738933,0.5402684734468662
12,12,0.6026796709521698,0.04268070544496224,0.5602561095692122
13,13,0.6556819861090587,0.03630415391351007,0.6138605532543592
14,14,0.5034973646618394,0.07951058603050855,0.46176793450097103
15,15,0.5184473671247721,0.11864328416077456,0.47994331874343227
16,16,0.53834786463721,0.11607762593646849,0.4952608939774697
17,17,0.5284058256571926,0.11294101782657054,0.4953448151316185
18,18,0.4554865934354629,0.10349492853091881,0.38424259494731355
19,19,0.41901055777219515,0.10162491425900984,0.3315049003812954
20,20,0.3742015992644041,0.03484098249114316,0.293777480406769
21,21,0.3460831157742639,0.024523196557399058,0.28712436941095815
22,22,0.29638934042658,0.016932706703450828,0.23027118358124196
23,23,0.3177101292218774,0.07514715131833653,0.2662150305508655
24,24,0.32787383215933535,0.03657601707120822,0.2856909001955996
