Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8411064381813237,0.028105626558761334,0.8408253053498398
1,1,0.8672922812964242,0.025247432246521935,0.8674850339275798
2,2,0.8298600213420375,0.018896117709502835,0.826842185882302
3,3,0.8299332538237817,0.029318825647498183,0.8193583245732884
4,4,0.8037578724917877,0.015623523351616356,0.8000563885517549
5,5,0.7961940033059234,0.046644812347526696,0.7793510830322568
6,6,0.827966438599795,0.030160807218249736,0.8194830052406233
7,7,0.8091770761408575,0.09385131571551165,0.8046463767720686
8,8,0.7474002468980814,0.13698325542737635,0.7268277656841232
9,9,0.7699663130583977,0.09954583599897186,0.7559900520372813
10,10,0.7793400707216538,0.0743764413629485,0.7731300299690119
11,11,0.7549955014332642,0.12914288896618165,0.740421891860739
12,12,0.7475048647291445,0.13147534486179915,0.7388434534752822
13,13,0.7160462829284624,0.1095841702971276,0.7173891346165782
14,14,0.7123114263595087,0.08389629827027544,0.715437736698572
15,15,0.6970895319398238,0.07977768649375165,0.7122783525263325
16,16,0.6149645345552696,0.014405772770526331,0.6242583623766217
17,17,0.5290314481200176,0.08116211687425355,0.5068137100340474
18,18,0.5828154750695709,0.14849766196891612,0.5717608868914986
19,19,0.41305212060343566,0.02593255941236063,0.36513281876863984
20,20,0.33266377921452933,0.08442026698804263,0.28920861661856406
21,21,0.43368275688908414,0.17946885917957447,0.3926924703146812
22,22,0.34773920867072583,0.16985642090261288,0.313733114447553
23,23,0.4389241102253469,0.1870597695456702,0.3977897424743409
24,24,0.483637771221727,0.24858470843182684,0.4636259614268019
