Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.698372370628468,0.017202367428475633,0.69835184178632
1,1,0.7261541811846689,0.03898458721628052,0.7235650704067579
2,2,0.6855763646922184,0.0721955199631647,0.6824166456704163
3,3,0.6682394502516454,0.02544811131352404,0.6540860127772193
4,4,0.7448985352948768,0.07251886026461415,0.7384729546165983
5,5,0.7158060717511937,0.04614578532560976,0.7037517471850384
6,6,0.6948557878435927,0.028869558581849697,0.6591920209337442
7,7,0.6125104852238998,0.017067077535158653,0.5718102050495782
8,8,0.669255710414247,0.07217750420244087,0.6322547292834774
9,9,0.7238796941540845,0.019186853614937525,0.6992886752831383
10,10,0.6694089559943218,0.02199881775644093,0.6494219870260348
11,11,0.6774704800619435,0.019311133703822068,0.6447278517370757
12,12,0.6624483804361853,0.03918713523874091,0.6436429277166357
13,13,0.550950122596464,0.05868506366526688,0.5308969263024591
14,14,0.6322509356045941,0.029872612286948104,0.6187083402865305
15,15,0.58130081300813,0.05889658487111777,0.5529828123201908
16,16,0.5406826687314492,0.07470528964370424,0.5159085680317305
17,17,0.5476109820622016,0.038502858170082296,0.504519798604238
18,18,0.4918416892502258,0.025021963166024872,0.45103743485599407
19,19,0.5057910698154601,0.00807229683542903,0.46482120656782255
20,20,0.5046457607433217,0.03288127216467377,0.46838729972041127
21,21,0.525483126855078,0.04635708284341016,0.4822019963370178
22,22,0.5126992192540973,0.03833525526937626,0.4912024793613042
23,23,0.4639953542392567,0.05718839955451884,0.42257244891655293
24,24,0.3978376242095754,0.05666952563846136,0.3485152646789978
