Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8576388888888888,0.015031153348550956,0.8574312121760427
1,1,0.43993055555555555,0.07393795363447869,0.39717267276795204
2,2,0.3663194444444445,0.12349010931554572,0.28462068038389526
3,3,0.3434027777777778,0.02497587570604783,0.2880519688064716
4,4,0.4746527777777778,0.07523272790990257,0.4473766367272276
5,5,0.5934027777777778,0.02918319637423711,0.5631881992060306
6,6,0.6232638888888888,0.015458214784411171,0.6045354815463377
7,7,0.532638888888889,0.012068157775682434,0.517082844242556
8,8,0.5722222222222223,0.10257934109330104,0.5545861135570216
9,9,0.4458333333333333,0.04735479755897866,0.41177497508477257
10,10,0.4694444444444444,0.045248264921376395,0.41741288910043695
11,11,0.38645833333333335,0.05892556509887896,0.33559354326330276
12,12,0.38611111111111107,0.01512709785471664,0.3569481630401245
13,13,0.46388888888888885,0.04223855221488866,0.41861381233157857
14,14,0.45208333333333334,0.03210632293213009,0.41132824796231576
15,15,0.4666666666666666,0.01981905999004213,0.438649123311373
16,16,0.42361111111111116,0.03860574003409657,0.36209056690974895
17,17,0.35659722222222223,0.07361929985899346,0.29522638889954683
18,18,0.36423611111111115,0.10234989762188273,0.3104817105437505
19,19,0.390625,0.059457179970126395,0.3480959372135501
20,20,0.3902777777777778,0.050334050001029855,0.3426530478764978
21,21,0.4128472222222222,0.014934592477504576,0.359689482510302
22,22,0.38888888888888884,0.06011859742353308,0.3235978556944323
23,23,0.37881944444444443,0.06912949413872883,0.3282634368367251
24,24,0.31319444444444444,0.07961465594573668,0.27149320237004476
