Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.6437499999999999,0.020412414523193124,0.6398626869527315
1,1,0.6458333333333334,0.033202869688560906,0.6436231122213473
2,2,0.625,0.05103103630798288,0.6197553645714529
3,3,0.5770833333333334,0.0919031041671366,0.5712729872721315
4,4,0.5666666666666667,0.08312473893025,0.552305917000537
5,5,0.6124999999999999,0.0385275875185561,0.6210082686529269
6,6,0.6208333333333333,0.04124789556921531,0.6302701890882619
7,7,0.6354166666666666,0.03240906080438342,0.6235233317774102
8,8,0.6208333333333335,0.021245914639969946,0.6011196944745197
9,9,0.6333333333333333,0.005892556509887875,0.6103341855969834
10,10,0.5729166666666666,0.06890764753558845,0.540251811908024
11,11,0.5208333333333334,0.062360956446232366,0.4809265281278117
12,12,0.5416666666666666,0.07643306803268393,0.5266115039478904
13,13,0.4854166666666666,0.06581487082888045,0.4672708644641026
14,14,0.4437499999999999,0.0537645329190164,0.42183733480255464
15,15,0.41875,0.061237243569579464,0.384819649379249
16,16,0.4145833333333333,0.07811805524688614,0.3972757335523807
17,17,0.4291666666666667,0.033202869688560885,0.4042915388921877
18,18,0.3791666666666667,0.021245914639969953,0.34011372084248553
19,19,0.3520833333333333,0.054086479107279865,0.2978075472631087
20,20,0.2708333333333333,0.07660323462854265,0.22287326054300607
21,21,0.2854166666666667,0.12842529172852035,0.25703727891561173
22,22,0.27291666666666664,0.0913346259032624,0.21888271009672602
23,23,0.24791666666666667,0.06298423524096239,0.18970923348591603
24,24,0.24375,0.0762055881590495,0.1932111370313794
