Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.779780963170944,0.00893021401721108,0.7788086763953218
1,1,0.8426678488744397,0.02033855697105472,0.8410380276469759
2,2,0.8724447071572828,0.030686226009819642,0.8723465716361184
3,3,0.8873618705154098,0.031166014656567872,0.8863300202462493
4,4,0.9138794476462572,0.011889025892567302,0.9137290471843178
5,5,0.9287884012281825,0.008591396448461816,0.9288806586346307
6,6,0.9271300264354793,0.010350909797369112,0.9267139601656783
7,7,0.9320887312611857,0.01317275924303565,0.9318532727671763
8,8,0.9370638556392953,0.012498137909391298,0.936735361127607
9,9,0.9420389800174047,0.015423772775815327,0.9413225038675197
10,10,0.9436973548101077,0.016944739421931917,0.9433308294601209
11,11,0.9204965272646667,0.016369494981780097,0.919664629146006
12,12,0.9188381524719637,0.02712604477697997,0.9178046392327133
13,13,0.9006206590808334,0.022752923375268297,0.8996087315501776
14,14,0.9039209891138368,0.028936327251563428,0.9023064372300914
15,15,0.9005960297522289,0.03079662909403481,0.898983045046239
16,16,0.8807530006732017,0.022789200103234486,0.8792688767626055
17,17,0.8691525869004811,0.022603957597915007,0.8673671436585013
18,18,0.8791028356567,0.015609338838522214,0.8773800583140128
19,19,0.8741605503833965,0.01699156339197622,0.872739764997386
20,20,0.8724857560382904,0.014497246735768105,0.8716491884307302
21,21,0.8907032494294205,0.017838961481469573,0.8901182786721703
22,22,0.8824195852421063,0.016600143118062943,0.8811706617299668
23,23,0.8791028356567,0.023951540521323124,0.8784506249586975
24,24,0.884086169811011,0.00869296292477155,0.883680417170643
