Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8804322808779528,0.02732523621742031,0.878736862562057
1,1,0.955160797606344,0.009046291208833261,0.9548221487314749
2,2,0.971993806624401,0.012020010600115257,0.9719031356212269
3,3,0.9756868160609294,0.007040461350894022,0.9756886411764633
4,4,0.975707739627142,0.005260082174187799,0.9757846614025869
5,5,0.9794425961960956,0.0026192510973691388,0.9792543579094867
6,6,0.9756972778440357,0.002678420799123263,0.9755924750221731
7,7,0.981294331805913,0.007029243964419051,0.9812938955363775
8,8,0.9850396501579729,0.005311537022449666,0.9850405386298723
9,9,0.981294331805913,0.007029243964419051,0.9813886737976939
10,10,0.9850501119410792,0.0026264285131433105,0.9850331088227205
11,11,0.983166990981943,0.007959856459325867,0.983174784402323
12,12,0.9831879145481556,0.004535903901455523,0.983242210531389
13,13,0.9831774527650493,0.004587274181659426,0.9832279105914976
14,14,0.975707739627142,0.005260082174187799,0.9758191605733338
15,15,0.9794635197623083,0.009462577275930362,0.9794844233646117
16,16,0.9701106856652647,0.009477209153139292,0.9701517923795425
17,17,0.9701211474483712,0.011435327145941794,0.970170715652987
18,18,0.9607787751344339,0.011990965198821988,0.9606749740269606
19,19,0.9663862908794174,0.012005487566746709,0.9663648254649644
20,20,0.9626305107442512,0.006917810076135352,0.9624360645803779
21,21,0.958874730609085,0.0070271572064795505,0.9584984293558381
22,22,0.9607787751344339,0.016432587514565403,0.9604944341196692
23,23,0.955192182955663,0.02083890032378188,0.954516083789418
24,24,0.9570439185654803,0.013860018850712419,0.9567827357760489
