Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7842140921409214,0.023361606596110487,0.7830393656012884
1,1,0.8538319460575559,0.004809645808910779,0.8535648275821353
2,2,0.8863240418118467,0.009823013835097164,0.8862374931409804
3,3,0.8828397212543554,0.006995809409498698,0.8827468742444676
4,4,0.8782020260678798,0.010102514829291273,0.878045889986435
5,5,0.8665916569879984,0.0031796763644299487,0.8662259403711748
6,6,0.8781858949541878,0.013075165724558366,0.877324319918133
7,7,0.8770325203252032,0.008654970128216559,0.8765159445661898
8,8,0.8828397212543554,0.006995809409498698,0.8823928661758963
9,9,0.8805128081042716,0.014297674326976522,0.8793291548285999
10,10,0.8654382823590141,0.024802866610170643,0.8648236880287854
11,11,0.8584736740224544,0.00645366527701035,0.8577013795886184
12,12,0.8364224416053685,0.01308924826300025,0.8354547156692013
13,13,0.8155366821525357,0.007720539167745278,0.8148951898630723
14,14,0.7911545038069429,0.01806018572138957,0.7900775020459031
15,15,0.7807217060265841,0.01335013639481582,0.7808433907329748
16,16,0.7505766873144922,0.003505099289964922,0.7504716293088182
17,17,0.7621709252806813,0.006288248690471591,0.7617419809726206
18,18,0.7633484965802039,0.004528348692267728,0.7622488469813304
19,19,0.7435999806426636,0.014637055813895364,0.742750467727749
20,20,0.7169473480449091,0.008335182304659256,0.7149744106194579
21,21,0.7296788295263905,0.020816226423766553,0.7288014771984108
22,22,0.7157496128532714,0.02608855012659461,0.7142508267437383
23,23,0.7018607239643825,0.0063365947724402195,0.6993201002128476
24,24,0.6960656213704994,0.018112335262685804,0.6952074274969015
