Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8760416666666667,0.00966001926614134,0.8761155385190569
1,1,0.9298611111111111,0.008519336212767582,0.929860141752183
2,2,0.9458333333333333,0.009808643674878876,0.9458771772887813
3,3,0.9572916666666668,0.006421264586426018,0.9571967594110379
4,4,0.9565972222222223,0.004019387813468839,0.956669087171671
5,5,0.9597222222222223,0.006821834272357096,0.959641273622721
6,6,0.9635416666666666,0.0008505172717997115,0.9635421503346038
7,7,0.9600694444444445,0.00483624592957782,0.9599701454868322
8,8,0.9663194444444446,0.007233564811110976,0.9663952153296279
9,9,0.970486111111111,0.0064959329631491996,0.9705396884622578
10,10,0.9694444444444444,0.003437324630767972,0.9694588467036386
11,11,0.9736111111111111,0.004195502074164804,0.9736487466929925
12,12,0.9725694444444445,0.006821834272357092,0.9726443509968846
13,13,0.970138888888889,0.003835194797634472,0.9701808502002279
14,14,0.9684027777777778,0.004195502074164782,0.9684535350876842
15,15,0.96875,0.00255155181539918,0.9687138079977996
16,16,0.9694444444444444,0.003220006422047144,0.9694055064062715
17,17,0.9652777777777777,0.006383602885711886,0.9652695682832726
18,18,0.9631944444444445,0.0004910463758239634,0.9631424886513097
19,19,0.9645833333333332,0.0029462782549439376,0.9646017495500808
20,20,0.9673611111111112,0.000982092751647979,0.9673348118917763
21,21,0.9684027777777778,0.006440012844094268,0.9684426312448474
22,22,0.9666666666666667,0.0037073188375109003,0.9667046317167337
23,23,0.9586805555555555,0.005973836991001803,0.9584999156345017
24,24,0.9552083333333333,0.010656950870293603,0.9550226233350462
