Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7374999999999999,0.03186887195995489,0.734117157918908
1,1,0.7916666666666666,0.029901458530015253,0.7891267878996672
2,2,0.8104166666666667,0.0029462782549439376,0.8092900396352377
3,3,0.8458333333333332,0.03397813839645849,0.8449053874760531
4,4,0.8395833333333332,0.016404183070857965,0.8376714072796405
5,5,0.84375,0.03104096755364862,0.8423741540652303
6,6,0.8666666666666667,0.005892556509887875,0.8668557799111003
7,7,0.8666666666666667,0.010622957319984966,0.8659658669367701
8,8,0.8583333333333334,0.005892556509887928,0.856822308967693
9,9,0.8458333333333333,0.012842529172852037,0.843153979476428
10,10,0.8458333333333333,0.017921510973005497,0.8451392537869603
11,11,0.85,0.017677669529663678,0.849089219804564
12,12,0.8520833333333333,0.012842529172852037,0.8508659114123418
13,13,0.8500000000000001,0.015309310892394854,0.8490933417797732
14,14,0.8541666666666666,0.010622957319984982,0.8532908455770744
15,15,0.8666666666666667,0.012842529172852037,0.8663942756540394
16,16,0.8666666666666667,0.012842529172852037,0.8660337129757107
17,17,0.8645833333333334,0.015590239111558084,0.8634691612887666
18,18,0.8479166666666668,0.03473610833444387,0.8470984858585305
19,19,0.8520833333333334,0.01932003853228275,0.8518251614929463
20,20,0.8333333333333334,0.033202869688560906,0.8314901670942884
21,21,0.8520833333333334,0.015590239111558074,0.8512918714264067
22,22,0.8208333333333333,0.0077951195557790665,0.8200320897753653
23,23,0.8125,0.022243913025065235,0.811732843819446
24,24,0.8312499999999999,0.018399501804849665,0.8298231517884749
