Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7682133885030294,0.010174764863153902,0.7678509478312718
1,1,0.7335188742754872,0.03798833867997009,0.7284208719630282
2,2,0.7830566638753428,0.026812070781391313,0.7806365156091687
3,3,0.7383051738009622,0.05119862358011916,0.7279717326405502
4,4,0.6838825673612137,0.12646992284620942,0.6525168448325819
5,5,0.8841436382444215,0.020185714507627028,0.8829931146089925
6,6,0.9089617917015582,0.02602952496440796,0.9087314963505938
7,7,0.8477250710145642,0.04830286835440307,0.8486760240914807
8,8,0.8609838595799878,0.026262228440339173,0.8623795915552952
9,9,0.8990033331691377,0.018333678410275667,0.8981998336206157
10,10,0.8989869136167347,0.01652255755399703,0.8999062717626561
11,11,0.9072377386992431,0.020188382205194658,0.9081596181547038
12,12,0.8857034957227067,0.04251845551824129,0.8847667337367856
13,13,0.8989951233929364,0.009493405514521788,0.898065396261211
14,14,0.8310674351017191,0.04940870452712136,0.823332413244881
15,15,0.7830074052181337,0.06932939842049506,0.765452123560015
16,16,0.7813654499778336,0.03913327249295873,0.771397953117036
17,17,0.7086022035039324,0.0050610057514414155,0.6969021114375261
18,18,0.5843390309180173,0.04192785353156077,0.5440190116244575
19,19,0.647357273040737,0.058962523516963405,0.6118769056067953
20,20,0.6474557903551549,0.13940127465434862,0.6160804276146309
21,21,0.6472669655025204,0.03588767483781782,0.5905295477469936
22,22,0.6470535113212814,0.13919965515629232,0.6138744661130913
23,23,0.7846083115774264,0.08887110306244843,0.764808270164426
24,24,0.7086678817135444,0.07728519886272646,0.6784980404210524
