Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.872910258824514,0.01900203130355692,0.8719766269069836
1,1,0.7738057874584143,0.02707674797846211,0.7733772530946649
2,2,0.7438537024250413,0.10891747067584373,0.7385369637463487
3,3,0.8822840164877702,0.016183834064880925,0.8812341271393836
4,4,0.7514384951771179,0.05011749490810258,0.7274912561638779
5,5,0.7024355031071495,0.23588918840553605,0.6923710651503007
6,6,0.7100726047747578,0.1849591908087483,0.7083022056089138
7,7,0.6407946770447556,0.2747922902527216,0.6365733881376474
8,8,0.693647605297847,0.0978358649035481,0.6906160743181712
9,9,0.7530705333417028,0.14719102076870377,0.7548514975905395
10,10,0.6219320821040738,0.2629319972580246,0.6136822597979905
11,11,0.6650450902851882,0.16546010143242718,0.6690669519942593
12,12,0.6967652166635281,0.2033873093105602,0.6956951169140978
13,13,0.6143786747013161,0.2997639302356715,0.5937282143222825
14,14,0.7155545791224656,0.12955486212108053,0.6980070796754082
15,15,0.6555457912246564,0.20582702079183995,0.6305131232852185
16,16,0.5544535810683572,0.2597849535069894,0.511150597524017
17,17,0.6462243424769317,0.19227521248290289,0.6339418522888729
18,18,0.6331784989433599,0.17715429277410324,0.6077072531175269
19,19,0.5226916075575921,0.2738252796903557,0.48381866965578224
20,20,0.6068880379971963,0.2344513314651584,0.5534795728049962
21,21,0.7010545477371163,0.04814026299470203,0.6957425897438121
22,22,0.7980562006988471,0.04106451503485312,0.802252782604457
23,23,0.7477350239574833,0.08906394734200368,0.7460871903433044
24,24,0.5923356976963153,0.07889116948744705,0.5362390172021564
