Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7598399793521745,0.014541928349641482,0.7568862805273499
1,1,0.5834059233449478,0.07394845347457421,0.5539508916821957
2,2,0.5963471093044262,0.06864766174663796,0.5757435750064175
3,3,0.6299119241192412,0.07060428421549036,0.6072468650878283
4,4,0.7041553748870822,0.02247582288147643,0.6967068479214005
5,5,0.73789763195251,0.049593550411018414,0.7300359751429174
6,6,0.778370596205962,0.0326346309191504,0.7709252714491542
7,7,0.7876984126984127,0.018703760254616043,0.7796987648687154
8,8,0.7760073880500711,0.05779225401756305,0.7666236300727612
9,9,0.7969536391792489,0.04129004613331995,0.7891982332844112
10,10,0.8038940508452703,0.039031168830388034,0.8049634055374044
11,11,0.8189726093689508,0.03302657179037612,0.8151326311459702
12,12,0.7052482578397212,0.05597290072529532,0.6911806054837902
13,13,0.770220351013034,0.07544193432751511,0.7665044897123973
14,14,0.7075953348819203,0.057788825219864524,0.6951833108294371
15,15,0.6738974383791456,0.09464790729823966,0.6506532414033209
16,16,0.6332147696476965,0.12459105204350737,0.5966401841609711
17,17,0.5311128855336172,0.1342632208738355,0.48643604947960445
18,18,0.4316040779455414,0.030337886345366136,0.36197420340743536
19,19,0.3806257259001162,0.07343729171622122,0.30944830260893896
20,20,0.41312185443283006,0.08136365865364927,0.3463001962153875
21,21,0.5857892953929539,0.04343989452250903,0.5735690616311756
22,22,0.5684846431797651,0.02934829276795706,0.5432515577443614
23,23,0.5360086785391663,0.03200318690959274,0.4986423816874426
24,24,0.5198009420570396,0.048458210544473385,0.487591495387345
