Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.8413194444444446,0.012991865926298411,0.8413702389436185
1,1,0.35694444444444445,0.04119817638748493,0.301395461761315
2,2,0.36180555555555555,0.09901983956027806,0.3165592364387807
3,3,0.4079861111111111,0.05209953451724479,0.3450273464426321
4,4,0.43506944444444445,0.08249725257303281,0.36705612633837276
5,5,0.5597222222222222,0.07721616433073207,0.5191637148315308
6,6,0.5961805555555556,0.04537597990643434,0.5507022467157806
7,7,0.5548611111111111,0.033639364846619106,0.5136988262859913
8,8,0.6597222222222222,0.028670549101865315,0.6320789978592928
9,9,0.7090277777777777,0.05033405000102985,0.6897910789910325
10,10,0.7680555555555556,0.07703796212273978,0.7623215633314538
11,11,0.8690972222222221,0.014982950701660697,0.867013488031898
12,12,0.8704861111111111,0.06174505465777286,0.8686743272005956
13,13,0.8871527777777777,0.033596329394227464,0.8856155127863051
14,14,0.8690972222222223,0.02090842946850638,0.8680887852530325
15,15,0.7618055555555555,0.01718662315383966,0.7506523230700773
16,16,0.7875000000000001,0.039555911554265646,0.7806179433681072
17,17,0.6996527777777777,0.1036177667656767,0.6712914588301868
18,18,0.6888888888888888,0.1492708292949264,0.6645835628588223
19,19,0.6635416666666667,0.2056968592775949,0.6466999068103563
20,20,0.6145833333333334,0.16343436855225424,0.5853832608685395
21,21,0.671875,0.17101108638525947,0.6434504128604768
22,22,0.6861111111111112,0.1089503440523976,0.6614978820969958
23,23,0.6729166666666667,0.1025111500258856,0.6507452115092187
24,24,0.6305555555555555,0.10102317031927886,0.5939448348005395
