Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7645833333333334,0.012842529172852037,0.7636479401330658
1,1,0.5854166666666667,0.07222889926399882,0.5644196110688134
2,2,0.5166666666666667,0.08989770420996424,0.5081988056373898
3,3,0.5895833333333333,0.061731384958454406,0.581598402495246
4,4,0.48333333333333334,0.02568505834570405,0.3932288047456367
5,5,0.5791666666666667,0.08574631511356948,0.5424136521759445
6,6,0.5125000000000001,0.17252717177302826,0.46960062349749304
7,7,0.5083333333333334,0.16648427520005873,0.49634273569544946
8,8,0.5791666666666666,0.08138343743593586,0.5522852044476557
9,9,0.5604166666666667,0.06660153067977408,0.5280588970176522
10,10,0.5791666666666666,0.12668996496258975,0.542667696267006
11,11,0.6583333333333333,0.025173012444988683,0.6418521543648125
12,12,0.6916666666666668,0.047415861153087664,0.6848316205661971
13,13,0.6770833333333334,0.09204467514322716,0.6588187879147064
14,14,0.6208333333333332,0.06852868418082719,0.604154284634986
15,15,0.5333333333333333,0.06737900678665094,0.515292791354852
16,16,0.5291666666666667,0.09713786022395642,0.4916674380889366
17,17,0.5666666666666667,0.08873141432936191,0.5376526034493635
18,18,0.3625,0.12839149115108836,0.3078080176490858
19,19,0.3625,0.027003086243366083,0.2978557800085385
20,20,0.48124999999999996,0.07198813559654581,0.44132451281710333
21,21,0.4520833333333334,0.11242281302693367,0.44070808898475183
22,22,0.45,0.07089458136322317,0.44704730833771933
23,23,0.375,0.12468710839537503,0.33724208535130473
24,24,0.4583333333333333,0.08725163163071638,0.4657384269350719
