Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.30793228576589,0.013715349522674006,0.31048008860425635
1,1,0.5579774395349983,0.015323098078020386,0.5574426552775079
2,2,0.6606324811585637,0.016090713161937602,0.6571120768017806
3,3,0.7682298080554323,0.00977198594591943,0.7637633701538599
4,4,0.807915866213487,0.013459621996190118,0.8029527156324692
5,5,0.7930561712887707,0.012887146973300631,0.7916006448788787
6,6,0.7301118171518644,0.02783583430389777,0.7277507692500901
7,7,0.768221598279231,0.020727160045631736,0.7662835328788807
8,8,0.7118696944321297,0.05336257023204214,0.7081740192993452
9,9,0.8028750636257657,0.060529411096280974,0.8013548899246675
10,10,0.763189005467711,0.03716392401152354,0.7577052421778321
11,11,0.7216967965453261,0.12693825397869096,0.7135634314443206
12,12,0.6721015385120602,0.08879334754569851,0.6703272329612812
13,13,0.6720851189596572,0.07120186260266992,0.6691950343084349
14,14,0.7648309607080112,0.06599681661829025,0.7601789546340615
15,15,0.7796988654089289,0.06400924903902025,0.7778481533778291
16,16,0.829359801651807,0.048699170356610956,0.8231569896012103
17,17,0.8658522568674778,0.03186890040673865,0.8614688794105434
18,18,0.7863487841321445,0.03362641752317141,0.7826891340546869
19,19,0.7781390079306439,0.01649780214960055,0.7740796553313523
20,20,0.7301528660328719,0.018440381829297497,0.7236028999187845
21,21,0.66559118598427,0.032771869745639406,0.6560324374469503
22,22,0.5646766169154228,0.05182255387064593,0.5595274297472751
23,23,0.4387796988654089,0.02760871447819285,0.43340642926170087
24,24,0.291307488957851,0.03697302403961931,0.2808375799171607
