Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.5065490762245517,0.016272879058273366,0.5038095562933956
1,1,0.8167827924591466,0.016498195471736404,0.8154576659457541
2,2,0.8410122821333669,0.04432528734168822,0.8419646182982534
3,3,0.8896281882284015,0.03915618314227721,0.8883551775809077
4,4,0.9083233946393824,0.03911297084325926,0.9070037103687837
5,5,0.8821166279580691,0.049744580666416786,0.878056485697848
6,6,0.8821375515242819,0.04846153600346565,0.8783161349506518
7,7,0.8578871382838491,0.023359528869037607,0.8536491589371064
8,8,0.8784550038708598,0.03720315689219586,0.8766223314729809
9,9,0.8709225200343148,0.040958103991867854,0.8667191079665036
10,10,0.8072730316155085,0.07824342756097068,0.7962389522003144
11,11,0.7885359780721025,0.09558119906408043,0.7778417175102929
12,12,0.7773523319314544,0.0835211145413718,0.7681838575150715
13,13,0.7681250392316867,0.03755020631999364,0.758247532143059
14,14,0.8110497353168874,0.06354561293252092,0.8060261908931029
15,15,0.7961730797397109,0.03716509833220274,0.7908655915655644
16,16,0.8409913585671541,0.0497095078335218,0.8403545255988957
17,17,0.8747724562174377,0.023051137836920452,0.8688499781306916
18,18,0.8148055154520536,0.06686570083756496,0.8066233072661237
19,19,0.8037683342748938,0.01966460715663226,0.7902200215397611
20,20,0.7455903584206892,0.0922157039395373,0.7435545823476923
21,21,0.5662649341953842,0.10870412986309133,0.5384825897396068
22,22,0.4708430104827066,0.07903215268043211,0.42380976054765385
23,23,0.3323080785889147,0.1532561058276784,0.2557043905865199
24,24,0.2806477936099429,0.1872561060636744,0.24349070904829231
