Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.31092318363659827,0.031888837808424116,0.3103955159423371
1,1,0.6856166924764485,0.01426898106905671,0.6841582019789326
2,2,0.7238474319267002,0.035898151288970184,0.7140259933036645
3,3,0.8062290295522003,0.029394749581581846,0.8012729387789702
4,4,0.802756807329978,0.01876381032433562,0.7998796927419108
5,5,0.796961704736095,0.021727209703082628,0.7874917416061362
6,6,0.7783907600980772,0.020482881390825804,0.768058320779836
7,7,0.780701542134469,0.037833535654012165,0.7731408892735744
8,8,0.7656229836107885,0.05369521365366539,0.7635143800721625
9,9,0.7795562330623307,0.04422021147504495,0.7737619351594099
10,10,0.7551942186088527,0.028978880157783334,0.7485874616328584
11,11,0.7470722028648858,0.018845121359477406,0.7417942598749465
12,12,0.7041231126596981,0.03487464706067563,0.6999803731053164
13,13,0.671614885791715,0.049389811580061685,0.6670646416748136
14,14,0.7238796941540845,0.024053492620862506,0.7161252612477731
15,15,0.7413174280552329,0.013960005262736159,0.739929969366765
16,16,0.7575775906568589,0.023251712743954704,0.7578479938219475
17,17,0.8190331010452961,0.014956008840038098,0.8155713675502385
18,18,0.8062532262227385,0.0074379500838982465,0.8027974242541592
19,19,0.7900091947348044,0.008999226148942649,0.7886507685035268
20,20,0.6437080591044007,0.12418955565355247,0.6215723578640242
21,21,0.7076195315524584,0.037458888245304765,0.7091841694848057
22,22,0.6229392502258356,0.025277713154210825,0.604150935432931
23,23,0.4454969996128533,0.09055642175352906,0.43042524907376595
24,24,0.2656633113950187,0.05549043555938249,0.25044481358206894
