Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.33993055555555557,0.010393492741038714,0.338315262257222
1,1,0.8666666666666667,0.033115608382128806,0.8673343232873081
2,2,0.6215277777777778,0.04900878999642394,0.5812984898819642
3,3,0.671875,0.08375328213579765,0.6564575672202276
4,4,0.6614583333333334,0.06501869389303012,0.6395682719610467
5,5,0.36319444444444443,0.11219523190282374,0.30080994998024807
6,6,0.4684027777777778,0.03750321488276985,0.43074601070092355
7,7,0.5527777777777777,0.21547202258166162,0.5380776133264719
8,8,0.5319444444444444,0.07746869389599012,0.48840429920325756
9,9,0.5270833333333335,0.02586747296137388,0.4990264718972724
10,10,0.6159722222222223,0.11532378599961048,0.5923035670241661
11,11,0.5739583333333332,0.10596707974998998,0.5451167884460019
12,12,0.5065972222222223,0.05434221908140447,0.47867395602248636
13,13,0.6302083333333334,0.07378941978510348,0.612307747198364
14,14,0.6861111111111112,0.03391776433750197,0.6655367652806871
15,15,0.7427083333333333,0.035057409926301464,0.7373008769884889
16,16,0.7541666666666668,0.06355020434445685,0.7392598448663278
17,17,0.7621527777777777,0.09473377862055535,0.7472157297464069
18,18,0.6062500000000001,0.02425093068088085,0.584868926768453
19,19,0.5722222222222223,0.04542378044864732,0.5530458442272432
20,20,0.44166666666666665,0.10398247604319716,0.42558225614021267
21,21,0.4739583333333333,0.12187351613531622,0.45711368736825925
22,22,0.35659722222222223,0.04378580985960782,0.3075266027859247
23,23,0.2913194444444444,0.049376416216601444,0.23385691108323317
24,24,0.23159722222222223,0.058619914425764495,0.18236090395162896
