Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.3895833333333334,0.02946278254943948,0.38449013353152045
1,1,0.6395833333333333,0.028105703256733457,0.6352163305635483
2,2,0.6854166666666667,0.030760048042152897,0.682502079357138
3,3,0.7333333333333334,0.04823265376162596,0.7316775229671899
4,4,0.7541666666666668,0.0193200385322827,0.754818777431645
5,5,0.7395833333333334,0.021245914639969964,0.7364846253479799
6,6,0.7062499999999999,0.03572172541558799,0.7053540551355354
7,7,0.7041666666666666,0.0339781383964585,0.7034687135997545
8,8,0.6645833333333334,0.010622957319984968,0.6616495255248931
9,9,0.7354166666666666,0.03830161731427129,0.7361612718391427
10,10,0.7041666666666666,0.0485018613617617,0.7047841842232859
11,11,0.6729166666666666,0.030760048042152946,0.6677858848002659
12,12,0.6,0.035721725415588025,0.5880303998872399
13,13,0.6208333333333332,0.0409310056341427,0.6139451275404794
14,14,0.7000000000000001,0.02700308624336609,0.6969933695528581
15,15,0.6958333333333333,0.020623947784607653,0.691858056965529
16,16,0.7520833333333333,0.015590239111558123,0.7531172044955136
17,17,0.7854166666666668,0.02810570325673341,0.7870394865563396
18,18,0.6791666666666667,0.005892556509887875,0.6754524443143959
19,19,0.6354166666666666,0.04630439743936016,0.6304641021453532
20,20,0.6270833333333333,0.05644257160060026,0.6220917991035314
21,21,0.5604166666666667,0.0230111687858068,0.5518456659523326
22,22,0.4916666666666667,0.028105703256733425,0.48159300468723004
23,23,0.3645833333333333,0.0193200385322827,0.33558100684045744
24,24,0.2708333333333333,0.03280836614171587,0.21790768923152637
