Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7466298868692839,0.036455718061207246,0.7428499531420337
1,1,0.7400456463556804,0.016714894664998103,0.7370389181354403
2,2,0.7830566638753428,0.028885910607343024,0.7836418408180245
3,3,0.8426350097696336,0.03709501412381835,0.8428488123784632
4,4,0.8509515130617539,0.020562744416111105,0.8498093485384461
5,5,0.8426350097696337,0.04584860639602487,0.838148508467048
6,6,0.8940364185672299,0.010253737689249852,0.8929445576135352
7,7,0.8658850959722838,0.014721793026532827,0.865899481503845
8,8,0.8161256424149878,0.042699255174684606,0.8142296814838318
9,9,0.7830074052181337,0.045649322030072444,0.7750163163999151
10,10,0.7332807907656438,0.07194208850639286,0.7206647363950255
11,11,0.6537773180303105,0.09593437087834787,0.6180925486960037
12,12,0.6736860253189497,0.06633846756314854,0.6388928575168548
13,13,0.6885785593484721,0.07317942977140496,0.6715835037682704
14,14,0.6388683644483851,0.09067051378489234,0.6167803754988938
15,15,0.648884291414216,0.052874589271806556,0.634531602942129
16,16,0.6406006272269018,0.054603602317132675,0.6243057347398987
17,17,0.6589248477086515,0.012134143654540968,0.6513130863751616
18,18,0.6009309886212503,0.03611155150047142,0.5952686014935412
19,19,0.5000903075382165,0.05043509749830393,0.4894600959488154
20,20,0.4883339080176674,0.03964736129370905,0.46482253408492363
21,21,0.4983005763262893,0.0503203805185655,0.48108188240824373
22,22,0.40563683233995046,0.05291035735786086,0.38073587233945777
23,23,0.3492438796118418,0.06155930418578425,0.3050429405588808
24,24,0.36922647488629456,0.04360119932308136,0.3116857853470578
