Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.865451007469713,0.019759032132356615,0.8642821261464132
1,1,0.9177599230012764,0.006968317217062719,0.9175467655518474
2,2,0.9234302094448977,0.02579781955051566,0.9216728781332181
3,3,0.9457975017261941,0.006980400859011508,0.9461854302719548
4,4,0.953319523779633,0.02051198996571671,0.9534023112564051
5,5,0.9439562278994832,0.013594949279054873,0.943709289398817
6,6,0.9532986002134204,0.010430612866664912,0.9533099588821635
7,7,0.9720042684075073,0.018233042193472198,0.9717145244495929
8,8,0.9383800975038185,0.027304825011083656,0.9385414123111054
9,9,0.8898269621074215,0.04555087516026597,0.8900306242983396
10,10,0.8991588726382526,0.040938070832798976,0.8983096121064719
11,11,0.9010210700311762,0.036446182748308985,0.8993305593620041
12,12,0.861862615864248,0.06884940078853,0.8574968172262212
13,13,0.8133408658171698,0.09723871217447112,0.8109687840340333
14,14,0.7833992425669031,0.08398452976927019,0.7806053097677879
15,15,0.72172703115519,0.10732190204228882,0.7151604043838731
16,16,0.7011173184357542,0.08981484971341908,0.696333249885155
17,17,0.6206766681313163,0.10168346868091949,0.588632597535136
18,18,0.6055803151089071,0.1082845161091645,0.5903726792245713
19,19,0.48581382210784,0.15777385446662442,0.42797610297243577
20,20,0.5046241081329902,0.10033402309172365,0.44325997679597134
21,21,0.4447094762831377,0.13212986378893007,0.377618896724111
22,22,0.41494570334567826,0.07574060605081641,0.3617579002469715
23,23,0.43749084593978194,0.04674458623283826,0.36573321632860556
24,24,0.26018454585399536,0.1873130604123639,0.21740437168162474
