Layer,Layer_Num,Accuracy,Std_Accuracy,Weighted_F1
CNN,0,0.7204115047102851,0.023064018629413197,0.7204275980087377
1,1,0.7459349593495935,0.01590897506597293,0.7451927652407754
2,2,0.777277713253323,0.009885543422716001,0.77664697299891
3,3,0.7842100593624983,0.008827819211418347,0.7822302970942691
4,4,0.7795360691702155,0.030427582319656594,0.7785537720478146
5,5,0.774918537875855,0.01742350798438403,0.7732629946854995
6,6,0.7493224932249323,0.05940463473382923,0.7500611195047457
7,7,0.7378250419408956,0.021649860444475966,0.7315550740413396
8,8,0.7099585430378114,0.029227762424429853,0.7081215256174245
9,9,0.6960172280294232,0.028996799735811173,0.6878374731615624
10,10,0.6565766550522648,0.03588164732193051,0.6446321525923353
11,11,0.6264356691185959,0.021774541856732225,0.6164831788744121
12,12,0.5985691702155117,0.02377074093838478,0.5918595985857904
13,13,0.5556725061298232,0.011219849120026087,0.5544950185522236
14,14,0.5498814363143633,0.03559576553361419,0.5473504474256287
15,15,0.4895067105432959,0.03624352358877534,0.4733237576748355
16,16,0.473254613498516,0.03948709485383581,0.4611683091751087
17,17,0.46395502645502645,0.062224002683143036,0.43762221779989785
18,18,0.39899503161698285,0.04988058713813163,0.3784227457405478
19,19,0.38624741902180926,0.04640030699272593,0.3529784875260588
20,20,0.3351924441863467,0.0475140718157218,0.303545131411812
21,21,0.2946347915860111,0.0461392771896293,0.26254477727079706
22,22,0.2911666021422119,0.01103321008531615,0.2642361986522647
23,23,0.26448574009549625,0.0381597647320982,0.23216969810111543
24,24,0.2644897728739192,0.04183140894608196,0.2259144267838178
